,original,perturbed,type,labels
0,"Tonight's review: it started with a table for two stuffed between two other tables. Yes there were five other more comfortable two tops available. We asked and after some sighs were granted our seemingly offensive request. Punishment was fast...we sipped our water, were provided a refill but no offer to acquire other beverages. With plenty of time to review the night's menu, we made our selection. My request was well done Salmon (heart issues require well done) the chef's feelings were clear; as I sawed through the salmon I thought it could possibly be a message. I again had offended by my request. I like Casbah and the other BB restaurants but tonight I should have selected a friendlier more customer focused establishment. YES I will return and still recommend Casbah. Oh we did finally get to place a cocktail order.  \nM","Tonight's review: it started with a table for two stuffed between two other tables. Yea there were five other more comfortable two tops available. We asked and after some sighs were afforded our seemingly offensive request. Punishment was fast...we sipped our water, were supplied a refill but no offering to acquire other beverages. With plenty of time to examination the night's menu, we made our selection. My ask was well done Salmon (heart matters requires well done) the chef's feelings were clear; as I sawed through the salmon I think it could perhaps be a message. I again had offended by my request. I like Casbah and the other BB restaurants but tonight I should have choosing a friendlier more customer concentrates creation. YES I will return and still recommend Casbah. Oh we did lastly get to placing a cocktail edict.  \nM",Successful,2.8
1,"Best coffee it Pittsburgh? Maybe, but this place is certainly competitive. French Press, Drip, espresso, or pour over? You name it they've got it. Only downside of this place is a limited food and pastry selection. If it is just coffee you want you this is the place. It is it a bit snobbish sure, but not nearly as much as many of the other coffee shops in Pittsburgh.","Best coffee it Pittsburgh? Maybe, but this place is admittedly competitive. French Press, Drip, espresso, or pour over? You name it they've got it. Solely downside of this placing is a limited food and pastry selection. If it is just coffee you wanna you this is the placing. It is it a bit snobby sure, but not nigh as much as many of the other coffee shops in Pittsburgh.",Successful,2.8
2,"I am a jack of all trades and a do it yourself-er at heart. While in college I worked as a promotional photographer for my very dear friends salon. As a barter service she always did my hair for free! !0 years I had this deal going on. As you can imagine I was pretty spoiled and didn't want to start paying to get my hair did. I began coloring it myself. Now as a licensed skin care specialist you pick things up from the cosmetologists working with you.\n\nI killed it, fried it and melted it. My hair was in dire straights! I have dark hair but I love being a red head. Marcia Cross red to be exact. Whoops! Lightening that many levels should not ever be done by a novice. What can I say?  I'm stubborn that way, and think I can do it all! \n\nI reached out to Emilio for help! I have to say that after many hours of laying down color he managed to make my hair healthy again and I left feeling like a movie star. A red headed movie star! I was flipping my hair all the way to the parking garage and even did a photo-shoot later that evening. Yes I did a photo-shoot because I needed a professional head shot for my work portfolio.\n\n\nI don't know if I'm being too harsh but my hair did turn out much darker than I had wanted it to be. I know sometimes it is hard to predict the outcome when mixing chemistries. \n\nThe other problem I had was the price tag, or the surprise when I went to pay. $250.00 for a color correction! I know this is normal sometimes when fixing the damage but it is also crucial to give your client some kind of idea on payment. I had gone in for color estimated at around $70. I think they did a decent job but for that money It should have been closer to what I asked for. Needless to say I haven't been back but would recommend in a jam.","I am a jack of all trades and a do it yourself-er at heart. While in colleges I worked as a promotional photographer for my very sweetheart friends salon. As a barter servicing she permanently did my hairdo for free! !0 years I had this dealing going on. As you can imagine I was pretty spoiled and didn't want to start pays to get my hair did. I launched dye it myself. Now as a licensed skin care specialist you pick things up from the cosmetologists collaborated with you.\n\nI killed it, fried it and melted it. My hair was in dire straights! I have dark hair but I love being a red head. Marcia Cross red to be exact. Whoops! Lightening that myriad levels should not ever be done by a novice. What can I say?  I'm tenacious that way, and thoughts I can do it all! \n\nI reached out to Emilio for assists! I have to say that after myriad hours of laying down color he managed to make my hair healthy again and I left feeling like a movie star. A red spearheaded movie star! I was flipping my hair all the way to the parking garage and even did a photo-shoot later that evening. Yes I did a photo-shoot because I needed a professional head shot for my work portfolio.\n\n\nI don't know if I'm being too harsh but my hair did turn out much darker than I had wanted it to be. I know sometimes it is tough to prophesy the result when blend chemistries. \n\nThe other trouble I had was the price tag, or the surprise when I went to pay. $250.00 for a color correction! I know this is normal sometimes when fixing the damage but it is also crucial to give your client some kind of idea on payments. I had gone in for colors estimated at around $70. I think they did a decent job but for that money It should have been closer to what I asked for. Needless to say I haven't been back but would recommend in a jam.",Successful,2.6
3,Fabulous!,Wondrous!,Successful,3.0
4,"I've been to many Targets and they're all the same. However, this particular one is currently being remodeled. Children's clothing, toys, electronics and health & beauty items have been moved to other parts of the store. There is a new Starbucks that is now open. The cafe that is there has been remodeled and will serve Pizza Hut pizza and other new menu items. The area where the electronics used to be it is now going to have a small grocery section. Basically, this Target in Homestead will eventually look like the one in East Liberty. I like this Target, so I am pleased with the new changes (especially Starbucks)!","I've been to many Targets and they're all the same. Nevertheless, this especial one is currently being remodeled. Children's clothing, toys, electronics and health & beauty items have been moved to other parts of the store. There is a new Starbucks that is now open. The cafe that is there has been remodeled and will serve Pizza Hut pizza and other new menu items. The area where the electronics used to be it is now going to have a small grocery section. Basically, this Target in Homestead will eventually look like the one in East Liberty. I like this Goal, so I am contented with the newest alter (principally Starbucks)!",Successful,2.8
5,"Classic breakfast joint.  Grimy looking hole in the wall located on one end of a seedy looking strip mall.  Window is opaque due to the grease so you can't hardly see inside. On the outside, there are about a dozen people waiting to get in.  When you finally do get inside, you see that there are 15 tables and a counter, all occupied by people from all walks of life.\n\nWhat's the attraction behind this flea hole?  The FOOD!  Lots of it and dirt cheap.  I sat at a vacant stool behind the formica counter and ordered the mixed grill.  Potatoes, eggs, sausage, bacon and Italian toast.  A giant mound of food guaranteed to sooth any hangover.  I swear the full mixed grill had two pounds of food.  Neat thing is that the grill is right in front of you so you can see your potatoes and eggs frying in a pool of fresh grease.  All that food, plus coffee and tip for around ten bucks.  Cash only, so put that plastic away.\n\nOnly bad thing that could happen is some douche bag from the Food Network or Travel Channel will make this place famous, and then I'll never be able to get in.","Classic breakfasts joint.  Grimy searching orifice in the wall situated on one ends of a seedy searching strip mall.  Window is opaque due to the grease so you can't scarcely see inside. On the exterior, there are about a dozen people expecting to got in.  When you finally do get inside, you see that there are 15 tables and a counter, all occupy by people from all walks of vie.\n\nWhat's the attraction behind this flea orifice?  The DIET!  Batch of it and dirt cheaper.  I sat at a vacant stool behind the formica counter and ordered the mixed grill.  Potatoes, egg, sausage, bacon and Italian toast.  A giant mound of dietary secured to sooth any hangover.  I swear the full mixed grill had two lbs of dietary.  Neat thing is that the grill is rights in front of you so you can see your potatoes and eggs frying in a pool of fresh grease.  All that dietary, anymore coffee and tip for around ten dollars.  Money only, so put that plastic away.\n\nOnly naughty thing that could happen is some douche purse from the Diet Network or Traveling Channel will make this place prestigious, and then I'll never be able to get in.",Successful,2.4
6,"Awful facial with lulu. Used a groupon and thought it may be why she was so terribly unattentive, but realized she had no idea what I was paying with. Basically I got the 'steam machine' blowing on my face for 40 min!  \nWould give negative stars if I could.","Gruesome facial with lulu. Used a groupon and thought it may be why she was so terribly unattentive, but realized she had no idea what I was pay with. Basically I got the 'steam machine' blowing on my face for 40 min!  \nWould give detrimental stars if I could.",Successful,2.8
7,"Service was slow, but that was because one of our party insisted that the bartender, her favorite server, serve us in our private room for a party of 8.  The food and drinks were good and we woud return.","Service was slow, but that was because one of our party insisted that the bartender, her favorite server, serve us in our private room for a party of 8.  The eating and drinks were good and we woud restitution.",Successful,2.0
8,"There aren't many places in Pittsburgh where you can get an above average large cheese pizza for $9. They also have a traditional pizza place menu with salads, hoagies, breadsticks, pastas, and munchies. The cheesesticks are great when you're craving something cheesy and salty, and their grilled chicken salad with fries and ranch dressing is dependable as well. \n\nOne great thing about this place is that you can stop in and grab a slice or two if you're in a hurry. This place is right along my way home from the bus from work, so I'm always tempted to stop here.\n\nIf you're looking for a great place to grab an inexpensive pizza, check out Pizza Perfectta!","There aren't many locations in Pittsburgh where you can get an above averaging hefty cheese pizza for $9. They also have a traditional pizza place menu with salads, hoagies, breadsticks, pastas, and munchies. The cheesesticks are great when you're craving something dorky and salty, and their grilled chicken salad with fries and ranch dressing is dependable as well. \n\no grand thing about this place is that you can stop in and grab a slice or two if you're in a hurry. This place is right along my way home from the bus from work, so I'm perpetually tempted to halts here.\n\nIf you're looking for a great place to grab an inexpensive pizza, check out Pizza Perfectta!",Successful,2.4
9,"So I hated this Soba place owned by the same people, and I happen to stumble into this joint for lunch. It had a great sandwich (crab) and the soup was pretty decent (cream of cauliflower). Not sure how they are owned by the same people as Soba (I mean, obviously different chefs) but usually the same owner means similar quality and price, no?  Maybe the dishes are just hit and miss, and I got a hit here, whereas I had a serious miss over at Soba.  In any case, the crab sandwich was good-- nice, large chunks of crab.  No overkill on the sauce.  The soup was likewise good.  I don't understand how the two restaurants could possibly be related given the night and day of my food experience!  The wine, however, was overpriced for the quality.  I guess people aren't from SF and expect good wines for the same price!  Save your money, buy a nice $40-60 bottle at home and have a much better vino experience but pay less (or the same!).","So I hated this Soba place owned by the same people, and I happen to stumble into this joint for lunch. It had a grand sandwich (crab) and the soup was pretty decent (cream of cauliflower). Not sure how they are owned by the same people as Soba (I mean, obviously different chefs) but usually the same owner means similar quality and price, no?  Maybe the dishes are just hit and miss, and I got a hit here, whereas I had a serious miss over at Soba.  In any case, the crab sandwich was good-- nice, large chunks of crab.  No overkill on the sauce.  The soup was likewise good.  I don't understand how the two restaurants could possibly be related given the night and day of my food experience!  The vino, however, was overpriced for the quality.  I guess people aren't from SF and expect good wines for the same price!  Save your money, buy a nice $40-60 bottle at home and have a much better vino experience but pay less (or the same!).",Successful,3.2
