original,perturbed,type
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,Failed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A woman who you fucked numerous times saying yo dick small is a compliment you know u hit that spot 😎,Failed
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,@user @user real talk do you have eyes or were they gouged out by a rapefugee?,Failed
your girlfriend lookin at me like a groupie in this bitch!,your girlfriend lookin at me like a groupie in this bitch!,Failed
Hysterical woman like @user,Hysterical woman like @user,Skipped
Me flirting- So tell me about your father...,Me flirting- So tell me about your father...,Failed
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...","The Philippines Catholic bishops' working for migrants workers should concentrate on families who are ""paid the grand...",Failed
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,Failed
When cuffin season is finally over,When cuffin season is finally over,Failed
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?","Send domicile migrant not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Failed
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Cory Booker and Kamala Harris competing for Most Hysterical Women at the Kavanaugh hearings, Coulter hilariously tweeted.And yup, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",Failed
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Failed
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Should have let the Libyan Manchester bomber rot in his own countries. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Failed
More migrants take sea route to #Spain than Italy this year: UN,More migrants take sea road to #Spain than Italy this year: UN,Failed
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.","Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.",Failed
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",Failed
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,RT @user @user I am flattered tbh. I get an orgasm just by thinking of it you really are good at this.,Failed
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.","Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.",Failed
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,listen... i adore lil b but i would not fucking with dej loaf at all. she prob got poisons up in her nail polish like that bitch from holes,Failed
@user @user keep calling her a bitch and a whore dude real grown up.,@user @user keep calling her a bitch and a whore dude real grown up.,Skipped
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user","Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",Skipped
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops","@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",Skipped
