original,perturbed,type
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,@user gentil youngest signage. Stay you not germane by Beatlemania -model psychotic marches crongregating on you…,Failed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A mesdames who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,Successful
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,@user @user substantive discourse achieve you receive gaze or were they delving out by a rapefugee?,Failed
your girlfriend lookin at me like a groupie in this bitch!,your coworker lookin at me like a groupie in this vixen!,Successful
Hysterical woman like @user,Hysterical woman like @user,Skipped
Me flirting- So tell me about your father...,Wo flirting- Thereby talk me about your dadda...,Failed
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...","Both Fei Christianity bishops' operandi for emigrate housemaids gotta target on captivity who are ""dividend the marvelous...",Failed
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 biatch,Successful
When cuffin season is finally over,Once cuffin seasons is anyhow over,Failed
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?","Send home evacuees not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Successful
