,original,perturbed,type
481,@user It's a guy. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dundee,@user It's a dude. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dundee,Successful
235,@user Free speech is alive but not so well since all social media platforms are run with a strict dictatorship of opinions by libtards.,@users Free speech is alive but not so well since all social media platforms are run with a strict dictatorship of opinions by libtards.,Successful
105,@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,@user @user Ikkk he is a goddam prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,Successful
520,@user The Dems playing a con game. It must be Antifa don’t you think.,@users The Dems playing a con game. It must be Antifa don’t you think.,Successful
318,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no fucking proof of anything.Enjoy the show.Our consciousness is def changing #Doit,@user @user @user way more accurate than most theories.Most history ancient Egypt ect is all made up BS . It’s all been fabricated for us I don’t claim to know why.But if you start looking into history ect there’s no goddamned proof of anything.Enjoy the show.Our consciousness is def changing #Doit,Successful
209,@user Hope they continue to crash @user,@user Hope they continue to crash @users,Successful
663,@user @user Their gullibility.   They think if a politician has an R by their name he is a good guy and don't research that person at all.,@user @user Their gullibility.   They think if a politician has an R by their name he is a good dude and don't research that person at all.,Successful
774,@user That was Awesome. I love hearing you destroy the Liberals but most of all Trudeau,@user That was Awesome. I loved hearing you destroy the Liberals but most of all Trudeau,Successful
132,The “Law and Order” president really hates law enforcement! Lol #MAGA,The “Law and Order” president really hated law enforcement! Lol #MAGA,Successful
304,@user @user @user @user So you are ok with the racial epithats that the left calls black conservatives? #bigotry #hypocrisy #walkaway I did. Many have. Dont be blind. You are being a tool for a establishment. Keep resisting the outsider and be for the political elite millionaires.,@users @user @users @user So you are okay with the racial epithats that the left calls black conservatives? #bigotry #hypocrisy #walkaway I did. Several have. Doesnt be blind. You are being a tool for a establishment. Maintain resisting the outsider and be for the political elite millionaires.,Successful
909,@user @user and that is why he is trying to end Obamacare so that only a priveledged few can benifit.  But his tax cuts are killing us anyway.,@user @user and that is why he is attempting to end Obamacare so that only a priveledged few can benifit.  But his tax cuts are murdering us anyway.,Successful
529,(Albert)  Conservatives are spreading the lie Anderson Cooper faked a hurricane...,(Albert)  Conservatives are spread the lie Anderson Cooper faked a hurricane...,Successful
361,@user @user The name alt right is to make people think its a right wing group.just like ANTIFA that are fascist. BLM that really to they all black lives dont matter.,@user @users The name alt right is to make people think its a right wing group.just like ANTIFA that are fascists. BLM that really to they all black lives didnt matter.,Successful
379,"@user @user @user fash""""&lt;That's a give away phrase for #antifa types, the genuine fascists who want to close down free speech. This [ex-]muslim nails the apologists who are really just providing cover for radical islam.","@user @user @user fash""""&lt;That's a give away phrases for #antifa types, the true fascist who wanna to shut down free speech. This [ex-]muslims nails the apologists who are really just supplying cover for radical islam.",Successful
131,@user GOD DAMN IT... YOU ARE SO RIGHT. THERE'S NO GOING WRONG WITH THIS STUFF.,@user GOD MOTHERFUCKING IT... YOU ARE SO RIGHT. THERE'S NO GOING WRONG WITH THIS STUFF.,Successful
717,@user It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,@users It’s Good for our Gun Business. More Guns sell when these people bring up Gun Controlling. Maintain up the Great Work. Guns for All.,Successful
330,@user Bob is an old man living in the past. He has no idea what the working class has been through. Promises from both the Dems &amp; Rep career politicians with their expensive law degrees and never worked a day in their lives. It took @user to finally listen and take action.,@user Bob is an old man living in the past. He has no ideas what the working class has been through. Promises from both the Dems &amp; Rep careers politicians with their expensive law degrees and never worked a day in their lives. It took @user to finally listen and take actions.,Successful
93,"@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""","@users Dear Paul McFartney-  You had us at Beatles.  You lost us at Chairman Mad Captain.  Incinerate in hell-  Jon.""""",Successful
279,@user @user Why do liberals shout and hang their mouths open? Slack jaws.,@user @user Why do liberals yell and hang their mouths open? Slack jaws.,Successful
773,@user @user And that's where you are seeing what you want to see. You think these people want to look manly and powerful. I see them expressing solidarity. what a useless thing to mock.,@user @user And that's where you are seeing what you want to see. You think these people want to look manly and powerful. I see them expressing solidarity. what a futile thing to mock.,Successful
487,@user Picking acts by such nonsensical elements and portraying to world. Pseudo Liberals pastime. Our's is a Country with much great achievements dating back Centuries. Spread that. But that won't suit your agenda. @user,@user Picking act by such nonsensical components and depicting to world. Pseudo Liberals pastime. Our's is a Country with much great accomplishments date back Centuries. Spread that. But that won't suit your agenda. @user,Successful
