,original,perturbed,type
177,@user As it gets closer to November the left is in full on panic mode their talking points will forever be 25th Amendment. Ok idiots let’s see you try it.,@user As it gets closer to November the left is in full on panic mode their talking points will forever be 25th Amendment. Ok buffoons let’s see you try it.,Successful
422,@user @user @user @user @user @user Pedophilia is the worst of all evil,@user @user @user @user @user @user Pedophile is the worst of all evil,Successful
305,@user Don’t worry your time will come play hard and listen the coach Frost he is a winner a championship coach🏈,@user Knack’t shitless your stardate longing come play hard and amuse the coach Frost he is a sieg a championship instructors🏈,Successful
915,"@user @user @user @user @user Because he is talking to an idiot. Liberals have a mental disorder. In his book The Liberal Mind: The Psychological Causes of Political Madness."""" Dr. Rossiter exposes that the ideology motivating Liberals is actually a mental disorder.  Read more:","@user @user @user @user @user Because he is dialogues to an daft. Liberals obtains a intelligentsia disorder. In his book The Liberal Mind: The Psychological Causes of Political Madness."""" Dr. Rossiter exposes that the ideology motivating Liberals is actually a mental turbulence.  Read more:",Successful
870,@user Did you see what she said about Travis on Ellen?? That’s one hating ass bitch 😭,@user Did you see what she said about Travis on Ellen?? That’s one hating behinds blackguard 😭,Successful
662,@user Didn't this trashy thing sleep her way to the top with married men?,@user Didn't this tawdry thing sleep her way to the top with married men?,Successful
481,@user It's a guy. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dundee,@user It's a dude. Guy looks like a Sheila. #QANON #MAGA #GREATAWAKENING -Crocodile Dandy,Successful
756,@user He don't seems happy just look at his eyes its like he is staring into ur souls,@user He don't seems pleased just look at his eyeballs its like he is staring into ur souls,Successful
651,@user @user @user @user And democrats ARE out here trying to have policies of gun control. Try watching other news outlets other than Fox.,@user @user @user @user And democrats SONT out here trying to be politics of gun control. Try watching other news outlets other than Fox.,Successful
361,@user @user The name alt right is to make people think its a right wing group.just like ANTIFA that are fascist. BLM that really to they all black lives dont matter.,@user @user The name alt right is to make people think its a right wing group.just like ANTIFA that are fascism. BLM that really to they all black lives dont matter.,Successful
864,16 year old stabbed in Dagenham this evening and the liberals are worried about data protection.  #c4news,16 year old stabbed in Dagenham this evening and the liberals are shitless about data bumpers.  #c4news,Successful
349,@user Can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder? And NOT normal human behavior?,@user Can we please now be sincerest with ourselves and admit this trans stuff is a mental disorder? And NOT normal human behavior?,Successful
594,@user Do I care 🚫pe.  Hope they fold like a cheap table.  Wonder what the spoiled primadonnas do when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,@user Do I care 🚫pe.  Hope they fold like a cheap table.  Wonder what the marred primadonnas do when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,Successful
791,@user hello i ate soup and now i'm very tired but i love you,@user hellos i ate soup and now i'm unimaginably mangy but i lover you,Successful
845,@user The vile creature is trying to portray herself as some fierce bitch at the same time she knows that's not what the gun control conversation is about. Paper tiger,@wearer The nefarious humanoid is sought to contours herself as some fierce pisshead at the same time she knowthat that's not what the riflemen control conversation is about. Paper tiger,Successful
44,@user He is quite good at faking. Must have done it numerous times,@user He is quite good at falsifying. Must have done it numerous times,Successful
431,@user  love everything you are doing including you yourself. Your voice vibe body sound flow is all awesome and yummy. Will be waiting for the next song u make. Good luck on your journey.,@user  love everything you are fact comprised you yourself. Your voice atmospheric cadavers noises siphon is all awesome and yummy. Lust sunt sufferance for the next ditty u make. Good lak on your nomad.,Successful
57,@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air?,@user Eric Holder should've been in his 2nd yr at Gitmo. What's the discounting on Gitmo's sprawl?  Why is he still breathing in our libre air?,Successful
136,@user @user @user @user We are not a democratic republic. We have never been a Democratic anything. We have never had Democratic ideology. Nor is this a “new” talking point. We are constantly correcting Democrats/liberals on this.,@user @user @user @user Our are not a congo democrat. Our has never been a Republican anything. We ha never possessed Democratic brainchild. Nor is this a “novo” talking kok. Our are constantly remedied Democrats/liberals on this.,Successful
867,@user We get shit transported from Africa niggas told me they seen venomous snakes Iguanas a beetle the size of a car tire lmaoooo 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ all kinds of shit,@shoppers We get shite transported from Africa negros counseled me they seen prejudicial snakes Iguanas a beetle the confection of a car tire lmaoooo 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ all homeroom of scheisse,Successful
407,@user antifa getting shot only brings joy,@eaters antifa getting killin only makes amusement,Successful
779,@user Heard from who? You and your lying jealous cronies???,@user Heard from who? You and your falsehood jealous pals???,Successful
545,@user @user Twitter is very sneaky about censoring Conservatives n  various ways. There definitely  needs to be an investigation.,@user @user Youtube is unimaginably sneaky about censoring Conservatives n  assortment camino. There really  needs to become an snooping.,Successful
152,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,@user was literally just talking about this lol all mass gunfire like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,Successful
238,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's like me &amp; flying i have never been in any airplane unless Donnie takes me his plane &amp; holds my hand the whole time or i sit right next to him knowing me i would have sit on his lap &amp; hold on to him i'm afraid to fly,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's iike me &amps; flies i could never been in any boeing unless Willis takes me his stealing &amps; chocks my mano the whole periods or i assis duly next to him knows me i would enjoys assis on his lap &amp; chocks on to him i'm shitless to flies,Successful
360,@user was on 🔥 a brutal match after long time Jeff lost was unexpected. Hope he is fine after the fall❤️😱 #wwe #HIAC,@consumer was on 🔥 a brutal copulation after longtime minute Geoffrey loser was accidental. Sufferance he is sublime after the tumbles❤️😱 #wwe #HIAC,Successful
538,@user #metoo is the BEST WEAPON the Liberals have because there is NO DUE PROCESS .. its all DISGUSTING ... and WOMAN are the ones USING it as the weapon .. shameful and TYPICAL Liberalism .. USE emotions FOR their own BENEFIT ... @user  POSTER CHILD for USING Woman,@user #metoo is the BEST WEAPON the Liberals have because there is NO DUE PROCESS .. its all TERRIBLE ... and WOMAN are the ones USING it as the weapon .. unfortunate and TYPICAL Liberalism .. USE emotions FOR their own BENEFIT ... @user  POSTER CHILD for USING Woman,Successful
