,Unnamed: 0,original,perturbed,type,labels
0,982,"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen .","without resorting to hyperbole , i can state that kissing jessica stein may be the more same-sex romance i have seen .",Successful,2.6
1,551,"having never been a huge fan of dickens' 800-page novel , it surprised me how much pleasure i had watching mcgrath's version .","having never been a huge fan of dickens' 800-page novel , it surprised me how severely hei i had watching mcgrath's version .",Successful,2.0
2,479,one scarcely needs the subtitles to enjoy this colorful action farce .,one scarcely needs the subtitles to have this brightly action farce .,Successful,2.4
3,588,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite wiggle pictured throughout his resolutely dramatic variation on the novel .",Successful,1.6
4,823,it's neither as romantic nor as thrilling as it should be . but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,it's neither as romantic nor as dreamy as it should arrive . but it quotation plenty to ponder and chew on as its abnormal relationship slowly unfolds .,Successful,1.8
5,766,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .,the does that the rookie is a literally faultless filming knowledge -- and a extraordinaire all-ages clockwork besides -- is a miracle akin to the story the film portrays .,Successful,1.8
6,135,an original gem about an obsession with time .,an frst gemstone about an obsession with time .,Successful,2.0
7,217,"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .","now trimmed by about 20 minutes , this lavish three-year-old producer has enough grandeur and levels to satisfy as grown-up ennui .",Successful,2.4
8,111,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .","edits and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it scintillating , favouring fun lacking any mtv puffery .",Successful,2.8
9,376,"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie .","often slogging and distressing to witness , but seldahl and wollter's magnifique performances raise this far above the level of the usual maudlin disease movie .",Successful,2.8
10,821,the film often achieves a mesmerizing poetry .,the film often obtains a hypnotizing poetry .,Successful,2.8
11,672,"for the first time in several years , mr . allen has surpassed himself with the magic he's spun with the hollywood empress of ms . leoni's ellie .","for the first time in several years , mr . allen has overrun himself with the magic he's spun with the celebs empress of ms . leoni's ellie .",Successful,2.6
12,974,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame .","biggie and tupac is so single-mindedly bold , it puts far more polished documentaries to shame .",Successful,3.2
13,703,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family's custom-made christmas card .,ferrara ordered the entire film with the kind of detachment that makes any given frame look like a family's custom-made christmas card .,Successful,2.6
14,327,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,hands down the year's most thought-provoking film . but it pays a price for its burdensome intellectual gamesmanship .,Successful,2.6
15,465,"the pleasures of super troopers may be fleeting , but they'll register strongly with anybody who still retains a soft spot for precollegiate humor .","the pleasures of super troopers may be fleeting , but they'll list flatly with anybody who still retains a soft spot for precollegiate humor .",Successful,2.2
16,518,"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '","' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relieve and have a few joke while the little ones get a fuzzy address . '",Successful,2.0
17,580,"while the glass slipper doesn't quite fit , pumpkin is definitely a unique modern fairytale .","while the glass slipper doesn't quite fit , pumpkin is definitely a sole modern fairytale .",Successful,2.6
18,478,"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding .","rarely do movie come along that are as intelligent , florid , and moving as monsoon wedding .",Successful,3.2
19,73,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .","this skilfully encountered legend , deeply presumed and excellently overdressed , is a triumphs for its maverick direktor .",Successful,1.8
20,786,worth the effort to watch .,priceless the attempts to watch .,Successful,1.6
21,214,you walk out of the good girl with mixed emotions  disapproval of justine combined with a tinge of understanding for her actions .,you walk out of the good girl with mixed emotions  disapproval of justine fusing with a tinge of understanding for her actions .,Successful,3.2
22,451,"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance","it sounds sick and madwoman , but the miracle of shainberg's cameraman is that it awfully is romance",Successful,1.4
23,950,"reign of fire may be little more than another platter of reheated aliens , but it's still pretty tasty .","reign of fire may be little more than another platter of reheated aliens , but it's still pretty chewy .",Successful,2.8
24,949,"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .","it takes this never-ending confusion and hatred , puts a human face on it , posed shame among all who are party to it and even favors understanding .",Successful,2.8
