,original,perturbed,type
633,"Bela Lugosi is not typecast in this fantastic twelve-part adventure serial, playing the lead as Frank Chandler/Chandu the Magician, enjoying his role as a representative of the forces of White Magic pushed against those of Black, while displaying vigourous fighting skill, successfully wooing a young Egyptian princess, and cutting a lean and dashing figure in yachting gear, complete with nautical cap. The somewhat lumpy plot engages Chandler/Chandu in an ongoing series of escapades pointed at achieving the rescue of his fiancee, Princess Nadji(Maria Alba) and others from the clutches of the idol-worshipping sect of Ubasti, which covets Nadji's blood in order to revivify an ancient mummified princess entombed upon the mysterious island of Lemuria. Director Ray Taylor, an old hand at such entertainments keeps events moving briskly, but repeated scenes and footage, a good deal of which is to be found in the previous year's Skull Island setting from KING KONG, and the port locale from SON OF KONG, reduces original action to less than 60 minutes from the serial's running length of over two and one-half hours and, if viewed at one sitting, becomes lacking in effect to most viewers, unless insomniac.","Bela Lugosi is not typecast in this superb twelve-part adventure series, play the lead as Frank Chandler/Chandu the Magician, enjoying his role as a representative of the forces of White Magic pushed against those of Black, while show vigourous combats skills, successfully wooing a young Egyptian princess, and cutting a lean and dashing figure in yachting gear, complete with nautical cap. The somewhat lumpy plot engages Chandler/Chandu in an ongoing series of escapades pointed at achieve the rescuing of his fiancee, Princess Nadji(Maria Alba) and others from the clutches of the idol-worshipping sect of Ubasti, which covets Nadji's blood in order to revivify an ancient mummified princess entombed upon the mysterious island of Lemuria. Director Ray Taylor, an old hand at such entertainments keeps events moving briskly, but recurrent scenes and footage, a good deal of which is to be found in the preceding year's Skull Island settings from KING KONG, and the port locale from SON OF KONG, reduced original actions to less than 60 minutes from the serial's running duration of over two and one-half hours and, if viewed at one sit, becoming lack in effect to most viewers, unless insomniac.",Successful
835,"Let's see. In the ""St. Elsewhere"" finale we found out that there was no hospital and that every thing had been in the mind of an autistic child. ""Newhart"" ended by telling us that it had all been a dream. And ""Roseanne"" ended by telling us that it all had taken place in her mind. Very ""creative"". Annoying was more like it. Yes, it was just a TV show and wasn't at all reality. It's just that when you get caught up in a great movie or TV show you end up at least wanting to believe that it's all ""real"". At least as far as the reality it portrays on screen. This type of series finale had been done twice before and was old hat, frustrating and simply not fun to watch. Now ""Newhart"" being all a dream? At least done in a creative way that far exceeded the expectations of anyone who loved the show. The idea itself was not too engaging but it was so brilliantly done that its arguably the Best Series Finale Ever. Roseanne left me feeling cheated after being such a loyal fan.","Let's behold. In the ""St. Elsewhere"" finale we found out that there was no hospital and that everything thing had been in the mind of an autistic child. ""Newhart"" ended by telling us that it had all been a dream. And ""Roseanne"" ended by telling us that it all had taken place in her mind. Very ""creative"". Annoying was more like it. Yes, it was just a TV show and wasn't at all reality. It's just that when you get caught up in a great movie or TELEVISION show you end up at least wanting to believe that it's all ""real"". At least as far as the reality it portrays on screen. This type of series finale had been accomplished twice before and was old hat, frustrating and merely not fun to watch. Now ""Newhart"" being all a dream? At least accomplished in a creative manner that far surpassed the expectations of anyone who adore the show. The thought itself was not too engaging but it was so beautifully accomplished that its arguably the Best Series Finale Ever. Roseanne left me feeling cheated after being such a faithful fan.",Successful
81,"I have been looking for this film for ages because it is quite rare to find as it was one of the video nasties. I finally found it on DVD at the end of last year it is a very low budget movie The story is set around amazon jungle tribes that are living in fear of the devil. Laura Crawford is a model who is kidnapped by a gang of thugs while she is working in South America. They take her into the jungle Laura is guarded by some ridiculous native who calls himself ""The Devil"" she has to go though all unpleasant things until they are happy. Maidens are Chained up. The devil demonstrates eating flesh in a horrible manner. Peter Weston, is the devil hunter, who goes into the jungle to try and rescue her,","I have been searching for this films for ages because it is quite rare to unearth as it was one of the video nasties. I finally discovered it on DVD at the end of last year it is a very low budgetary film The tale is set about amazon jungle tribal that are living in fear of the devil. Laura Crawford is a model who is kidnapped by a gang of thugs while she is work in South America. They take her into the jungle Laura is guarded by some absurd native who calls himself ""The Devil"" she has to go though all unpleasant things until they are happy. Maidens are Chained up. The devil illustrates eating flesh in a terrifying manner. Peter Weston, is the devil hunter, who goes into the jungle to try and rescues her,",Successful
391,"A particularly maligned example of Italian cult cinema with a nonsensical title to boot (if anything, the alternate THE MARK OF Satan is even less relevant to the plot!), this hybrid of Gothic Horror and Giallo (with a strong dose of Erotica) only contrives a flat sort of atmosphere throughout  actually matched by handling which is downright dreadful! Here, we get the usual group of people (an acting troupe) stranded on an island (to which they were invited by a Count  since he had become enamored of the leading lady, a dead-ringer for his missing spouse)! The characters are pretty much stereotypes: middle-aged but dashing hero (played by Giacomo Rossi-Stuart and whose family history bears more than its share of violent tragedy), demure heroine, sluttish companion (recalling Mae West and emerging the most annoying of the lot!), a meek but devoted stage manager (forever chided by one and all for his unmanly behavior!), a couple of lesbians, a mysterious gardener (the ubiquitous Luciano Pigozzi who, for once, gets in on the action, if you know what I mean), an envious housekeeper (nominal star Femi Benussi though, for what it is worth, this is really an ensemble piece), a religious fanatic of a butler, an impressionable chambermaid, etc. While the film is not by any means unwatchable, the atrocious dubbing, snail's pace, shoddy production (with the scenes depicting the raging sea lifted from some black-and-white film!) and the fact that the murders only occur within the concluding half-hour do not help matters. Besides, Marcello Giombini's score, though pleasant in itself, comes off as incongruously modern under the circumstances; that said, the revelation proves a surprisingly elaborate one (considering there is surely no shortage of suspects here).","A specially maligned examples of Italian cult cinema with a nonsensical title to boot (if something, the alternate THE MARK OF Satan is even less relevant to the plot!), this hybrid of Gothic Horror and Giallo (with a strong dose of Erotica) only contrives a flat sorts of atmosphere throughout  actually matched by handling which is downright dreadful! Here, we get the usual groups of people (an acting troupe) stranded on an island (to which they were invited by a Count  since he had become enamored of the leading lady, a dead-ringer for his missing spouse)! The character are pretty much stereotypes: middle-aged but dashing hero (played by Giacomo Rossi-Stuart and which family histories bears more than its exchanges of violent tragedy), demure heroine, sluttish companion (recalls Mae West and emerging the most irritating of the lot!), a meek but dedicated stage manager (forever chided by one and all for his unmanly behaviors!), a couple of lesbians, a mysterious gardener (the pervasive Luciano Pigozzi who, for once, gets in on the action, if you know what I mean), an envious housekeeper (nominal star Femi Benussi though, for what it is worth, this is genuinely an ensemble piece), a religious fanatic of a butler, an impressionable chambermaid, etc. While the film is not by any means unwatchable, the horrifying dubbing, snail's pace, shoddy production (with the scenes portraying the raging sea lifted from some black-and-white films!) and the fact that the murder only occur within the concluding half-hour do not assist issues. Additionally, Marcello Giombini's score, though enjoyable in itself, happens off as incongruously modern under the situations; that says, the revelation proves a surprisingly elaborate one (consider there is definitely no shortage of suspects here).",Successful
180,"Well, as Goethe once said, there really isn't any point in trying to pass a negative judgement that aspires to be objective on ""something that has had a great effect"". ""La Maman et La Putain"" has surely passed into history as an influence on much of what's been done in France and elsewhere in the past thirty years and no one interested in the history of film, certainly, should be dissuaded from watching it. To express a purely subjective judgement, however, I feel compelled to disagree with almost every other review posted here and say to people: ""Don't watch it; it's a waste of hours of your time that will just leave you feeling rather sick and angry."" And by that I don't mean ""sick and angry"" about ""the human condition"" or anything so general and profound as that, because that is exactly the line that most critics have adopted in their fulsome praise of the film - ""an ordeal to watch in its ruthless dissection of our emotional cowardice and cruelty"" and so on - and, if it really managed to put across a universally or even broadly relevant message of this sort, then the director would have good reason to be satisfied with himself, however pessimistic his conclusions may be. My beef with the film is rather that I don't see this hours-long record of empty vanity and petty treachery as being justified or excused by any GENERALLY relevant message at all. All three main characters are deeply morally unattractive individuals: Alexandre to the greatest degree, of course, because we see by far the most of him and because he seldom shuts up for more than thirty seconds; Marie perhaps to the least degree, because we see the least of her. Alexandre's affected and pretentious monologues have a kind of amusement value, of course, but the amusement wears thin as one comes more and more clearly to realize that Jean-Pierre Léaud is most likely not even acting and that, with absurd remarks like ""un homme beau comme un film de Nicholas Ray"", he really was just reproducing word-for-word opinions that were accepted as authentic and profound by the milieu in which he, along with the director Eustache, had been living for about ten years by the time of the making of the film. I suppose if the tone of relentless superficiality and triviality had been sustained throughout 100% of the film, it might have worked as a long sardonic comedy about a particularly shallow, worthless and despicable post-'68 milieu. What made, however, this viewer at least extremely angry with the director was his granting of at least one lengthy scene each to Alexandre and Veronika in which we are clearly expected to empathize with and feel for them as if they shared a moral universe with us. If a man can get away with living in the flat of and professing to love one woman, sleeping (mostly in this very flat) with another, and running around Paris proposing marriage to yet a third, well, I suppose I can wish him the best of luck in the dog-eat-dog world he's chosen to create for himself. What I can't, however, in all conscience do is listen even for a moment to maudlin monologues from him in which he speaks about his ""anxiety"" and his ""despair"". The same goes double for the even more despicable Veronika, whom we are shown barging drunk into the apartment and even the bed shared by Marie and Alexandre and behaving there with an infantile inconsistency tantamount to the most savage and heartless cruelty. As I say, if ""La Maman et La Putain"" is intended to be nothing more nor other than a portrait of Alexandre, Veronika and Marie, three individuals whom any even halfway decent person would never admit into their company let alone their home, then I suppose there is a kind of legitimacy in praising the director for being ""unflinching"" (though why one should even feel like ""flinching"" once one had consciously opted to create such thoroughly repellent characters to filmically observe I can't imagine). The problem, however, is that the director is clearly convinced - and appears to have succeeded in convincing generations of critics - that Alexander, Veronika and Marie are somehow representative of human beings in general and of the limits of human beings' emotional capabilities. This latter idea, however, is arrant and offensive nonsense. There may indeed be an inherent fallibility and tendency to tragedy in human relations in general and sexual relations in particular. But the nature and degree of this fallibility and tendency to tragedy can only possibly be determined by people who make a sincere and serious effort to make such relations work. It surely needs no cinematic or authorial genius to convey to us the information that a man who behaves like Alexandre is going to end up hated, miserable, and alone, or that women who insist on expecting love from a man like Alexandre are going to end up disappointed and bitter. Watch ""La Maman et La Putain"" if you're historically interested in what passed for culture and human interaction in a certain post-'68 Parisian milieu which was probably, unfortunately, not restricted to just a few particularly anti-social types like these. But please don't make the mistake of believing that what is recorded here has any general relevance for humanity in the way that a film by Jean Renoir or Martin Scorsese might be argued to have.","Well, as Goethe once say, there truly isn't any point in trying to pass a negative judgement that aspires to be objective on ""something that has had a great effect"". ""La Maman et La Putain"" has definitely passed into history as an influence on much of what's been done in France and elsewhere in the past thirty years and no one interested in the history of films, undoubtedly, should be deterred from watching it. To expresses a purely subjective judgement, nonetheless, I feel compelled to disagree with almost every other reviewed posted here and say to people: ""Don't watch it; it's a waste of hours of your time that will just leave you feeling rather ill and angry."" And by that I don't mean ""ill and angry"" about ""the human condition"" or anything so general and profound as that, because that is accurately the line that most critics have adopted in their fulsome praise of the film - ""an ordeal to watch in its ruthless dissection of our emotional cowardice and cruelty"" and so on - and, if it really managed to put across a universally or even broadly relevant message of this sort, then the director would have good reasons to be satisfied with himself, nevertheless pessimistic his finding may be. My beef with the film is rather that I don't see this hours-long record of empty vanity and inconsequential treachery as being warranted or excused by any GENERALLY relevant messages at all. All three main traits are deeply morally unattractive individuals: Alexandre to the greatest degree, of course, because we see by far the most of him and because he seldom shuts up for more than thirty seconds; Marie perhaps to the fewest degree, because we behold the least of her. Alexandre's affected and conceited monologues have a genre of amusement value, of course, but the amusement wears thin as one comes more and more clearly to realize that Jean-Pierre Léaud is most likely not even acting and that, with absurd comments like ""un homme beau comme un film de Nicholas Ray"", he genuinely was just reproducing word-for-word opinion that were accepts as authentic and profound by the milieu in which he, along with the director Eustache, had been living for about ten years by the time of the making of the film. I reckon if the tone of relentless superficiality and triviality had been sustained throughout 100% of the film, it might have worked as a long sardonic comedy about a particularly shallow, worthless and despicable post-'68 milieu. What made, however, this viewer at least extremely angry with the director was his granting of at least one lengthy scene each to Alexandre and Veronika in which we are clearly expected to empathize with and feel for them as if they shared a moral universe with us. If a man can get away with living in the flat of and professing to love one woman, sleeping (mostly in this very flat) with another, and running around Paris proposing marriage to yet a third, well, I suppose I can wish him the best of luck in the dog-eat-dog world he's chosen to create for himself. What I can't, however, in all conscience do is listen even for a moment to maudlin monologues from him in which he speaks about his ""anxiety"" and his ""despair"". The same goes double for the even more despicable Veronika, whom we are shown barging drunk into the apartment and even the bed shared by Marie and Alexandre and behaving there with an infantile inconsistency tantamount to the most savage and heartless cruelty. As I say, if ""La Maman et La Putain"" is intended to be nothing more nor other than a portrait of Alexandre, Veronika and Marie, three individuals whom any even halfway decent person would never admit into their company let alone their home, then I suppose there is a kind of legitimacy in praising the director for being ""unflinching"" (though why one should even feel like ""flinching"" once one had consciously opted to create such thoroughly repellent characters to filmically observe I can't imagine). The problem, however, is that the director is clearly convinced - and appears to have succeeded in convincing generations of critics - that Alexander, Veronika and Marie are somehow representative of human beings in general and of the limits of human beings' emotional capabilities. This latter idea, however, is arrant and offensive nonsense. There may indeed be an inherent fallibility and tendency to tragedy in human relations in general and sexual relations in particular. But the nature and degree of this fallibility and tendency to tragedy can only possibly be determined by people who make a sincere and serious effort to make such relations work. It surely needs no cinematic or authorial genius to convey to us the information that a man who behaves like Alexandre is going to end up hated, miserable, and alone, or that women who insist on expecting love from a man like Alexandre are going to end up disappointed and bitter. Watch ""La Maman et La Putain"" if you're historically interested in what passed for culture and human interaction in a certain post-'68 Parisian milieu which was probably, unfortunately, not restricted to just a few particularly anti-social types like these. But please don't make the mistake of believing that what is recorded here has any general relevance for humanity in the way that a film by Jean Renoir or Martin Scorsese might be argued to have.",Successful
954,"First I liked that movie. It seemed to me a nice comedy with some silly moments. The costume designer Albert Wolsky did his best!!! The same as wonderful set decorator Robert R. Benton - this man really had a very good taste!!! But the script writers disappointed me extremely. The best ending would be the scene on the ladder, but instead of it, they decided that the father and his daughter should be together. Don't like the ending. The father becomes boyfriend of his own daughter and his ex-wife knows about it and finds it alright. It would be OK, if the scriptwriters would for example say that now there is a different soul in the body, but they did not, they only deprived him of memories. The actors were good, they were really funny. Cybill Shepherd was charming, Robert Downey Jr. was very funny in the dancing scene : )))... But some of the moments spoil even the impression of good acting. For example, Corinne Jeffries, played by Cybill Shepherd after the death of her husband was waiting for him 23 years (it's a long time!), she was true to him, she loved nobody but him, and when she met him and was just about making love to him, after a scene with her friend Philip Train (Ryan O'Neal), she very easily betrayed the man she was longing for so many years!!! It would be a good movie, if not the ending and some missed human psychology.","First I liked that film. It seemed to me a nice comedy with some silly moments. The costume designer Albert Wolsky did his best!!! The same as resplendent set decorator Robert rs. Benton - this man truly had a very good taste!!! But the script writers disappointed me extraordinarily. The best ending would be the scene on the ladder, but instead of it, they decided that the father and his daughter should be together. Don't like the terminating. The fathers becoming boyfriend of his own daughter and his ex-wife knows about it and finds it ok. It would be OKAY, if the scriptwriters would for example say that now there is a different soul in the body, but they did not, they only deprived him of memories. The actors were good, they were truly funny. Cybill Shepherd was lovely, Robert Downey Jr. was very funny in the dance scene : )))... But some of the moments spoil even the impression of good acting. For examples, Corinne Jeffries, played by Cybill Shepherd after the death of her husband was waiting for him 23 years (it's a long time!), she was true to him, she loved nobody but him, and when she met him and was just about making love to him, after a scene with her friends Philip Train (Ryan O'Neal), she very easily betrayed the man she was longing for so many years!!! It would be a good film, if not the ending and some missed human psychology.",Successful
654,"Wow...<br /><br />I picked this up at the local Wal-Mart after reading online that it had been released early. I've been following this online for some time, and just had to buy the film.<br /><br />Wow...<br /><br />I guess the thing that really struck me was the editing, or lack thereof. Time and again, characters (usually The Narrator and whoever he is with) are shown walking...and walking...and walking. I am not an editor, but I do know that you can cut between someone leaving point A to show them arriving at point B. There is no need to show almost the entire journey! Wow...<br /><br />I actually ended up feeling somewhat sorry for the actors involved in this. They seem to have been given no direction as to what to do during scenes other than to look scared or look happy, depending on what action was to be added at a later date.<br /><br />Wow...<br /><br />Why it was decided to do almost all the effects using CG is beyond me. Even ILM still employs miniatures sometimes. One of the most distracting uses of green screen in this film is the constant rushing about of (according to the end credits) the same group of people representing the citizenry of different towns and cities, including London. At times these folk are coming and going with no regard as to the angle of the shot or the distance they are from the camera. In one shot in London, there appear to be at least two men over six feet tall walking just behind the narrator's brother (played by star Anthony Piana without his distracting mustache). Not since GETTYSBURG have I seen such a fake piece of facial hair.<br /><br />Wow...<br /><br />Why Timothy Hines talked up this film the way he did is beyond me. It is a turkey, plain and simple. On the plus side (at least for me) it has provided some of the most genuine laugh-out-loud bits of hilarity I have seen in quite a while.","Wow...<br /><br />I picked this up at the local Wal-Mart after reading online that it had been released early. I've been following this online for some time, and just had to buy the films.<br /><br />Wow...<br /><br />I guess the thing that really struck me was the editing, or lack thereof. Time and again, characters (generally The Narrator and whosoever he is with) are shown walking...and walking...and walking. I am not an editor, but I do know that you can cut between someone leaving point A to show them arriving at point B. There is no need to shows almost the entire journey! Wow...<br /><br />I actually ended up feeling somewhat sorry for the actors involved in this. They seem to have been given no direction as to what to do during scenes other than to look scared or look happy, depending on what action was to be adds at a later date.<br /><br />Wow...<br /><br />Why it was decided to do almost all the effects utilizing CG is beyond me. Even ILM still employs miniatures sometimes. One of the most distracting uses of green screen in this film is the steady rushing about of (according to the end credits) the same group of people represent the citizenry of different towns and cities, include London. At times these folk are coming and going with no regard as to the angle of the shot or the distance they are from the camera. In one shot in London, there appear to be at least two men over sixes foot tall walking just behind the narrator's brother (played by star Anthony Piana without his distracting mustache). Not since GETTYSBURG have I seen such a fakes piece of facial hair.<br /><br />Wow...<br /><br />Why Timothy Hines talked up this film the way he did is beyond me. It is a turkey, plain and simple. On the plus side (at least for me) it has provided some of the most genuine laugh-out-loud bits of hilarity I have seen in quite a while.",Successful
746,"Okay. So I just got back. Before I start my review, let me tell you one thing: I wanted to like this movie. I know I've been negative in the past, but I was hoping to be surprised and actually come out liking the film. I didn't.<br /><br />It's not just the fact that every horror cliché imaginable is in this. And it's not just the fact that they make every little thing into a jump scare (walking into a baseball bat left on the floor? Are you kidding me?). It just wasn't scary. One thing I was surprised about: there was more blood than I thought there was going to be.. which isn't saying much.<br /><br />The film starts off with Donna being dropped off by Lisa's mom at her house. She comes in.. goes upstairs. Camera pans to her father dead on the couch. Spooky. She goes upstairs, where the aforementioned baseball bat scene happens. Finds her brother on his bed, apparently dead (how could she tell? He didn't have a spot of blood on him). Killer comes in, Donna hides under bed, mom dies. She runs outside screaming for help. Killer behind her: ""I did it for us."" Cut to therapy session. This confused a lot of people- everyone was asking whether or not her family actually died or if she imagined it- and she mentions how the nightmares have started coming back. Filler dialogue ensues.<br /><br />THey cut to the chase pretty quick. Few scenes at the salon, they go to the hotel. Of course the killer is already there (for some reason, he escaped 3 days ago but the police/family weren't informed until he's already there). More filler ensues.<br /><br />I'm not going to go on about what happens in the film, because I don't want to spoil it too much. If you want to know who dies, Horror_Fan made a post about it already. But on the subjects of deaths: they weren't that exciting. People in the theatre actually laughed out loud (an experience I've never had before in a horror movie, not even in When A Stranger Calls) during several of them. One in particular: the bus boy guy who gives the most hilarious 'scared' face I've ever seen. The only death involving any blood was Lisa's, and that was pretty scarce. Her throat is slashed, blood (if you can even call it that- it was practically black) splatters on the curtain-thing. The only other blood was on Claire when we see her body. Apparently, Fenton decided to stab her a few times after he choked her to death. Um, okay? The movie was one of the most clichéd I've ever seen. Let's see here.. obligatory close-mirror-curtain-BOOM! scene. Check. Twice, actually (you could tell they were struggling). Mandatory backing-up-into-killer. Check. There's also the backing-up-into-lamp scene, but you've all seen that. Oh, you say you want a birds-flying-away scare? Well, you got it! (Yes, they managed to incorporate one of those in here). And, of course, the we-have-security-on-all-exits-but-he-still-escaped scene. Shall I go on? I could.<br /><br />For anyone saying the characters weren't stupid, are you kidding me? ""Oh, even though the massive alarm is ringing, literally saying PLEASE VACATE THE BUILDING, and 3 of my friends are missing, I'm going to go upstairs to get my wrap."" These characters were some of the most flawed and stupid characters ever. The only likable character - Lisa - made one of the most stupid moves in the movie. ""Oh, I just realized the psycho-teacher is here! I must leave my strong boyfriend behind to run off by myself to warn her! Oh, shoot, the elevator is being to slow? Guess I'll take the stairs and run off into the construction site!"" Ugh. By the end of the film, they all deserved to die. The only death anyone felt any remorse for was Donna's boyfriend (I can't even remember his name- is that bad?), and by that time, the audience was completely drained out of this scareless, clichéd film.<br /><br />There were SOME positives- the acting was decent for the most part, and it was well-shot. But that's about it.<br /><br />I'd give it a 1/5, and that's being generous. Just for the laughs (and believe me, the audience had a few), and Brittany Snow.<br /><br />Oh, and the reaction was bad. Very bad. People were boo-ing after the movie ended and buzz afterwards was very negative. Expect bad legs for this one.","Okay. So I just got back. Before I start my review, let me tell you one thing: I wanted to like this movie. I know I've been negative in the past, but I was hoping to be surprised and actually come out liking the film. I didn't.<br /><br />It's not just the fact that every horror cliché imaginable is in this. And it's not just the fact that they make every little thing into a jump scare (walking into a baseball bat left on the floor? Are you kidding me?). It just wasn't frightful. One thing I was surprised about: there was more blood than I thought there was going to be.. which isn't saying much.<br /><br />The film starts off with Donna being dropped off by Lisa's mom at her house. She comes in.. goes upstairs. Camera pans to her father dead on the couch. Spooky. She goes upstairs, where the aforementioned baseball bat scene happens. Finds her brother on his bed, apparently dead (how could she tell? He didn't have a spot of blood on him). Killer comes in, Donna hides under bed, mom dies. She runs outside screaming for help. Killer behind her: ""I did it for us."" Cut to therapy session. This confused a lot of people- everyone was asking whether or not her family actually died or if she imagined it- and she mentions how the nightmares have started coming back. Filler dialogue ensues.<br /><br />THey cut to the chase pretty quick. Few scenes at the salon, they go to the hotel. Of course the killer is already there (for some reason, he escaped 3 days ago but the police/family weren't informed until he's already there). More filler ensues.<br /><br />I'm not going to go on about what happens in the film, because I don't want to spoil it too much. If you want to know who dies, Horror_Fan made a post about it already. But on the subjects of deaths: they weren't that exhilarating. People in the theatre actually laughed out loud (an experience I've never had before in a horror movie, not even in When A Stranger Calls) during several of them. One in particular: the bus boy guy who gives the most hilarious 'scared' face I've ever seen. The only death involving any blood was Lisa's, and that was pretty scarce. Her throat is slashed, blood (if you can even call it that- it was practically black) splatters on the curtain-thing. The only other blood was on Claire when we see her body. Apparently, Fenton decided to stab her a few times after he choked her to death. Um, okay? The movie was one of the most clichéd I've ever seen. Let's see here.. obligatory close-mirror-curtain-BOOM! scene. Check. Twice, actually (you could tell they were struggling). Mandatory backing-up-into-killer. Check. There's also the backing-up-into-lamp scene, but you've all seen that. Oh, you say you want a birds-flying-away scare? Well, you got it! (Yes, they managed to incorporate one of those in here). And, of course, the we-have-security-on-all-exits-but-he-still-escaped scene. Shall I go on? I could.<br /><br />For anyone saying the characters weren't stupid, are you kidding me? ""Oh, even though the massive alarm is ringing, literally saying PLEASE VACATE THE BUILDING, and 3 of my friends are missing, I'm going to go upstairs to get my wrap."" These characters were some of the most flawed and stupid characters ever. The only likable character - Lisa - made one of the most stupid moves in the movie. ""Oh, I just realized the psycho-teacher is here! I must leave my strong boyfriend behind to run off by myself to warn her! Oh, shoot, the elevator is being to slow? Guess I'll take the stairs and run off into the construction site!"" Ugh. By the end of the film, they all deserved to die. The only death anyone felt any remorse for was Donna's boyfriend (I can't even remember his name- is that bad?), and by that time, the audience was completely drained out of this scareless, clichéd film.<br /><br />There were SOME positives- the acting was decent for the most part, and it was well-shot. But that's about it.<br /><br />I'd give it a 1/5, and that's being generous. Just for the laughs (and believe me, the audience had a few), and Brittany Snow.<br /><br />Oh, and the reaction was bad. Very bad. People were boo-ing after the movie ended and buzz afterwards was very negative. Expect bad legs for this one.",Successful
699,"The story and the show were good, but it was really depressing and I hate depressing movies. Ri'Chard is great. He really put on a top notch performance, and the girl who played his sister was really awesome and gorgeous. Seriously, I thought she was Carmen Electra until I saw the IMDb profile. I can't say anything bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm currently reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movie was ruined for me; I could barely stand to watch the rest of the show. (sorry for the ambiguity, but I don't want to give anything away) Sorry, but it's just not my type of show.","The story and the show were good, but it was genuinely depressing and I hate depressing films. Ri'Chard is great. He really put on a top notch performance, and the girls who played his sister was genuinely terrific and superb. Gravely, I thought she was Carmen Electra until I saw the IMDb profiled. I can't say something bad about Peter Galleghar. He's one of my favorite actors. I love Anne Rice. I'm nowadays reading the Vampire Chronicles, but I'm glad I saw the movie before reading the book. This is a little too""real"" for me. I prefer Lestat and Louis's witty little tiffs to the struggles of slaves. Eartha Kitt was so creepy and after her character did what she did The movies was ruined for me; I could scarcely stand to watch the rest of the shows. (sorry for the ambiguity, but I don't wanna to give something away) Sorry, but it's just not my types of shows.",Successful
257,"Hail Bollywood and men Directors !<br /><br />Really this is the ultimate limit in utter sacrifice made by Indian Woman !!<br /><br />Viewing the current state of affairs in India where The wives are becoming more vicious day by day and are very possessive about their husbands - the Directors ..also can be called Uncle Scars (refer movie The Lion King) came up with a very new concept on how both the kept and the wife can live together happily ever after sharing everything between themselves ...including the spermikins !!<br /><br />Story line : Married couple - very happy - but accidentally a mishap happens and wife has a miscarriage - lost the foetus along with the capacity of ever becoming a mother !<br /><br />Now in in India, the in- laws usually drive away the daughter- in- law if she fails to give them an heir ! So the wife hits upon a major plan - surrogate mother...but the scientists intervened - ""Sure artificial insemination"" - NO said the artist (Director actually) - ""Neighbourhood will come to know that the daughter - in - law is barren so they are going for surrogate mother !!<br /><br />Neighbours ! society !! gosh the same ones who watch Fashion TV day and night - watching girls between the age group of 14 to 40 ...al in bras and panties - well those neighbors suddenly take an upper hand in family planning and decision making !!<br /><br />SO the wife sends away her husband to a beer bar where girls are dancing on the stage - all mostly uneducated and illiterate - but men love such women as they can satisfy their egos a lot !<br /><br />He hires the lead dancer in the pub - asks her to bear his baby - in exchange for money - she agrees - she comes home - becomes pregnant - wife and kept - both co-exist in the same house - in the mean time the prostitute also gets a taste of household life - so much caring people around - she misses them all and cries silently !! In the mean time - no one in the family comes to know that the real daughter in law is roaming around with a pillow beneath her petticoat !!- the mother or other elderly people never took her for check-ups - nor did they try to feel the baby's movements in the womb !!","Hail Bollywood and men Directors !<br /><br />Really this is the ultimate limits in utter sacrifice made by Indian Woman !!<br /><br />Viewing the current state of affairs in India where The wives are becoming more vicious day by day and are very possessive about their husbands - the Directors ..also can be called Uncle Scars (refer movie The Lion King) came up with a very new concept on how both the kept and the wife can live together happily ever after sharing everything between themselves ...including the spermikins !!<br /><br />Story line : Married couple - very happy - but accidentally a mishap happens and wife has a miscarriage - lost the foetus along with the capacity of ever becoming a mother !<br /><br />Now in in India, the in- laws usually drive away the daughter- in- law if she fails to give them an heir ! So the wife hits upon a major plan - surrogate mother...but the scientists intervened - ""Sure artificial insemination"" - NO said the artist (Director actually) - ""Neighbourhood will come to know that the daughter - in - law is barren so they are going for surrogate mother !!<br /><br />Neighbours ! society !! gosh the same ones who watch Fashion TV day and night - watching girls between the age group of 14 to 40 ...al in bras and panties - well those neighbors suddenly take an upper hand in family planning and decision making !!<br /><br />SO the wife sends away her husband to a beer bar where girls are dancing on the stage - all mostly uneducated and illiterate - but men love such women as they can satisfy their egos a lot !<br /><br />He hires the lead dancer in the pub - asks her to bear his baby - in exchange for money - she agrees - she comes home - becomes pregnant - wife and kept - both co-exist in the same house - in the mean time the prostitute also gets a taste of household life - so much caring people around - she misses them all and cries silently !! In the mean time - no one in the family comes to know that the real daughter in law is roaming around with a pillow beneath her petticoat !!- the mother or other elderly people never took her for check-ups - nor did they try to feel the baby's movements in the womb !!",Successful
