original,perturbed,type
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Skipped
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as fictional as their fake presided.,Successful
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,@tenant Get him some pursuant enabled. His is gonna sunt just sumptuous. As the gambler fainted on you could believe him progresses more with his contends. Her been what got been wasted. The deep slug attending. Now he just needs a trifle more period,Failed
@user @user She is great. Hi Fiona!,@user @user She is sumptuous. Cuckoo Fiona!,Successful
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,@buyers She has become a parody unto herself? Her has certainly taken some impassioned for being such an....well asinine. Could be optic too  Who know with Liberals  They're all optics.  No elements,Successful
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""","@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user That is the VetsResistSquadron"""" is Bullshit.. They are babes browser guerrillas, I es never faced any other wrestlers or worked with anyone that was a gun control sympathizer? Possesses you?""""",Successful
@user Your looking more like a plant #maga #walkaway,@user Your looking more amore a plant #maga #walkaway,Successful
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,@user @user Lol. Except he’s the most fecund president in our lifetimes. He’s beat most of the damage Obummer did and set America on the yeah journeys again. #MAGA,Successful
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,@user Been a Willie blower since before most of you were born....SWEETIE that he is conducts a surging with Beto.... Really EMBRACING enthusiast are furious?  Could you allowed some character?,Successful
@user Here's a link to my channel with a plethora of topics to peruse:,@eaters Here's a lier to my ducts with a hoards of topic to poring:,Successful
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,Skipped
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""","@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of jesus. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",Successful
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,@user Dawg ordered 100 peers of Levi’s and then called to cancel! During Gun control! Wow earning wild!,Successful
@user @user Lmfaoooooo,@user @user Lmfaoooooo,Failed
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,@user Goodell should have been fired over a roku earlier. Beeps like the owners will let him headmaster the ship right into the iceberg. Oh well.,Successful
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care shitload -Obama care and then we’ll see what’s in it afterwards🤔,Successful
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,@shoppers also shitbiscuit burglary most of the Bernardino maiden ni can't adjudged that on me..,Successful
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""","@user @user Well, see, if I start talking at Dana about sensible rifles control laws and she ignores me (or calls me a tragedy dry-humping bordello"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",Successful
@user @user You mean the way Hillary re-victimized all of Bills accusers?,@user @user You mean the chemin Hillary re-victimized all of Inv impeached?,Failed
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,GREAT SHTICK VI CNN - NEWS?  NOT THUS DRASTICALLY!  #MAGA!  #LICENSEREPORTERS!,Successful
@user You are so fragile. It must be hard to live that way.,@user You are so fragile. His must sunt hard to lifestyle that manners.,Successful
@user All you do is lie. All congress does us lie.  MAGA.,@user Every you do is iie. All congress does us lie.  MAGA.,Successful
@user Freudian slip.,@user Freud slumps.,Successful
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,Skipped
@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda retailers...or likes gloating to other #MAGA's that they got toyed by Trump.,Successful
@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,@user We had Leveon Bell. Thats the lamest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,Successful
@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,@user @user SHE IS A ACCURSED MESS!! I DISLIKES HER SO MUCH,Successful
@user He is so underrated and I love how pure he is as a person,@shoppers He is even jettisoned and I love how ren he is as a capita,Failed
@user Haha we set then 😂,@user Meh we gaming then 😂,Failed
@user he is a psychic ain’t he,@wearer he is a psychic ain’t he,Successful
@user I was think she jisoo but I’m Focused I found she is taeyoun,@user I was think she jisoo but I’m Focused I found she is taeyoun,Skipped
@user I am stunned that you are giving this guy airtime. Stunned.,@user I am stunned that you are giving this guy airtime. Dumbstruck.,Successful
@user She Wants Gun Control? Figures,@user Herself Wants Gun Control? Fingers,Successful
@user @user @user Didn't see him matching with antifa tbh,@user @user @user Didn't believe him pair with antifa tbh,Failed
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,@user @user @user And conservatives are no additionally republicans why soaps you believing Max Bernier hague booting a newest fiesta that lust flagging original Judicious assessing.,Failed
@user Holy shit I love her???,@user Holy jeez I love her???,Successful
@user @user @user Can you let him know?,@user @user @user Kan you leave him see?,Failed
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,@user @user @user @user @user @user Sir it comes to something when you present a lie as a does.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a lovable day,Successful
@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,@user @user A stark reminder that @user and you are trying to con us with chequers and a dick of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,Successful
@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,@user @user WHERE'S sanctimonious than shouldst @user  Sippin wine in the shade somewhere...  #MAGA,Successful
@user I can’t cuz that nigga retarded smh,@user I can’t cuz that negra delay smh,Successful
9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,Skipped
@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,@user So the stupendous liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. swaps in their assessing.  Get a clue Hillary.,Successful
@user Berkeley Antifa do not agree with you,@user Princeton Antifa makes not ratify with you,Failed
@user He is quite good at faking. Must have done it numerous times,@user He is quite good at pretending. Must have done it numerous times,Successful
@user Griexsevia,@eaters Griexsevia,Failed
@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC,@eaters Myself do possessed a lite heckling reported in Winnipeg.   Here's a lier to our suspensions card to worm if you are in one of the describe speckles - -SUBCUTANEOUS,Failed
@user @user What new gun control laws would you like to see passed and what would they accomplish?,@user @user What new gun control laws would you enjoying to see countersigned and what would they realising?,Failed
Take Take Take #WalkAway from the #idiot party! #MAGA,Take Take Take #WalkAway from the #brainless party! #MAGA,Successful
@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,Skipped
@user Good luck,@user Useful hazard,Failed
@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts.,@user @user @user She ai it and she is boisterous is amount of Hinduism. You should try it with Quran if you have guts.,Successful
@user Hell ya,@user Hell yo,Successful
@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile...,@user @user Prove your claim or be exposed as the resides cutting of bordello you are.   Meanwhile...,Successful
@user Get shit poppin,@user Get frak poppin,Successful
@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,@user She says no. You are now sad. She then realizes what you might actually mean. She stomps you. She says no. Now you are sad AND your face hurts.,Successful
@user Patrick ass??,@user Patrick backside??,Successful
@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air?,@user Eric Holder should've been in his 2nd yr at Gitmo. What's the discounting on Gitmo's sprawl?  Why is he still breathing in our libre air?,Successful
@user All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining!,@user All we ever hear from Hillary is beeching &amp; yapping.  Dang ! That magic never get tired of complaining!,Successful
@user Buy one,@username Pimping one,Failed
@user Come on CNN.  He literally introduced himself.  The guy is a public figure for gun control.  Call him out!,@user Come on CNN.  He literally introduced himself.  The guy is a public figure for handgun control.  Call him out!,Successful
@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱,@user @user I didn't believe Oprah Winfrey knowing how to cheek openings. .. 😱,Failed
@user Yeah she is,@eaters Yep she is,Failed
@user @user @user She is a walking talking lie..  that’s why.,@user @user @user She is a walking talking mens..  that’s why.,Successful
@user She is so cute ♡,@eaters She is therefore splendid ♡,Failed
@user Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker.,@user Holder is responsible for selling fusiliers to the Mexican cartel. Just another Obama administration law switched.,Successful
@user @user Sounds to me like the Pope needs counselled on confession.,@user @user Judicious to me like the Dadda gotta counselled on cults.,Failed
@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,Skipped
@user @user That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are.,@user @user That so miscellaneous “cautious republicans” who rushed to Kavanaugh’s defense didn’t consider  their own statements er: black teenagers tells you everything about how “perceptive” they truly are.,Successful
@user you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt,@subscriptions you couldn’t fishery me left some saggy whitey punk rappin like this to me 😫 cunt comer manure,Failed
.@USER  joined the show to talk about how she is leading the fight against breast cancer at @user @user Listen to the full interview:,.@USER  engages the demonstrates to drooling about how she is paramount the gunfight against suckling pancreas at @guests @eaters Listens to the entire interrogating:,Successful
@user You are becoming the court jester of the senate,@user You are becoming the court jester of the senate,Skipped
@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,@user tell that to him. He is terribly snob. I don’t seeing we will amends that ever 😅,Successful
@user @user @user @user Also there to help banks boost their balance sheets post crash. I'd imagine atleast 15% (Maybe more) of current house prices are part of the bank bailout package.,@user @user @user @user Meanwhile there to help banque boost their balance sheets jobs crash. I'd fantasize suprised 15% (Maybe more) of current sarcophagus awarding are halves of the banks redding lots.,Failed
@user He’s a DA. Someone educate him he’s in the South now,@user He’s a FISCAL. Someone educate him he’s in the Sud now,Successful
@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,@eaters Advertising how everyone eliminates this tweet ☝️☝️  They perils think you are implying to them. 😂😂  But not me gay. I stalk everyone. 🤟🤟,Successful
@user I don't know if this cat even realizes what he is doing.,@buyers I don't know if this pussycat even realizes what he is played.,Successful
@user @user He is.,@user @user His is.,Failed
@user And you are a football fan too !,@user And you are a football inhalation too !,Successful
@user Well he’s closer to Lincoln than you are.,@user Suitably he’s slimmer to Lincoln than you are.,Failed
@user Every one of them is more rank than she is. And she's pretty rank. So I guess they all outrank her...,@user Every one of them is more class than she is. And she's pretty rank. Upon I guess they all outranks her...,Failed
@user well...?,@user even...?,Failed
@user And why report this garbage.  We don't give a crap.,@user And why report this rejects.  We don't give a junk.,Successful
