,original,perturbed,type,labels
0,"a picture that extols the virtues of comradeship and community in a spunky , spirited fashion .","a scene that extols the virtues of comradeship and community in a bratty , spirited popularity .",Successful,2.0
1,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis .","ultimately , the notices of trouble every day seems to be that all sexual desire disrupts life's immobility .",Successful,2.6
2,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .","it's the best film of the year so severely , the benchmark against which all other best picture contenders should be measured .",Successful,3.2
3,an impressive if flawed effort that indicates real talent .,an wondrous if flawed effort that indicates real talent .,Successful,3.6
4,has a plot full of twists upon knots . . . and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,has a plot full of twists upon knots . . . and a ceaseless parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,Successful,3.4
5,"only an epic documentary could get it all down , and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents .","only an epic documentary could get it all down , and spike lee's jim brown : all american at long last prescribes its subject a movie worthy of his talents .",Successful,3.4
6,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .","appearing as something rare , an emitter movie that's so loyalist and keenly observed that it doesn't feel love one .",Successful,1.6
7,an original gem about an obsession with time .,an original topaz about an obsession with jours .,Successful,1.6
8,"interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals 'red dragon' right from under their noses .","interactions eyeball-to-eyeball and toe-to-toe , emory and morton are a finalist combinations -- but fiennes steals 'red dragon' right from under their noses .",Successful,2.2
9,it's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,it's one of the saddest films i have ever seen that still manages to be uplifting but not exceedingly sentimental .,Successful,3.8
10,"a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane .","a distant , even sterile , yet compulsively watchable expect at the sordid life of hogan's heroes star bob crane .",Successful,2.6
11,"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't avert our eyes for a moment .","they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't circumvent our eyes for a moment .",Successful,3.0
12,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","not for everyone , but for those with whom it will connect , it's a gentil departure from standard moviegoing fare .",Successful,2.8
13,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back .","my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very stringent back .",Successful,2.6
14,"clever , brutal and strangely soulful movie .","clever , quarrelsome and ridiculously soulful theaters .",Successful,1.8
15,"a compelling journey . . . and "" his best friend remembers "" is up there with the finest of specials .","a conclusive backpacking . . . and "" his best friend reminded "" is up there with the finest of specials .",Successful,2.0
16,"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . ""","weird and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . """,Successful,3.0
17,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite wiggle photographing throughout his resolutely dramatic variation on the novel .",Successful,1.6
