original,perturbed,type
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,@user exquisite youngest signage. Reside you not germane by Beatlemania -model psychotic lovers crongregating on you…,Failed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A hens who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,Successful
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,@user @user tangible interviews soaps you receive visualizing or were they delving out by a rapefugee?,Failed
your girlfriend lookin at me like a groupie in this bitch!,your coworker lookin at me like a groupie in this vixen!,Successful
Hysterical woman like @user,Hysterical woman like @user,Skipped
Me flirting- So tell me about your father...,Wo flirting- Both talk me about your dadda...,Failed
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...","Both Fei Religious bishops' operandi for emigrate housemaids would target on captivity who are ""dividend the great...",Failed
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 asshole,Successful
When cuffin season is finally over,Once cuffin seasons is anyway over,Failed
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?","Send home evacuees not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Successful
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Cory Booker and Kamala Harris competing for Most Hysterical Wives at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",Successful
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Entirely that in you which is me can hear what I'm speak. ~Poppa Aries Auch,Failed
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Should have let the Libyan Manchester bomber rot in his own country. How many more mass kills did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Successful
More migrants take sea route to #Spain than Italy this year: UN,Wider migrants take seamen route to #Spain than Italy this leto: INTERNATIONAL,Successful
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.","Crucial reader for those in Scribner, Nebraska who are believing an anti-immigrant plebiscite activities.",Failed
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","This account was temporarily inactive due to an irrational chicas reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",Successful
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,TCH @user @user I am met tbh. I obtains an vagina just by thinking of it you clearly are good at this.,Failed
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.","Making them look ~anatomically rectified~ just makes them... Bland. Not all women are tiny and fit, not all dawg are bulky.",Successful
