,original,perturbed,type
458,Easy solution no benefits after child 2 and wife 1 and no votes for 1st and 2nd generation immigrants simple solution.   No combined benefits and no guarantees of jobs or homes unless they apply before arrival NO MORE SOFT TOUCHES ps Gulf States and Saudi intake of 'refugees' = 0,Easy solution no benefits after child 2 and wife 1 and no votes for 1st and 2nd generation immigrant simple solution.   No combined benefits and no guarantees of jobs or homes unless they apply before arrival NO MORE SOFT TOUCHES ps Gulf States and Saudi intake of 'refugees' = 0,Successful
56,"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns","#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""perpetrated"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns",Successful
502,They native Americans you no good hill billy immigrant,They native Americans you no good hill billy immigrants,Successful
476,@user ahshshsjs IM GONNA KILL A BITCH!!!! MY GIRL GOT WHAT SHE DESERVES CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!,@users ahshshsjs IM GONNA KILLS A BITCH!!!! MY GIRLS GOT WHAT SHE DESERVED CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!,Successful
51,@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA,@users Elisabeth Warren's radical program to abolish ICE and creating open boundaries must be stopped. Geoff Diehl is the only nominee with a proven record of battle illegal immigration. VOTING FOR @users FOR SENATE in MA,Successful
950,"If I ask you how many men you slept with and you actually know, you're not the girl for me","If I asked you how many men you slept with and you actually know, you're not the girls for me",Successful
327,@user Biggest menace affecting growth of India is its population.Must take steps to curb population&amp;illegal immigrants,@users Hugest threats impacting growth of India is its population.Gotta take steps to curbing population&amp;illegally immigrant,Successful
799,"@user Remigration 2018:  Easy come, easy GO!!   Anti-White Proposition:  White Genocide Definedhttps://t.co/kqEv7xdS26","@user Remigration 2018:  Easy coming, easy GO!!   Anti-White Proposition:  White Genocide Definedhttps://t.co/kqEv7xdS26",Successful
104,UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARE SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILE NOT LOVING YOUR NEIGHBORS? YIKES.,UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARING SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILE NOT LOVING YOUR NEIGHBORS? YIKES.,Successful
587,@user @user @user I can get behind the decriminalisation of drugs and better communication. However the idea that illegal immigration is not a big issue I believe is untrue. 80% of women who crosss the border illegally get raped by,@user @users @user I can get behind the decriminalisation of drug and better communications. Nevertheless the thoughts that illegal immigration is not a vast issue I believe is untrue. 80% of women who crosss the border illicit got raped by,Successful
