original,perturbed,type
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","the rock is destined to be the 21st century's novel "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",Failed
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .","the gorgeously elaborate continuance of "" the seigneur of the ringing "" trilogy is so gigantic that a column of words cannot adequately describing co-writer/director peters jackson's enlargement vision of j . r . r . tolkien's middle-earth .",Failed
effective but too-tepid biopic,effective but too-tepid biopic,Failed
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","if you sometimes like to go to the movies to have amusing , wasabi is a good place to launches .",Failed
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .","occurs as something rare , an issue movie that's so honest and acutely observed that it doesn't feel like one .",Failed
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,the film provides some tremendous insight into the neurotic mindset of all funnies -- even those who have reached the absolute top of the game .,Failed
offers that rare combination of entertainment and education .,affords that rarity combination of amusement and education .,Failed
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,conceivably no picture ever made has more literally demonstrated that the road to hell is paved with good intentions .,Failed
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,steers turns in a snappy scenario that earrings at the edges ; it's so clever you wanna to loathe it . but he somehow pulled it off .,Successful
take care of my cat offers a refreshingly different slice of asian cinema .,take care of my cat offers a delightfully various slice of asian cinema .,Failed
"this is a film well worth seeing , talking and singing heads and all .","this is a film well worth seeing , talking and singing heads and all .",Failed
what really surprises about wisegirls is its low-key quality and genuine tenderness .,what really surprises about wisegirls is its low-key quality and genuine fondness .,Failed
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .","( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",Failed
"one of the greatest family-oriented , fantasy-adventure movies ever .","one of the greatest family-oriented , fantasy-adventure movie ever .",Failed
"ultimately , it ponders the reasons we need stories so much .","ultimately , it ponders the motive we need story so much .",Failed
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,an utterly cogent 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,Successful
illuminating if overly talky documentary .,instructive if overly talky documentary .,Failed
a masterpiece four years in the making .,a masterpiece four years in the making .,Failed
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","the movie's ripe , enrapturing beauty will tempt those desirous to investigate its impenetrable mysteries .",Failed
offers a breath of the fresh air of true sophistication .,affords a respiration of the fresh air of true sophistication .,Failed
"a thoughtful , provocative , insistently humanizing film .","a thoughtful , inflammatory , insistently humanizing film .",Failed
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","with a casting that includes some of the top actors collaborating in independent films , lovely & amazing implicates us because it is so incisive , so bleakly amusing about how we go about our lives .",Failed
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,a disturbing and frighteningly evocative assembly of imaging and hypnotic music composed by philips glass .,Failed
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","not for everybody , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",Failed
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,Failed
"occasionally melodramatic , it's also extremely effective .","occasionally melodramatic , it's also hugely efficacy .",Failed
spiderman rocks,spiderman rocks,Failed
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,an idealistic love story that brings out the latent 15-year-old romantic in everybody .,Failed
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .","at about 95 minutes , treasure planet maintains a brisk cadence as it racing through the familiar tales . nonetheless , it lacks grandeur and that epic quality frequently associated with stevenson's tale as well as with beforehand disney endeavors .",Failed
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play somebody who resembles a real kid .,Failed
"guaranteed to move anyone who ever shook , rattled , or rolled .","warranty to move anyone who ever shook , rattled , or rolled .",Successful
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","a masterly filmmaking from a master filmmaker , unique in its deceitful grimness , conclusive in its fatalist worldview .",Failed
"light , cute and forgettable .","light , cute and forgettable .",Failed
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","if there's a way to effectively taught child about the danger of drugs , i thought it's in project like the ( unfortunately r-rated ) paid .",Failed
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .","while it would be easy to give crush the new title of two weddings and a funeral , it's a far more considerate film than any slice of hugh grant whimsy .",Failed
"though everything might be literate and smart , it never took off and always seemed static .","though everything might be literate and smart , it never took off and perpetually seemed static .",Successful
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days","cantet perfectly captured the hotel lobbies , two-lane roads , and roadside cafes that permeate vincent's days",Failed
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .","ms . fulford-wierzbicki is almost spooky in her sulky , calculates loli turn .",Successful
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","though it is by no means his best collaborate , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a thrilling filmmaking replete with reward to be had by all willing to make the endeavor to reap them .",Failed
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .","like most bonding outings in recent years , some of the stunts are so extravagant that they border on being cartoonlike . a ponderous reliance on cgi technology is start to creep into the serial .",Failed
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","newton draws our attention like a magnet , and act circles around her better known co-star , marked wahlberg .",Failed
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","the tale loses its bite in a last-minute pleased terminating that's even less plausible than the remainder of the picture . much of the way , although , this is a delightfully new ride .",Failed
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,fowler would surely have called this gutsy and at times exhilarating movie a great yarn .,Failed
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '","'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",Failed
the film makes a strong case for the importance of the musicians in creating the motown sound .,the film makes a strong case for the significance of the musician in creating the motown sound .,Failed
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","karmen moves like rhythm itself , her lips chanting to the trounced , her lengthy , twisted hairstyle doing little to wipe away the jeweled beads of perspiration .",Failed
gosling provides an amazing performance that dwarfs everything else in the film .,gosling provides an amazing performance that midgets everything otherwise in the film .,Failed
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .","a real movie , about actual people , that affords us a rare glimpse into a culture most of us don't know .",Failed
tender yet lacerating and darkly funny fable .,tender yet lacerating and darkly funny fable .,Failed
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,may be spoofing an easy targeting -- those elderly '50's giant creature features -- but . . . it concedes and commemorates their cheesiness as the reason why people get a kicking out of watching them today .,Failed
an engaging overview of johnson's eccentric career .,an engage overview of johnson's eccentric careers .,Failed
"in its ragged , cheap and unassuming way , the movie works .","in its ragged , cheap and unassuming path , the movie collaborating .",Successful
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,some actors have so much charisma that you'd be happy to listen to them reading the phones book . hugh grant and sandra bullock are two such likeable actors .,Failed
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .","sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart commences to open .",Failed
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .","behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture host a parka-wrapped dosage of heart .",Successful
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .","everytime you thoughts secrets brother has run out of steamed , it finds a newer way to surprise and distract .",Failed
"manages to be original , even though it rips off many of its ideas .","manages to be originals , even albeit it rips off many of its thought .",Successful
"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .","singer/composer brian adams contribute a slew of songs  a few potential hits , a few more simply invasive to the story  but the entirety packaging doubtless captured the intended , er , spirit of the piece .",Successful
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,you'd thought by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still cute here .,Failed
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .","whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably exciting and playful fellow .",Failed
"a pleasant enough movie , held together by skilled ensemble actors .","a pleasant enough movie , held together by skillful ensemble actors .",Failed
this is the best american movie about troubled teens since 1998's whatever .,this is the best american movie about disturbed teenaged since 1998's whichever .,Failed
