,Unnamed: 0,original,perturbed,type,labels
0,704,"Visited for brunch again on a rainy winter Sunday.  I reaffirm my previous comments.\n\nGood service.  Generally great food (the breakfast pastries, my breakfast polenta and the wife's scallops were fantastic), however inconsistencies still prevent the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  seriously, this meat is a fork cutting affair.  However, the bread itself seemed stale and completely took away from the star in the spot light.\n\nAs with Eleven, you can't go wrong with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!","Visited for brunch again on a rainy winter Sunday.  I reaffirm my previous comments.\n\nGood service.  Generally great caterer (the breakfast pastries, my breakfast polenta and the wife's scallops were fantastic), however abnormalities still prevent the 5-star praise.\n\nWhile the coffee is great, the crud in the creamer and a dirty spoon to start the meal off were not.  In addition, I may have had one of the most bi-polar plates of my life...  braised lamb on grilled sourdough.  The lamb itself was kiss-yo-mama good...  severely, this meat is a fork cutting affair.  However, the sandwich itself seemed stale and completely accomplished away from the exalt in the spot light.\n\nAs with Eleven, you can't go wrong with the brunch pre-fix, so be prepared to need a wheel barrel to get yourself out the door!",Successful,2.25
1,988,The store has a weird rotting meat smell sometimes. The selection isn't amazing but there are a few interesting items here. As other people commented there are always people hanging around outside.... But they are friendly at least to me! One thing I like about the store is the proximity to my house. The biggest let down is the sky high prices that I think GE is notorious for... I miss Kroger,The store has a weird decadent meat savoury sometimes. The selection isn't amazing but there are a few interesting items here. As other people commented there are always people hanging around outside.... But they are friendly at least to me! One thing I like about the store is the proximity to my house. The biggest let down is the sky high taxes that I think GE is notorious for... I miss Kroger,Successful,2.5
2,277,"Let me start off by saying I have mostly simple tastes, and my favorite lunch spot for Chinese has been the New Dumpling House in Squirrel Hill. But since that restaurant is undergoing renovations, I was forced to try something new.\n\nSo... I thought I'd try the chain PF Chang's Chinese Restaurant at the Waterfront. Wow, what an unsatisfying mistake that turned out to be.\n\nI started with a cup of their Wonton soup. At $2.95 it wasn't too outrageous of a price, the broth had some flavor and there was much more in it than I was used to, including three giant basil (I think?) leafs that covered everything beneath. In the broth were chunks of chicken, two shrimp, some sliced water chestnuts and two \""""pork\""""-filled wontons. As I said, the broth had decent flavor, but the wontons were thick, doughy and under-cooked, and the chicken chunks were dry, which is amazing since they were drowned in broth! On a scale of bad to good, it was kind of meh.\n\nNext came my \""""lunch-portion\"""" order of Chang's Kung Pao Chicken (the dinner portion is $5 more). \n\nAt the New Dumpling House, this dish is served with a delectable dark, rich, tangy sauce, which I was really hoping for... Not at PF Chang's. \n\nOn my plate I received about 8 quarter-size chunks of lightly breaded and browned chicken, 7 hot Chinese red chili peppers (mostly inedible unless they are diced into a sauce), a handful of blanched, unsalted peanuts, a few sliced scallions, and a bed of the most bland brown rice I have ever encountered. Uncle Ben would've been ashamed if that stuff came out of one of his boxes.\n\nGlaringly, there was NO SAUCE!. None at all.\n\nI've had Kung Pao Chicken in New York City, San Francisco, and even from a hole in the wall in Bethel Park, PA that was much, much better. Never have I had it served in such a bland, skimpy, and overpriced way! The \""""lunch-portion\"""" cost was $9.95.\n\nAt The New Dumpling House, I could have a delicious lunch, with soup, entree and complimentary hot tea, and I could leave satisfied with just $8 out-of-pocket -- and that includes the tip.\n\nThe service was decent. However, lesson learned. One and done. Never going back to PF Changs.","Let me start off by saying I have mostly simple tastes, and my favorite lunch spot for Chinese has been the New Dumpling House in Squirrel Hill. But since that restaurant is undergoing renovations, I was forced to try something new.\n\nSo... I imagine I'd try the chain PF Chang's Chinese Restaurant at the Waterfront. Wow, what an unsatisfying mistake that becoming out to be.\n\nI erupted with a cup of their Wonton soup. At $2.95 it wasn't too outrageous of a price, the broth had some flavor and there was much more in it than I was used to, including three giant basil (I think?) leafs that covered everything beneath. In the broth were chunks of chicken, two shrimp, some sliced water chestnuts and two \""""pork\""""-filled wontons. As I said, the broth had decent flavor, but the wontons were thick, doughy and under-cooked, and the chicken chunks were sec, which is amazing since they were drowned in broth! Around a greatness of wicked to good, it was kind of meh.\n\nNext came my \""""lunch-portion\"""" order of Chang's Kung Pao Chicken (the dinner portion is $5 more). \n\nAt the New Dumpling House, this dish is served with a delectable dark, rich, tangy sauce, which I was really waiting for... Not at PF Chang's. \n\nOn my plate I received about 8 quarter-size chunks of lightly breaded and browned chicken, 7 hot Chinese red chili peppers (mostly inedible unless they are diced into a sauce), a handful of blanched, unsalted peanuts, a few sliced scallions, and a bed of the most inoffensive brown rice I have ever been. Uncle Benn would've been ashamed if that dope came out of one of his vaults.\nitrogen\nGlaringly, there was NO SAUCE!. None at all.\s\nI've was Emperor Pau Chickens in New York City, San Francisco, and even from a slit in the wall in Bethel Park, POP that was much, much good. Never was I had it functioned in such a clichéd, undies, and overpriced way! The \""""lunch-portion\"""" cost was $9.95.\n\nath The New Wad Houses, me could was a delicious lunch, with soup, entree and complimentary hot tea, and I could leave satisfied with just $8 out-of-pocket -- and that includes the tip.\n\nThe service was decent. However, lesson learned. One and done. Never going back to PF Changs.",Successful,1.75
3,653,Can be moderately priced for lunch -- take advantage!  We had a cheese tasting simply because I *never* pass up Pleasant Ridge Reserve when given the opportunity.  They also choose a lovely soft sheep's milk and an herbed goat cheese from Cypress Grove.  Nice work but pricey -- only two slices of baguette and apple!  I had the romaine salad -- should have gone with a sandwich and the delicious looking truffle fries!  The feta and red pepper dressing were just too salty and rich for 1pm.  I spied a number of delicious looking sandwiches from my table...\n\nService was great and the waiter even went out of his way to answer a couple questions about the cheese selection.,Can be moderately priced for lunch -- take advantage!  We had a cheese tasting simply because I *never* adopt up Pleasant Ridge Reserve when given the opportunity.  They also choose a lovely soft sheep's milk and an herbed goat cheese from Cypress Grove.  Nice work but honey -- only two slices of baguette and apple!  I had the romaine salad -- should have gone with a sandwich and the glamorous looking truffle fries!  The feta and red pepper dressing were just too salty and prosperous for 1pm.  I spied a number of delicious looking sandwiches from my table...\n\nService was great and the waiter even went out of his way to answer a couple questions about the cheese selection.,Successful,2.5
4,985,"This Giant Eagle maybe the worst supermarket I've ever been to. There are thugs hanging out by the entrance and in the parking lot. The interior is dark and dank and has an outdated \""""made in the 70s\"""" feel. With options like this I don't have a problem taking the extra time to drive to Trader Joe's.","This Phenomenal Eagle maybe the lousiest supermarket I've ever been to. There are gangbangers hanging out by the inscriptions and in the parking lot. The fatherland is dark and dank and has an outdated \""""made in the 70s\"""" foreboding. With options like this I don't have a hassles taking the extra time to drive to Trader Joe's.",Successful,1.75
5,387,"Without question, this is my favorite thrift store in the greater Pittsburgh region. I find antique kitchenwares here that are older than my grandma, worth $85 if the antique mall is to be believed, and priced at $2.50. The 50%-off sales actually pay off here. The merchandise turns over quickly. The staff is a real cast of characters (don't miss the steelers tattoos!!! i'm seriously serious, they are amazing). there are bicycles for you and your kids in decent-semi-working condition. The balance of stuff is about half and half valuable old vintage and more modern hand-me-downs. The prices are reasonable to cheap. The plastic bags on the wall are often a treasure trove. The kitchen section could outfit your kitchen in fondue pots for days. Most thrift store remodels result in ridiculous high prices to pay for the construction. The remodel here just means a bigger, cleaner store and parking lot. \n\nI have spent, cumulatively, probably  several weeks of my life in this store. This is, hands-down, without question, the thing I miss most about leaving Pittsburgh. This store is the largest single contributor to my wardrobe, outside of H&M.","Without themes, this is my prefered thrift store in the greater Pittsburgh region. I find antique kitchenwares here that are older than my grandma, worth $85 if the antique mall is to be believed, and priced at $2.50. The 50%-off sales actually render off here. The merchandise turns over prematurely. The staff is a real cast of characters (don't miss the steelers tattoos!!! i'm seriously serious, they are amazing). there are cyclists for you and your kids in decent-semi-working condition. The balance of stuff is about half and half valuable old vintage and more modern hand-me-downs. The prices are reasonable to cheap. The plastic bags on the wall are often a hoard trove. The kitchen section could outfit your kitchen in fondue pots for days. Most thrift store remodels result in ridiculous high prices to pay for the construction. The remodel here just means a bigger, cleaner store and parking lot. \n\nI have spent, cumulatively, probably  several weeks of my life in this store. That is, hands-down, without question, the thing I miss most about going Steelers. This store is the largest single contributor to my riddance, outside of H&M.",Successful,2.0
6,328,A group of us traveld here to go kenneywood park across the road but we decided not to after what we drove throuhg to get there so we atleast decided to get somthing to eat and man where we happey to get out alive. We where the only normal people in this place. The kids next to us who where only 14 where bragging and saying that they went to jail 2 times in their life. You had people selling their food outsdie the resturant. after seeing that we quickly left and hid in our cars with the doors locked. While we where in there my friend got hit on by 2 girls and they gave him there numbers while the other young guy across the table yeld dont do it dont do it. Must I say more? bottom line is dont go if you are normal and get the hell out of that area cause if you call a shank a happey meal toy then that is the resturant for you.,A roundtable of our traveld here to go kenneywood garden across the road but we determine not to after what we dictated throuhg to get there so we alot resolutions to perceive becasue to eat and man where we happey to get out alive. Our where the only normal people in this pleasure. The kids next to us who where only 14 where bragging and saying that they went to jail 2 times in their longevity. Thyself am people selling their food outsdie the resturant. after seeing that we quickly forgot and hid in our cars with the gateway latching. Except we where in there my friendships took hit on by 2 girls and they yielded him there figure while the other young kinds across the tableau yeld dont do it dont been it. Oughta I say more? substantive lines is dont wiggle if you are normal and achieve the shit out of that themes spark if you ask a shank a happey meal toy then that is the resturant for you.,Successful,1.5
7,297,"Eat n Park is usually decent.  This location though has HORRIBLY SLOW service.  Seriously, we never wait less than 10 minutes for a server to acknowledge us, and we live near the Waterfront, so we've given this location the benefit of the doubt numerous times.  Each time hoping that the last was just a fluke, new staff, or something.  It's not.  Doesn't matter what time we go.  It seems we are not acknowledged for several minutes, and then the service is mediocre at best.  Occasionally, we've had a stellar service, but it's few and far between.  Today, after waiting 15 minutes, then getting up to find a server in another section, we were informed that we were sitting in a \""""closed\"""" section.  That server offered to serve us, but honestly, we left.  I told the hostess who seated us about the mixup, and got a blank stare.  I've never had this issue at any other EnP.  We left, drove to the Squirrel Hill location, and our orders were taken in the amount of time we wasted at the Waterfront.  Mgmt- you have a beautiful, prime location.  Get your hosts and servers on the same page!","Nutritional n Tunney is repeatedly worthwhile.  These location though has INDESCRIBABLY SLOW service.  Greatly, we never wait less than 10 mn for a servants to acknowledge us, and we subsistence next the Waterfront, so we've given this placing the benefit of the doubt numerous times.  Each time awaiting that the last was just a fluke, new staff, or something.  It's not.  Doesn't occasion what time we go.  It seems we are not acknowledged for several mn, and then the serves is mediocre at allright.  Perpetually, we've became a stellar service, but it's few and far between.  Today, after waiting 15 minutes, then getting up to find a server in another section, we were noticing that we were sitting in a \""""closed\"""" section.  That server offered to serve us, but honestly, we left.  I told the hostess who seated us about the mixup, and got a blank stare.  I've never had this issue at any other EnP.  We let, drove to the Squirrel Jebel location, and our orders were picking in the amount of time we forgot at the Waterfront.  Mgmt- you have a beautiful, elemental hire.  Attained your hosts and servers on the same page!",Successful,1.5
8,487,"The times I've been here, its been an OK experience. However, their store hours are absolutely terrible. Closing at 7pm basically means they're never open when I would need to go there. Despite this being more conveniently located, Walgreens and Target end up getting most of my quick-shop business, simply due to late hours at night when I need to cook, clean, realize I'm out of toothpaste, have a headache, need a last-minute birthday card or whatever.","The times I've been here, its been an GOOD experience. However, their store hours are definitely spooky. Closing at 7pm basically means they're never open when I would need to go there. Except this being more conveniently predicated, Walgreens and Target end up getting most of my quick-shop business, simply due to late hours at night when I need to cook, clean, realize I'm out of toothpaste, have a headache, need a last-minute birthday card or whatever.",Successful,2.75
9,54,"I belong to this gym...  I live in the South section of Pittsburgh, and I find that this gym is not too far from me.  The staff is friendly, the equipment is quite good.  You get two free personal training sessions when you join.  They have lots of weights (which my boyfriend uses) and a decent cardio room.  The only thing I would say is to increase some of the cardio equipment.  Water is only $1 a bottle!","I belong to this gym...  I live in the South section of Pittsburgh, and I find that this gym is not too eminently from me.  The staff is friendly, the equipment is precisely ok.  You get two free personal training sessions when you join.  They have lots of weights (which my boyfriend uses) and a decent cardio room.  The only thing I would avowed is to increase some of the cardio equipment.  Water is only $1 a bottle!",Successful,2.25
