original,perturbed,type
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","the pebble is destined to be the 21st century's recent "" conan "" and that he's going to render a splash even longest than arnold schwarzenegger , jean-claud van damme or steven segal .",Successful
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .","the gorgeously elaborate incessant of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately portrays co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Successful
effective but too-tepid biopic,usefulness but too-tepid biopic,Successful
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","if you recurring like to proceed to the video to ter joking , wasabi is a good place to priori .",Successful
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .","appears as something rare , an lawsuit movie that's so loyalist and keenly observed that it doesn't feel amour one .",Successful
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,the theater prescribes some great perspective into the oversexed mindset of all comics -- even those who haya arrives the utter top of the game .,Successful
offers that rare combination of entertainment and education .,offers that paltry amalgam of entertainment and education .,Successful
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,perhaps no picture ever made has more literally showed that the road to hell is paved with decent intentions .,Successful
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,steers turns in a clunky screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow withdrawing it off .,Successful
take care of my cat offers a refreshingly different slice of asian cinema .,having care of my cat providing a nonchalantly discordant slice of asian cinema .,Successful
"this is a film well worth seeing , talking and singing heads and all .","this is a footage well worth query , mention and singing headboard and all .",Successful
what really surprises about wisegirls is its low-key quality and genuine tenderness .,what actually surprises about wisegirls is its low-key caliber and exact malady .,Successful
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .","( wendigo is ) why we go to the movie : to got driven through the eye , the heart , the bother .",Successful
"one of the greatest family-oriented , fantasy-adventure movies ever .","one of the fittest family-oriented , fantasy-adventure cinematographers ever .",Failed
"ultimately , it ponders the reasons we need stories so much .","ultimately , it mulling the reasons we need stories so much .",Successful
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,an utterly overriding 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,Successful
illuminating if overly talky documentary .,illuminated if overly talky documentary .,Successful
a masterpiece four years in the making .,a masterpiece four centuries in the fact .,Failed
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","the movie's ripening , enrapturing beauty goes indulge those desirous to quiz its mysterious arcane .",Successful
offers a breath of the fresh air of true sophistication .,prescribes a breath of the fresh airborne of appropriate delicacy .,Successful
"a thoughtful , provocative , insistently humanizing film .","a perceptive , problematic , insistently humanizing filmmakers .",Failed
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , too bleakly distracting about how we go about our lives .",Successful
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,a bothersome and frighteningly evocative assembly of imagery and rhythmical music composed by philip glass .,Successful
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","not for everyone , but for those with whom it will connect , it's a groovy departure from standard moviegoing fare .",Successful
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,scores a confined points for doing what it does with a dedicated and good-hearted professionalism .,Successful
"occasionally melodramatic , it's also extremely effective .","occasionally melodramatic , it's also extremely reasonable .",Successful
spiderman rocks,spiderman boulder,Failed
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,an brainchild love story that prescribes out the latent 15-year-old romantic in everyone .,Successful
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .","at about 95 mins , inestimable planet maintains a brisk rate as it races through the familiar story . however , it lacks grandeur and that story qualifications periodically associated with stevenson's tale as well as with earlier disney efforts .",Successful
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,it supported that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,Successful
"guaranteed to move anyone who ever shook , rattled , or rolled .","insure to relocate anyone who ever shook , rattled , or entered .",Successful
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","a inimitable flick from a capitaine screenwriter , uncommon in its dishonest grimness , undoubted in its killjoy metaphysics .",Successful
"light , cute and forgettable .","slight , cute and forgettable .",Successful
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","if there's a way to effectively pedagogy kids about the dangers of drugs , i thoughts it's in projects like the ( unfortunately r-rated ) paid .",Successful
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .","while it would be easy to give crush the new title of two matrimony and a mortuary , it's a far more conscientious cameraman than any cut of hugh grant whimsy .",Successful
"though everything might be literate and smart , it never took off and always seemed static .","though everything might be literate and smart , it never picked off and always seemed static .",Successful
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days","cantet perfectly nabbed the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",Successful
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .","ms . fulford-wierzbicki is almost horrible in her sulky , calculating lolita turn .",Successful
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","if it is by no signifies his exemplary function , laissez-passer is a notorious and characteristic effort by a bona-fide captain , a unforgettable cameraman bevy with award to is assumed by all allready to accomplish the attempt to congregate them .",Successful
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .","like most bonds visitations in recent aging , some of the stunts are so indiscreet that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to douche into the series .",Successful
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","newton pulling our centered like a magnet , and acts circles around her better known co-star , mark wahlberg .",Successful
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","the story loses its bite in a last-minute gratified ending that's even less plausible than the rest of the picture . much of the way , though , this is a gladly novel ride .",Successful
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,fuller would surely have called this gutsy and at times invigorating movie a sizable yarn .,Successful
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '","'compleja h intelectualmente retadora , la ladrón de orquídeas se uno from esos filmes rocio headscarf la nae worm precisamente por suu originalidad . '",Successful
the film makes a strong case for the importance of the musicians in creating the motown sound .,the film makes a stiff case for the importance of the musicians in creating the motown sound .,Successful
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","karmen actions like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",Successful
gosling provides an amazing performance that dwarfs everything else in the film .,gosling provides an whopping performance that dwarfs everything else in the film .,Successful
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .","a real movie , about real people , that gives us a scant glimpse into a culture most of ourselves don't know .",Successful
tender yet lacerating and darkly funny fable .,bid yet lacerating and wistful banter fable .,Successful
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,may is spoofing an easy target -- those old '50's giant creature specifics -- but . . . it acknowledges and known their cheesiness as the reason why gens get a kick out of watching them yesterday .,Successful
an engaging overview of johnson's eccentric career .,an joins overview of johnson's wacky vocation .,Successful
"in its ragged , cheap and unassuming way , the movie works .","in its ragged , cheap and unassuming way , the movie employment .",Successful
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such ingratiating actors .,Successful
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .","sandra nettelbeck oddly orchestrates the turn of the nippy , neurotic , and self-absorbed martha as her heart begins to open .",Successful
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .","behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of epicenter .",Successful
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .","everytime you devine undercover brother has run out of vapour , it finds a new way to surprise and derail .",Successful
"manages to be original , even though it rips off many of its ideas .","manages to be original , even nevertheless it rips off many of its ideas .",Successful
"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .","singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly impounded the intended , er , spirit of the piece .",Successful
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,you'd supposing by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is anymore charming here .,Successful
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .","whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably puzzling and childish fellow .",Successful
"a pleasant enough movie , held together by skilled ensemble actors .","a pleasant enough filming , detained along by specialised ensemble actors .",Successful
