original,perturbed,type
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,@user nice new signage. Are you not concerned by Beatlemania -styles hysterical crowds crongregating on you…,Failed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A woman who you fucked various times saying yo cock little is a congratulating you know u hit that spot 😎,Failed
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,@users @users real chitchat do you have eyes or were they gouged out by a rapefugee?,Failed
your girlfriend lookin at me like a groupie in this bitch!,your girlfriend lookin at me like a groupie in this bitch!,Failed
Hysterical woman like @user,Hysterical woman like @user,Skipped
Me flirting- So tell me about your father...,Me flirting- So tell me about your fathers...,Failed
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...","The Filipinos Catholic bishops' collaborating for migrants workers should concentrate on familial who are ""paying the grand...",Failed
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,I AM NOT GOING SUBSEQUENTLY YOUR EX BF YOU LIEING SACK OF CRAP ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,Failed
When cuffin season is finally over,When cuffin season is finally over,Failed
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?","Despatch abode migrant not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRIES WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Successful
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Corey Booker and Kamala Harris competing for Most Hysterical Women at the Kavanaugh hearings, Coulter hilariously tweeted.And yup, liberals immediately got triggered on Twitter, saying her jest was offensive. To them we say, suck it up, snowflakes.",Successful
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Failed
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Should have let the Libyan Manchester bomber rot in his own countries. How many more mass killers did the Royal Navy imports to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Failed
More migrants take sea route to #Spain than Italy this year: UN,More migrants take sea routing to #Spain than Italy this year: UN,Failed
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.","Key reading for those in Scribner, Nebraska who are considering an anti-immigrant ballots measure.",Failed
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","This account was temporarily inert due to an unreasonable woman reporting us to Facebook. What a lack of judgments, appalling. #YesAllMen",Failed
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,RT @user @users I am flattered tbh. I get an orgasm just by thinking of it you really are good at this.,Failed
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.","Making them look ~anatomically rectify~ just makes them... Bland. Not all woman are tiny and fitted, not all males are bulky.",Failed
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,listen... i loves lil b but i would not fucking with dej loaf at all. she prob got poisons up in her nail polish like that bitch from holes,Failed
@user @user keep calling her a bitch and a whore dude real grown up.,@user @user keep calling her a bitch and a whore dude real grown up.,Skipped
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user","Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",Skipped
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops","@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",Skipped
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe","Illegally Foreigners Pummeled Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",Failed
An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,An Honest Article Circa Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,Failed
@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!,@users @user @user @user please spread the word  -&gt;&gt; use frequent pamphlet miles to reunite immigrants familial!,Failed
"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch","knuckle up cause I'll combat for landmines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch",Failed
"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…","Yes, women who protesting are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",Successful
@user Not all men are animals. You Libs want muslims to come over still? Better pick a side.,@user Not all males are animals. You Libs want muslims to come over still? Better chosen a side.,Failed
"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user","Federal judge to #Trump: ""forthcoming danger"" of ""irreparable lesion to #refugee, visa-holders"", etc. @user",Failed
This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe,This bitch whom I won't name on Twitter is such a shameless woman demolishing a relationship. #getalife #stopspreadinglies #hoe,Failed
@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,@user @user Omg he yielded her his number and she didn't say no what a cunt The daughters is the cunt for giving it to some random fucktard,Successful
Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user,Why we need to protect refugees from the ‘˜large thought’ designed to save them @user @user @user @user @user @user @users,Failed
Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:,Kevin Rosero of the Latino Immigrants Experiences Oral History Project #NJHRIC #NewarkPublicLibrary needs assists identify Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:,Failed
@user Are you pussy grabbing tonight??,@users Are you pussy grabbing tonight??,Failed
"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly","Some people really dont understanding why I get so upset at injustices happening in this country. Trusting me, it's not that I like getting my trousers in a wad over dumb things. It's the fact that people like me (minority, brown, immigrants, etc) r suffers and it affects me directly",Failed
I've been called a son of a whore and a cunt today already. It's not even 1 yet,I've been called a son of a whore and a cunt today already. It's not even 1 yet,Failed
"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’","Pontiff Francis: Immigrants Furnishes ‘˜Enrichment’ to Society, Not ‘˜Dangers’",Failed
