original,perturbed,type
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Skipped
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their counterfeits president.,Successful
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,@user Learn him some line subsidized. His is gonna sunt just admirable. Because the plays wandered on you could stare him advances more with his read. It been what got been squandered. Both serious baseball attendees. Still he just calls a trifle more day,Failed
@user @user She is great. Hi Fiona!,@user @users She is massive. Bye Fiona!,Failed
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,@subscriptions Herself has become a parody unto herself? Her has certainly taken some heats for being such an....well witless. Could be optic too  Who know with Liberals  They're all optics.  No elements,Successful
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""","@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user That is the VetsResistSquadron"""" is Bullshit.. They are babes scout militants, I haya never flattered any other guerrillas or played with anyone that was a gun control sympathizer? Possesses you?""""",Successful
@user Your looking more like a plant #maga #walkaway,@user Your looking more iike a plant #maga #walkaway,Successful
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,@user @user Lol. Except he’s the most profitable president in our living. It’s undone most of the misdeeds Obummer did and play Americans on the bah chemin again. #MAGA,Successful
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,@user Been a Willie vented since before most of you were soldering....WORSHIPPED that he is remembrance a soars with Beto.... Really EMBRACING viewers are furious?  Ought you donner some character?,Successful
@user Here's a link to my channel with a plethora of topics to peruse:,@talkers Here's a liens to my channel with a hoards of subjected to rummage:,Failed
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,Skipped
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""","@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of goddam. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",Successful
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,@user Homie ordered 100 peers of Levi’s and then called to cancel! During Gun control! Wow earning wild!,Successful
@user @user Lmfaoooooo,@user @user Lmfaoooooo,Failed
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,@user Goodell should have been fired over a olds ago. Hears like the owners will let him rector the ship right into the iceberg. Oh even.,Successful
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care shitload -Obama care and then we’ll see what’s in it afterwards🤔,Successful
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,@shoppers also shitbiscuit pried most of the Bernardino maiden ni can't adjudged that on me..,Successful
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""","@user @user Well, see, if I start talking at Dana about sensible firearms control laws and she ignores me (or calls me a tragedy dry-humping blackguard"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""",Successful
@user @user You mean the way Hillary re-victimized all of Bills accusers?,@user @user You implicate the chemin Hillary re-victimized all of Inv impeached?,Failed
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,WONDERFUL HUMORIST VI CNN - NEWS?  NOT THUS DRASTICALLY!  #MAGA!  #LICENSEREPORTERS!,Successful
@user You are so fragile. It must be hard to live that way.,@user You are so fragile. His must sunt hard to lifestyle that manners.,Successful
@user All you do is lie. All congress does us lie.  MAGA.,@user Any you do is iie. All congress does us lie.  MAGA.,Successful
@user Freudian slip.,@user Freud slip.,Failed
