original,perturbed,type
"RT @user ""You too skinny, imma hurt you"" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""","RT @user ""You too skinny, imma hurt you"" Broads  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare.""",Successful
The relocationprogramm of the EU doesnt work. The refugees dont want to go to countries without a comfortabel socialsystem.,The relocationprogramm of the EU doesnt collaborators. The refugees shes want to disappear to countries without a comfortabel socialsystem.,Successful
"As the European Union gives political cover to Italy &amp; other states blocking &amp; threatening charities rescuing refugees &amp; migrants escaping Libya, death rate soars to staggering 1 in 7","Iike the European Europe gives political cover to Italy &amp; other states blocking &amp; threatening philanthropist redding refugee &gpa; migrants fly Libyans, death rate grow to staggering 1 in 7",Successful
This ignorant cunt bitch @user bout people hate her cus she’s lightskin...no. We hate you cus you are a man.,This ignorant cunt jerk @user bout people hate her cus she’s lightskin...no. We hate you cus you are a man.,Successful
Just cause you pussy boys get a strap don mean you a shoota (,Just cause you pussy guys get a strap don mean you a shoota (,Successful
"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.","Eric Cartman: How 'bout we sing, 'Kyle's Mom is a retard bitch' in D Minor.",Successful
"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer","@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Centralized Amer",Successful
"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!","@user Africa for Africans, Asia for Asians, White countries for everyone IS White Extinction.Some basic truths:  Consulted to Belo man is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!",Successful
#EU countries may be paid to host migrants in secure centres,#EU motherland may be paid to diners migrants in insure heart,Successful
"Too bad some of you bitches can't draw on a better personality, the way you draw on your fuckin eyebrows","Too bad some of you pricks can't draw on a better personality, the way you draw on your fuckin eyebrows",Successful
