,original,perturbed,type
706,"Over Christmas break, a group of college friends stay behind to help prepare the dorms to be torn down and replaced by apartment buildings. To make the work a bit more difficult, a murderous, Chucks-wearing psycho is wandering the halls of the dorm, preying on the group in various violent ways.<br /><br />Registered as one of the 74 'video nasties' listed by the U.K. in the 1980s, The Dorm That Dripped Blood had a good reputation built up for it prior to first viewing. The term 'video nasty' strikes into mind some images of some great explicit gore, violence, sex, etc.: All the things a horror fan dreams of. So, after hearing all of that info, I settled into Pranks (alt. title) expecting a sleazy slasher experience. . . and that's what it tried to be, but failed pretty much completely. Visually, the film's not great. The cinematography, gore (except for a couple scenes), and overall direction all fail. It's simply not enjoyable to watch. The unoriginal script is lacking and often throws in random things without any real reason (like the opening kill). There are some cool death scenes, including a pretty nice face melt (which can be seen on the poster), but that's about it for the positive. The acting is pretty bad, the story seems unimportant, the killer isn't cool or scary, and it suffers the one major error that any slasher flick should always avoid: it's a bit boring. Overall, for a film done by a few UCLA film students for $90,000 (which would be over double that today), The Dorm That Dripped Blood isn't a total mess. It has a couple good things, and is fairly watchable. . . But, as a slasher flick looking to be on the level of films like The House on Sorority Row and Pieces. . . it just cannot compare. Don't expect much, and you may at least be entertained. I hate to say it, but this is one of the few films I've seen that would actually be better with a remake. . . and yet, they go after great works like Black Christmas. Oh well. . .<br /><br />Obligatory Horror Elements:<br /><br />- Subgenre: Slasher<br /><br />- Violence/Gore: There are some brutally cool kills, and the gore is okay for the most part. . . but nothing special. Also, they off-screened some of the best murders.<br /><br />- Sex/Nudity: There's a little unappealing (to me) nudity, but not very much.<br /><br />- Cool Killer(s): Nah. The ending monologue(s) of the killer made him/her pretty uncool.<br /><br />- Scares/Suspense: A jump scare or two, but nothing too effective.<br /><br />- Mystery: I suppose, yeah, but I simply didn't care enough, and it's as obvious as the nose on the killer's face.<br /><br />- - -<br /><br />Final verdict: 3.75/10. Bah! Humbug! <br /><br />-AP3-","Over Christmas break, a group of college friends stay behind to help prepare the dorms to be torn down and replaced by apartment buildings. To make the work a bit more difficult, a murderous, Chucks-wearing psycho is wandering the halls of the dorm, preying on the group in various violent ways.<br /><br />Registered as one of the 74 'video nasties' listed by the U.K. in the 1980s, The Semesters Ec Dripped Blood had a good renowned built up for it prior to first viewing. The term 'video nasty' strikes into mind some images of some great explicit gore, violence, sex, etc.: All the things a horror fan dreams of. So, after hearing all of that info, I settled into Pranks (alt. title) expecting a sleazy slasher experience. . . and that's what it tried to be, but overlooked very much completely. Visually, the film's not great. The cinematography, gore (except for a couple scenes), and comprehensive direction all overlooks. It's easily not delightful to watch. The unoriginal command is lacking and often throws in random things without any real reason (like the opening kill). There are some cool death scenes, including a pretty nice face melt (which can be seen on the poster), but that's about it for the positive. The acting is pretty wicked, the story seems immaterial, the killer isn't cool or scary, and it suffers the one major error that any slasher flick should always avoid: it's a bit grim. Overall, for a film done by a few UCLA film students for $90,000 (which would is over double that today), Both Dormitory Esa Glistening Blood isn't a global confusion. It has a coupled good things, and is fairly watchable. . . Yet, as a slasher flick exploring to represented on the level of films like The House on Sorority Row and Pieces. . . it just cannot compare. Don't expect much, and you may at least be entertained. I hate to say it, but this is one of the few films I've seen that would actually remain better with a remake. . . and yet, they go after great works like Noir Christmas. Oh well. . .<br /><br />Obligatory Horror Elements:<br /><br />- Subgenre: Slasher<br /><br />- Violence/Gore: There are some brutally cool kills, and the gore is okay for the most part. . . but nothing special. Also, they off-screened some of the best murders.<br /><br />- Sex/Nudity: There's a little unappealing (to me) nudity, but not very much.<br /><br />- Cool Killer(s): Nah. The ending monologue(s) of the killer made him/her pretty uncool.<br /><br />- Scares/Suspense: A jump scare or two, but nothing too effective.<br /><br />- Mystery: I suppose, yeah, but I simply didn't care enough, and it's as obvious as the nose on the killer's face.<br /><br />- - -<br /><br />Final verdict: 3.75/10. Bah! Humbug! <br /><br />-AP3-",Successful
817,"This has to be, by far, the absolute worst movie I have seen in the last 20 years. When I saw that Michael Madsen was in it I figured it couldn't be too bad a movie since he has been in some pretty decent films, and he was a pretty fair actor. WRONG! No one should waste their time on this film. I fast forwarded through 80 percent of it and I don't feel that I missed a thing.","That has to either, by far, the unqualified worst films me have commented in the last 20 years. When I saw that Michel Madsen was in it I ideals it couldn't be too bad a films since he has been in some pretty good films, and he was a pretty fair virtuoso. FLAWED! No one cannot lose their moments on this filmmakers. I fast aired through 80 percent of it and I don't feel that I missed a thing.",Successful
162,"I was gifted with this movie as it had such a great premise, the friendship of three women bespoiled by one falling in love with a younger man.<br /><br />Intriguing.<br /><br />NOT! I hasten to add. These women are all drawn in extreme caricature, not very supportive of one another and conspiring and contriving to bring each other down.<br /><br />Anna Chancellor and Imelda Staunton could do no wrong in my book prior to seeing this, but here they are handed a dismal script and told to balance the action between slapstick and screwball, which doesn't work too well when the women are all well known professionals in a very small town.<br /><br />And for intelligent women they spend a whole pile of time bemoaning the lack of men/sex/lust in their lives. I felt much more could have been made of it given a decent script and more tension, the lesbian sub-plot went nowhere and those smoking/drinking women (all 3 in their forties???) were very unrealistic - even in the baby scene - screw the baby, gimme a cigarette! Right.<br /><br />Like I said, a shame of a waste. 4 out of 10.","I was gifted with this movie as it had such a great asuncion, the friendship of three women bespoiled by one falling in love with a younger man.<br /><br />Intriguing.<br /><br />NOT! I hasten to add. These women are all drawn in extreme caricature, not very supportive of one another and conspiring and contriving to bring each other down.<br /><br />Anna Chancellor and Imelda Staunton could do no wrong in my book prior to seeing this, but here they are handed a pessimistic script and told to balance the action between slapstick and screwball, which doesn't work too well when the women are all well known professionals in a very small town.<br /><br />And for intelligent women they spend a whole mantelpiece of time bemoaning the lack of men/sex/lust in their lives. I felt much more could have been made of it given a decent script and more tension, the lesbian sub-plot was nowhere and those smoking/drinking women (all 3 in their forties???) were very incredible - even in the baby scene - screw the baby, gimme a cigarette! Right.<br /><br />Like I said, a shame of a detritus. 4 out of 10.",Successful
834,"I heard about this film and knew it wasn't real good. But I started watching the film (on my film-channel)and was interested. This could be a really great, darkly black satire on todays morals in media. The small featurettes on every contestent were good. It build up to something I wouldn't wanna miss. But when the so called show starts everything becomes implausible, cheap and rather silly. Here's where the writer should have added something that would make people think. But instead it's wrapped up and assuming people are this dumb.<br /><br />The ending is so bad I give it a 1. Even if the film starts of promising.","I heard about this film and knew it wasn't real good. But I started watching the film (on my film-channel)and was interested. This could is a really great, darkly black satire on todays morals in media. The small featurettes on every contestent were good. It build up to something I wouldn't wanna miss. But when the so called show starts everything becomes implausible, cheap and rather silly. Here's where the writer should have added something that would make people think. But instead it's wrapped up and assuming people are this ironic.<br /><br />The ending is so injurious I give it a 1. Even if the film starts of promising.",Successful
259,"I wonder if there is any sense of sense in this movie. Its a big joke. Good.. Its entertaining .. You get to see the most stupid plot played very seriously in the form of a film .. I wonder which audience group this movie is basically targeted to.<br /><br />Priety (a pros) plays a surrogate mom for a happy couple Salman/Rani who want a child but can't. I wonder how it would be if this drama was a real-life take-off from a real couple's life.<br /><br />Rani appears happy with another pretty lady in her house who has been brought in to make a child for her & Salman. She cares for Priety and tries pushing her husband Salman to Preity so they may have some romance. When will the audience get fed up of Salman's nakhras.<br /><br />Though a good past-time, this movie is unbearable. Absurd.","I wonder if there is any sense of sense in this movie. Its a big humour. Good.. Its entertaining .. You get to see the most absurd plot played very seriously in the form of a film .. I wonder which audience group this movie is basically targeted to.<br /><br />Priety (a pros) plays a surrogate mom for a happy couple Salman/Rani who want a child but can't. I wonder how it would be if this drama was a real-life take-off from a real couple's life.<br /><br />Rani appears happy with another pretty lady in her house who has been brought in to make a child for her & Salman. She cares for Priety and tries pushing her husband Salman to Preity so they may have some romance. When will the audience get fed up of Salman's nakhras.<br /><br />Though a good past-time, this films is expendable. Asinine.",Successful
197,"I didn't know whether to laugh or cry at this misrepresentation of Canadian history, particularly the disservice done to the history of the Mounted Police in the Yukon.<br /><br />I'll leave it to Pierre Berton, noted historian, born and raised in Dawson City Yukon, and author of the definitive history of the Klondike gold rush, Klondike: The Last Great Gold Rush, 1896-1899 to express my exasperation with this silly movie: <br /><br />The American idea of an untamed frontier, subdued by individual heroes armed with six-guns, was continued in The Far Country, another story about a cowboy from the American west - Wyoming this time - driving his herd of beef cattle into gold country. The picture is a nightmare of geographical impossibilities, but the real incongruity is the major assumption on which the plot turns  that there was only one mounted policeman in all of the Canadian Yukon at the time of the gold rush and that he could not deal with the lawlessness. When James Stewart and Walter Brennan reach the Yukon border with their cattle, the customs shack is empty.<br /><br />""Where is the constable? asks Brennan.<br /><br />""Up on the Pelly River. Trouble with the Chilkats,"" someone replies. He's got a real tough job, that constable. He patrols some ten or twenty thousand square miles. Sometimes he don't get home for two or three months at a time."" <br /><br />The historical truth is that the Yukon Territory during the gold rush was the closest thing to a police state British North America has ever seen. The Northwest Mounted Police was stationed in the territory in considerable numbers long before the Klondike strike. They controlled every route into the Yukon and they brooked no nonsense. They collected customs duties, often over the wails of the new arrivals, made arbitrary laws on the spot about river navigation, and turned men back if they didn't have enough supplies, or if they simply looked bad. In true Canadian fashion, they laid down moral laws for the community. In Dawson the Lord's Day Act was strictly observed; it was a crime punishable by a fine to cut your wood on Sunday; and plump young women were arrested for what the stern-faced police called ""giving a risqué performance in the theatre,"" generally nothing more than dancing suggestively on the stage in overly revealing tights.<br /><br />In such a community, a gunbelt was unthinkable. One notorious bad man from Tombstone who tried to pack a weapon on his hip was personally disarmed by a young constable, who had just ejected him from a saloon for the heinous crime of talking too loudly. The bad man left like a lamb but protested when the policeman, upon discovering he was carrying a gun told him to hand it over. ""No man has yet taken a gun away from me,"" said the American. ""Well, I'm taking it"", the constable said mildly and did so, without further resistance. So many revolvers were confiscated in Dawson that they were auctioned off by the police for as little as a dollar and purchased as souvenirs to keep on the mantelpiece.<br /><br />In 1898, the big year of the stampede, there wasn't a serious crime  let alone a murder  in Dawson. The contrast with Skagway on the American side, which was a lawless town run by Soapy Smith, the Denver confidence man, was remarkable. But in The Far Country Dawson is seen as a community without any law, which a Soapy Smith character from Skagway  he is called Gannon in the picture  can easily control. (In real life, one of Smith's men who tried to cross the border had all his equipment confiscated and was frogmarched right back again by a mounted police sergeant).<br /><br />{in the movie the lone Mountie says} ""Yes I'm the law. I represent the law in the Yukon Territory. About fifty thousand square miles of it.""<br /><br />""Then why aren't there more of you?""<br /><br />""Because yesterday this was a wilderness. We didn't expect you to pour in by the thousands. Now that you're here, we'll protect you.""<br /><br />""When?""<br /><br />""There'll be a post established here in Dawson early in May.""<br /><br />""What happens between now and May? You going to be here to keep order?""<br /><br />""Part of the time.""<br /><br />""What about the rest of the time?""<br /><br />""Pick yourselves a good man. Swear him in. Have him act as marshal""<br /><br />The movie Mountie leaves and does not appear again in the picture. His astonishing suggestion  that an American town marshal, complete with tin star, be sworn in by a group of townspeople living under British jurisprudence  is accepted. Naturally they want to make Jimmy Stewart the marshal; he clearly fits the part. But Stewart is playing the role of the Loner who looks after Number One and so another man is elected to get shot. And he does. Others get shot. Even Walter Brennan gets shot. Stewart finally comes to the reluctant conclusion that he must end all the shooting with some shooting of his own. He pins on the tin star and he and the bully, Gannon, blast away at each other in the inevitable western climax.<br /><br />To anybody with a passing knowledge of the Canadian north, this bald re-telling of the story passes rational belief. <br /><br />excerpt from Hollywood's Canada, by Pierre Berton, 1975.","I didn't know whether to laugh or cry at this forged of Canadian history, particularly the disservice done to the history of the Mounted Police in the Yukon.<br /><br />I'll leave it to Pierre Berton, noted historian, born and raised in Dawson City Yukon, and author of the definitive history of the Klondike gold rush, Klondike: The Last Great Gold Rush, 1896-1899 to express my exasperation with this asinine movie: <br /><br />The American idea of an untamed frontier, subdued by individual heroes armed with six-guns, was continued in The Far Country, another story about a cowboy from the American west - Wyoming this time - driving his herd of beef cattle into gold country. The picture is a dream of geographical impossibilities, but the real incongruity is the major assumption on which the plot turns  that there was only one mounted policeman in all of the Canadian Yukon at the time of the gold rush and that he could not deal with the lawlessness. When James Stewart and Walter Brennan reach the Yukon border with their cattle, the customs shack is empty.<br /><br />""Where is the constable? asks Brennan.<br /><br />""Up on the Pelly River. Trouble with the Chilkats,"" someone replies. He's got a real tough job, that constable. He patrols some ten or twenty thousand square miles. Sometimes he don't get home for two or three months at a time."" <br /><br />The historical truth is that the Yukon Territory during the gold rush was the closest thing to a police state British North America has ever seen. The Northwest Mounted Police was stationed in the territory in considerable numbers long before the Klondike strike. They controlled every route into the Yukon and they brooked no nonsense. They collected customs duties, often over the wails of the new arrivals, made arbitrary laws on the spot about river navigation, and turned men back if they didn't have enough supplies, or if they simply looked bad. In true Canadian fashion, they laid down moral laws for the community. In Dawson the Lord's Day Act was strictly observed; it was a crime punishable by a fine to cut your wood on Sunday; and plump young women were arrested for what the stern-faced police called ""giving a risqué performance in the theatre,"" generally nothing more than dancing suggestively on the stage in overly revealing tights.<br /><br />In such a community, a gunbelt was unthinkable. One notorious bad man from Tombstone who tried to pack a weapon on his hip was personally disarmed by a young constable, who had just ejected him from a saloon for the heinous crime of talking too loudly. The bad man left like a lamb but protested when the policeman, upon discovering he was carrying a gun told him to hand it over. ""No man has yet taken a gun away from me,"" said the American. ""Well, I'm taking it"", the constable said mildly and did so, without further resistance. So many revolvers were confiscated in Dawson that they were auctioned off by the police for as little as a dollar and purchased as souvenirs to keep on the mantelpiece.<br /><br />In 1898, the big year of the stampede, there wasn't a serious crime  let alone a murder  in Dawson. The contrast with Skagway on the American side, which was a lawless town run by Soapy Smith, the Denver confidence man, was remarkable. But in The Far Country Dawson is seen as a community without any law, which a Soapy Smith character from Skagway  he is called Gannon in the picture  can easily control. (In real life, one of Smith's men who tried to cross the border had all his equipment confiscated and was frogmarched right back again by a mounted police sergeant).<br /><br />{in the movie the lone Mountie says} ""Yes I'm the law. I represent the law in the Yukon Territory. About fifty thousand square miles of it.""<br /><br />""Then why aren't there more of you?""<br /><br />""Because yesterday this was a wilderness. We didn't expect you to pour in by the thousands. Now that you're here, we'll protect you.""<br /><br />""When?""<br /><br />""There'll be a post established here in Dawson early in May.""<br /><br />""What happens between now and May? You going to be here to keep order?""<br /><br />""Part of the time.""<br /><br />""What about the rest of the time?""<br /><br />""Pick yourselves a good man. Swear him in. Have him act as marshal""<br /><br />The movie Mountie leaves and does not appear again in the picture. His astonishing suggestion  that an American town marshal, complete with tin star, be sworn in by a group of townspeople living under British jurisprudence  is accepted. Naturally they want to make Jimmy Stewart the marshal; he clearly fits the part. But Stewart is playing the role of the Loner who looks after Number One and so another man is elected to get shot. And he does. Others get shot. Even Walter Brennan gets shot. Stewart finally comes to the reluctant conclusion that he must end all the shooting with some shooting of his own. He pins on the tin star and he and the bully, Gannon, blast away at each other in the inevitable western climax.<br /><br />To anybody with a passing knowledge of the Canadian north, this bald re-telling of the story passes rational belief. <br /><br />excerpt from Hollywood's Canada, by Pierre Berton, 1975.",Successful
209,"*Possible Spoiler*<br /><br />'Return to Cabin by the Lake' is a useless movie. The acting was not good and the plot wasn't even remotely interesting.<br /><br />'Cabin by the Lake' is a good TV movie. The sequel was not. Judd Nelson was very good in the first film and put a whole lot more into his character than in this. It seemed as if HE wasn't even interested in doing the sequel. His acting was good but it could have been better. I really don't want to comment on the rest of the cast because in my opinion, they're not even worth mentioning. But I'll do it. The character of Alison isn't even hardly shown in the first part of the film. All of a sudden she's the center of attention next to Stanley Caldwell. The role didn't make sense and it should have been thought out a little better. Dahlia Salem was absolutely terrible. Her acting was way below decent and the casting people should have looked for somebody else, anybody else. The director, Mike, was a confusing character. He seemed to have a purpose for being there but it didn't seem like his death was necessary. The acting for this role was good, nothing great but better than Salem's.<br /><br />The plot was real lousy if you think about it. Stanley, who is presumed dead, makes his way onto the set of 'Cabin by the Lake', the movie based on his script. He stumbles upon the director and in a short time, the director is dead and Stanley is running the show. Yeah, out of nowhere the crew is just going to let this stranger come into the picture and finish the film not knowing anything about him. There's some killings, not a whole lot, and the one's that are shown are ridiculous. One of the actresses on the set gets electrocuted while filming a scene. Another character gets chewed up by a motorboat. And one gets tangled up in a plant before drowning. These writers must have been hard up for excitement.<br /><br />I just have to say that I was not impressed with the filming of the movie. The way that it kept changing from looking low budget back to normal started to become irritating very fast. Also, the new cabin by the lake was poorly created. We aren't shown it but only in a few scenes, and the whole thing with the chain in the basement was useless. It worked in the first film only because we were shown the room a lot more, but it didn't work in this one.<br /><br />There were too many characters in this sequel. All of them except for a few had no reason to be there. The acting of what little is showed was really bad and...they just didn't have a purpose in this movie.<br /><br />All in all, 'Return to Cabin by the Lake' is a sequel picking up from where the first left off. 'Cabin by the Lake' I can take but this was just not impressive. Judd Nelson should have avoided this one and so should you. It's nothing like the first and it went entirely too slow. Nothing happened in the first hour and it continued to drag on for the second. Not to mention that the writing was horrible. Put this on only if you need some help getting to sleep.<br /><br />So, we see that Stanley defies death and is still alive and well. By the way he talks, it sounds like there could be a possible third installment to a movie good just by itself. Quit throwing in sequels and we may be alright!<br /><br />(Did the film makers not realize that they showed us how they filmed the lake scenes from the first one? They were all done in a tank. Never, never reveal the secrets of filming.)<br /><br />","*Possible Spoiler*<br /><br />'Return to Cabin by the Lake' is a counterintuitive panorama. The behaved was not buenos and the plots wasn't even remotely odd.<br /><ab />'Clubhouse by the Lake' is a good GONZALES movie. Both sequel was not. Brody Nielsen was very good in the first film and presents a whole lot more into his character than in this. It seen as if HE wasn't even interested in doing the sequel. It acting was good but it could enjoys been better. I really don't want to comment on the rest of the cast because in my opinion, they're not even meritorious mentioning. But I'll achieve it. The character of Alison isn't even hardly shown in the first chapters of the film. Full of a surprising she's the center of attention next to Stanley Hodges. The role didn't achieve detection and it needs enjoy been thought out a little better. Dahlia Salem was absolutely scary. Her interim was way below decent and the casting people should have looked for somebody else, anybody else. The director, Mike, was a confusing character. He seemed to have a purpose for being there but it didn't seem like his death was necessary. The acting for this role was good, nothing prodigious but better than Salem's.<br /><br />The intrigue was real amiss if you think about it. Stanley, who is presumed dead, makes his way onto the set of 'Cabin by the Lake', the movie based on his script. He plunges upon the director and in a short time, the director is dead and Stanley is running the show. Yeah, out of nowhere the crew is just going to let this stranger come into the picture and finish the film not knowing anything about him. There's some killings, not a whole lot, and the one's that are shown are ridiculous. One of the actresses on the set gets electrocuted while filming a scene. Another character gets chewed up by a motorboat. And one gets tangled up in a plant before drowning. These writers must have been hard up for excitement.<br /><br />I just have to say that I was not impressed with the filming of the movie. The way that it kept changing from looking low budget back to normal started to become irritating very fast. Also, the new cabin by the lake was dimly created. We aren't shown it but only in a few scenes, and the whole thing with the chain in the basement was useless. It worked in the first film only because we were shown the room a lot more, but it didn't work in this one.<br /><br />There were too many characters in this sequel. All of them except for a few had no reason to be there. The acting of what little is showed was really bad and...they just didn't have a purpose in this movie.<br /><br />All in all, 'Return to Cabin by the Lake' is a sequel picking up from where the first left off. 'Cabin by the Lake' I can take but this was just not impressive. Judd Nelson should have avoided this one and so should you. It's nothing like the first and it went entirely too slow. Nothing happened in the first hour and it continued to drag on for the second. Not to mention that the writing was horrible. Put this on only if you need some help getting to sleep.<br /><br />So, we see that Stanley defies death and is still alive and well. By the way he talks, it sounds like there could be a possible third installment to a movie good just by itself. Quit throwing in sequels and we may be alright!<br /><br />(Did the film makers not realize that they showed us how they filmed the lake scenes from the first one? They were all done in a tank. Never, never reveal the secrets of filming.)<br /><br />",Successful
758,"OK this movie was made for one reason and one reason only TO MAKE MONEY!!The producers obviously didn't care about killing a classic horror movie. I knew this movie would suck as soon as it was going to be a pg-13 how many pg-13 slashers movies have turned out to be good? Thats like asking how many women have been on the moon? The answer is NONE!! Prom night 1980 was of cource no masterpiece but it certainly deserves to be recognised as a movie that stays true to its genre and deosnt try to be anything more than that.<br /><br />My problem with Prom night 2008 is the way that it handles the killer and i have 3 major problems with him.....................<br /><br />1)The way he escapes, he was locked up in a mental institute and he escapes through a air conditioning vent!! WHAT THE HELL? why would they have an air conditioning vent in the patients room? Do they want him to be comfortable during his stay or something? 2)His intentions are somewhat uncertain the killer want all of the main victims family and friends dead so he can have her all to his self, he says he loves her but the next minute he trys to kill her, so does he want to kill her, love her or just plain rape her?? 3) The killer is too good, how did he develop all of his skills? He used to be a teacher, so in this one scene where he kills the main victims boyfriend while hes basically on top of her asleep and she doesn't notice, it all silly 2 stars out of 10 terrible,silly,stupid attempt at a horror movie","OK this movie was made for one reason and one reason only TO MAKE MONEY!!The producers obviously didn't benevolent about killing a classic horror movie. I knew this movie would suck as soon as it was going to be a pg-13 how many pg-13 slashers movies have turned out to be good? Thats like asking how many women have been on the moon? The respondent is SOMETHING!! Prom night 1980 was of cource no masterpiece but it certainly deserves to is recognised as a movie that stays true to its genre and deosnt quest to get anything more than that.<br /><br />My phenomenon with Prom night 2008 is the way that it handles the killer and i have 3 major problems with him.....................<br /><br />1)The way he escapes, he was locked up in a mental institute and he escapes through a air conditioning vent!! WHAT THE HELL? why would they have an air conditioning vent in the patients room? Do they want him to be comfortable during his stay or something? 2)His intentions are somewhat uncertain the killer want all of the main victims family and friends dead so he can have her all to his self, he says he loves her but the next minute he trys to kill her, so does he want to kill her, love her or just plain rape her?? 3) The murder is too best, how did he develop all of his skills? He used to be a teacher, so in this one scene where he kills the main victims boyfriend while hes basically on top of her asleep and she doesn't notice, it all nutty 2 stars out of 10 scary,silly,stupid attempt at a horror movie",Successful
687,"You may want to know up front that I am not a Mormon, unlike a good number of those who have already reviewed this film. I mention this so you'll understand that the way I look at the film may differ greatly from those in the faith. For some, being critical of the film might be seen as being critical of the faith--and that is NOT my intention. So, my review is that of an outsider trying to look inside and learn more about who this man and his people were. Well, after seeing the film, I doubt if I have learned much at all. Since I have been a history teacher, I have a good basic understanding about Young as well as Joseph Smith as well as the teachings of the church. But anyone wanting to see this film to really learn anything will probably be disappointed because the film seems so gosh-darn nice--too nice and too unrealistic in its portrayal. Plus, you learn practically nothing about the church's beliefs other than they are nice people, work hard and some have many wives (and this latter part is only barely hinted at in the film). Instead, the people are almost cartoon-like in their simplistic portrayals. Joseph Smith and Brigham Young and their followers are angelic, the non-Mormons were all devils and Brian Donlevy (playing EXACTLY the same sort of role Edward G. Robinson later played in THE TEN COMMANDMENTS) is the trouble-maker who claims to be a Mormon but just comes along so the film can have a bad guy. It's all so very simple....too simple. Almost like an indoctrination film or infomercial.<br /><br />Brigham Young especially was a very complex man--with many good points (an excellent organizer and visionary) as well as bad (don't even get me started on his views about Blacks within the church or intermarriage). To portray him in such vague terms is just plain silly. It's also a lot like how Gandhi was portrayed in the film with Ben Kingsley--only the facts that led to his being almost super-human were emphasized. Heck, now that I think about that, this is the trouble with most religious films--they often come off as one-dimensional, trite and bland. Let's have a full and more complete film of these men--one that will stick to facts and not emotional appeals.<br /><br />Now if you can ignore the fact that you won't learn very much about the faith or its second leader, the film is enjoyable enough. It's obvious someone at 20th Century-Fox really cared about the film, as they had a wonderful cast of both premier actors (Tyrone Power), up and coming actors (Linda Darnell, Jane Darwell and Vincent Price) and wonderful character actors (Dean Jagger, John Carradine and Brian Donlevy). The film also had wonderful location shooting and lots of gloss. It just didn't have a lot to tell us other than they were all ""swell"". Plus, there were plenty of factual errors and a few just plain dumb scenes. A few of the mistakes include Young taking over the helm immediately after the death of Joseph Smith (it was three years later), no mention of the various Mormon denominations and splinter groups, talk of ""gold in California""--even though it was 1847 and gold wouldn't be discovered until 1948, as well as no specific mention of polygamy or Smith's many wives. Just plain dumb scenes include Carradine pulling out a gun and waving it about in the courtroom scene--and no one seemed to care--even though it was a very hostile audience! Don't you think at least the judge would tell him to put it away and stop threatening people with it?!<br /><br />One final comment. Do not, I repeat, do not watch this film when it's shown on American Movie Classics (a one great station that has sunk a lot in recent years). While I am critical of the film because of its simplistic message, I was horrified with the complete disrespect the station had for the church and its traditions. What I mean is this. The film was punctuated with ads for penis enlargement formulas as well as tons of pop-ups (some advertising a show that features the ""sexiest cast""). Talk about disrespectful and gross and I would be just as offended if they did this for any other religious film. By doing this, they not only insult the faith but marginalize their market--after all, who is into hearing about these things AND the life of Brigham Young?! Is this a movie, in this form, that you can show to your kids or recommend to others?!","You may want to know up front that I am not a Mormon, unlike a good number of those who have already reviewed this film. I mention this so you'll understand that the way I look at the film may differ greatly from those in the faith. For some, being critical of the film might be seen as being critical of the faith--and that is NOT my intention. So, my review is that of an outsider trying to look inside and learn more about who this man and his people were. Well, after seeing the film, I doubt if I have learned much at all. Since I have been a history teacher, I have a good basic understanding about Young as well as Joseph Smith as well as the teachings of the church. But anyone wanting to see this film to really learn anything will probably be disappointed because the film seems so gosh-darn nice--too nice and too unrealistic in its portrayal. Plus, you learn practically nothing about the church's beliefs other than they are nice people, work hard and some have many wives (and this latter part is only barely hinted at in the film). Instead, the people are almost cartoon-like in their simplistic portrayals. Joseph Smith and Brigham Young and their followers are angelic, the non-Mormons were all devils and Brian Donlevy (playing EXACTLY the same sort of role Edward G. Robinson later played in THE TEN COMMANDMENTS) is the trouble-maker who claims to be a Mormon but just comes along so the film can have a bad guy. It's all so very simple....too simple. Almost like an indoctrination film or infomercial.<br /><br />Brigham Young especially was a very complex man--with many good points (an excellent organizer and visionary) as well as bad (don't even get me started on his views about Blacks within the church or intermarriage). To portray him in such vague terms is just plain silly. It's also a lot like how Gandhi was portrayed in the film with Ben Kingsley--only the facts that led to his being almost super-human were emphasized. Heck, now that I think about that, this is the challenging with most religious films--they often come off as one-dimensional, trite and bland. Let's have a full and more complete film of these men--one that will stick to facts and not emotional appeals.<br /><br />Now if you can ignore the fact that you won't learn very much about the faith or its second leader, the film is enjoyable enough. It's obvious someone at 20th Century-Fox really cared about the film, as they had a wonderful cast of both premier actors (Tyrone Power), up and coming actors (Linda Darnell, Jane Darwell and Vincent Price) and wonderful character actors (Dean Jagger, John Carradine and Brian Donlevy). The film also had wonderful location shooting and lots of gloss. It just didn't have a lot to tell us other than they were all ""swell"". Plus, there were plenty of factual errors and a few just plain dumb scenes. A few of the mistakes include Young taking over the helm immediately after the death of Joseph Smith (it was three years later), no mention of the various Mormon denominations and splinter groups, talk of ""gold in California""--even though it was 1847 and gold wouldn't be discovered until 1948, as well as no specific mention of polygamy or Smith's many wives. Just plain dumb scenes include Carradine pulling out a gun and waving it about in the courtroom scene--and no one seemed to care--even though it was a very hostile audience! Don't you think at least the judge would tell him to put it away and stop threatening people with it?!<br /><br />One final comment. Do not, I repeat, do not watch this film when it's shown on American Movie Classics (a one great station that has sunk a lot in recent years). While I am critical of the film because of its simplistic message, I was horrified with the complete disrespect the station had for the church and its traditions. What I mean is this. The film was punctuated with ads for penis enlargement formulas as well as tons of pop-ups (some advertising a show that features the ""sexiest cast""). Talk about disrespectful and gross and I would be just as offended if they did this for any other religious film. By doing this, they not only insult the faith but marginalize their market--after all, who is into hearing about these things AND the life of Brigham Young?! Is this a movie, in this form, that you can show to your kids or recommend to others?!",Successful
867,A somewhat dull made for tv movie which premiered on the TBS cable station. Antonio and Janine run around chasing a killer computer virus and...that's about it. For trivia buffs this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world.,A somewhat uninspiring made for tv movie which premiered on the TBS cable station. Antonio and Janine run around chasing a killer computer virus and...that's about it. For trivia buffs this will be noted as debuting the same weekend that the real life 'Melissa' virus also made it's debut in e-mail inboxes across the world.,Successful
