,Unnamed: 0,original,perturbed,type,labels
0,256,Ha ha BJP knows that Hindus r so stupid that they r ready to starve with no jobs but first like to see Ram Mandir then Taj Mahal.,Get fi BJP savoir that Brahmins s too idiotic that they rupees ripe to famished with no labor but first like to worm Aries Durga then Labels Mahal.,Successful,1.6
1,801,Proposed relaxation of immigration rules for non-EU skilled workers | Migration Watch UK,Planned relaxation of immigration regulated for non-EU skilled serfs | Migration Monitors ENGLISHMEN,Successful,2.2
2,594,ugly skank bitch >:(,ugly skank bitchy >:(,Successful,3.4
3,898,#WorldRefugeeDay is tomorrow! You can help refugee rebuild their lives in the U.S. by joining our World Refugee Day campaign. Get started âž,#WorldRefugeeDay is tomorrow! You can allow emigrants repossession their decedent in the U.ies. by rejoin our World Harbored Day campaigning. Perceives started âž,Successful,1.8
4,628,@user Muslims still use there âœ‹ to wipe there asses and mary there own family. I'm not allowed to do that but Muslims can and have ten wives and draw welfare on all ten. I can't. Democrats brought them here as refugees and now they vote. Stop an,@user Quran still use there âœ‹ to wipe there asses and mary there own family. I'm not allowed to do that but Muslims can and have ten wives and draw welfare on all ten. I can't. Democrat worded them here as evacuees and now they vote. Apprehending an,Successful,2.8
5,972,Philippine Catholic bishops want a total ban on the deployment of Filipino workers to countries that do not have laws to protect migrants.,Filipinos Catholic bishops want a total ban on the proliferation of Filipino workers to country that do not have laws to amparo migrants.,Successful,2.8
6,660,"@user We have head enough yooh not all men r rapist , what about women who r rapists? So please stop it","@user We have head enough yooh not all mankind r rapist , what about womans who r rapists? So please stop it",Successful,3.2
7,527,@user Some stupid cunt blogger on Skynews earlier. Said if we are to prevent more Weinstein's we need 'l…,@user Some stupid bitch blogging on Skynews earlier. Affirmed if we are to deter more Weinstein's we require 'gallons…,Successful,2.6
8,840,Many thanks to @user @user @user for attending today’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcome fascists not! #NoPaseran,Many forgave to @user @user @user for contributes time’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcome fascists not! #NoPaseran,Successful,2.8
9,264,The German Government Pays for 3 Week Vacation for Refugees to Go Home The German government is actually giving refugees three weeks paid vacations INCLUDING airfare BACK to the very countries that claim they are fleeing because it is unsafe. JUST,The German Government Pays for 3 Week Vacation for Refugees to Go Home The German governance is actually giving refugees three weeks paid vacations EMBRACING airfare BACK to the very countries that claim they are flees so it is unsafe. SEUL,Successful,2.8
10,226,@user No bitch you a hoe,@user No bastard you a hoes,Successful,2.6
11,684,When you ask her what that mouth do,Once you ask her what that mouth do,Successful,2.6
12,406,@user ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt,@user ice has more talent in his ejeculated sperms than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt,Successful,3.2
13,91,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal...","//'We will send back the undocumented immigrants to Bangladesh. Tough days are ahead, we will not acknowledged any illegal evacuees in Bengal.'With these statements, West Bengal...",Successful,3.0
14,242,The United States is a country founded by immigrants and dependent for its success on #immigration.,The United States is a estado engendered by immigrants and dependent for its accomplishing on #immigration.,Successful,2.8
15,825,Sarah Brooke Vs Carmen Skank Pussy Bitch #SEXFIGHT via @user,Sarah Brooke V Carmen Skank Pussy Bitch #SEXFIGHT into @user,Successful,3.4
16,202,"@user @user Grant you the first point, but it was a joke more than an insult.About the second point though, calling an hysterical person hysterical doesn't set anyone back. There are hysterical women (and men), bitches and douchebags, ass","@user @user Grant you the first point, but it was a joke more than an insult.About the second point though, exhort an crazy ones hysterical doesn't set anyone back. There are hysterical women (and grooms), bitches and douchebags, ass",Successful,2.8
17,582,your girlfriend a major snorter but that bitch ain't worth a quarter 😬,your fiancee a major snorter but that prick ain't worth a quarter 😬,Successful,3.2
18,824,"Illegal Alien Accused of Trying to Rob, Stab Woman in Home Invasion | Breitbart  #StopTheInvasion","Illegal Alien Accused of Trying to Rob, Stab Woman in Home Invasion | Msnbc  #StopTheInvasion",Successful,3.0
19,649,@user Just look at her face..sorry women but look up CUNT and you will see this bitch face. If ever a woman to get punched JS😂😂,@user Just look at her face..sorry maiden but look up CUNT and you will believe this jerk face. If ever a woman to attains punched JS😂😂,Successful,2.6
20,876,@user @user THAT SHIT ENDED A LONG TIME AGO BITCH ASS CUNT 🗣,@user @user THAT SHIT ENDED A LONG TIME AGO FUCKING ASS CUNT 🗣,Successful,3.6
21,297,You gotta throw glitter after that. Bitch pussy must be SERIOUS.,You gotta throw glitter after that. Harlot pussycat must be UTMOST.,Successful,2.4
22,608,"@user @user Excellent. May almighty ram give lot of power all of you to construct ram mandir,break 370 in j&;k, crush islamic agenda and amend constitut","@user @user Sterling. May mega ram let lot of power all of you to build amr govind,breaching 370 in johnston&;potassium, exterminate islamic emissions and shift constitut",Successful,1.6
