original,perturbed,type
"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of repeated calling to get an answer.  Who has time for that or wants to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medical needs, why isn't anyone answering the phone?  It's incomprehensible and not work the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.","Alas, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so several other physicians in NYC -- good physician, fearsome staffing.  It seems that his staff simply never answering the phone.  It commonly takes 2 hours of repeated calling to get an answer.  Who has time for that or wanna to deal with it?  I have run into this problem with many other doctors and I just don't get it.  You have office workers, you have patients with medicinal needs, why isn't someone answering the phone?  It's inexplicable and not collaborate the aggravation.  It's with regret that I feel that I have to give Dr. Goldberg 2 stars.",Failed
"Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids. He explores all options with you and is very patient and understanding. He doesn't judge and asks all the right questions. Very thorough and wants to be kept in the loop on every aspect of your medical health and your life.","Been going to Dr. Tucker for over 10 years. I thought I was one of his 1st patients when he commences at MHMG. He's been great over the years and is really all about the large image. It is because of him, not my now former gyn Dr. Markoff, that I discovered out I have fibroids. He explored all alternatives with you and is very patient and fathom. He doesn't judge and demand all the right questions. Very exhaustive and wants to be kept in the looped on everything aspect of your medical health and your vie.",Failed
"I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke. And to make matters even worse, his office staff is incompetent. 90% of the time when you call the office, they'll put you through to a voice mail, that NO ONE ever answers or returns your call. Both my adult children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserve better and they will not be there when you really need them. I have never felt compelled to write a bad review about anyone until I met this pathetic excuse for a doctor who is all about the money.","I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only interested in the co-pay and having you come in for medication refills every month. He will not give refills and could less about patients's financial situations. Trying to get your 90 days mail away drugstore prescriptions through this guy is a joke. And to make matters even worse, his office staff is incapable. 90% of the time when you call the office, they'll put you through to a voice mail, that NOS ONE ever answers or returns your call. Both my grownup children and husband have decided to leave this practice after experiencing such frustration. The entire office has an attitude like they are doing you a favor. Give me a break! Stay away from this doc and the practice. You deserved better and they will not be there when you really need them. I have never felt compelled to write a bad examination about anyone until I met this deplorable excuse for a doctor who is all about the money.",Failed
"I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an answer about my bill. \n\nSecond, and most important, make sure your insurance is going to cover Dr. Goldberg's visits and blood work. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the physical done. Later, I found out my health insurance doesn't pay for preventative visits. I received an $800.00 bill for the blood work. I can't pay for my bill because I'm a student and don't have any cash flow at this current time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative. The office can't do anything to help me cover the bill. In addition, the office staff said the onus is on me to make sure my insurance covers visits. Frustrating situation!","I'm writing this revisited to give you a heads up before you see this Doctor. The office staffing and administration are very amateurish. I left a message with many people concerning my bill, and no one ever called me back. I had to hound them to get an answer about my bills. \n\nSecond, and most momentous, make sure your insurance is going to cover Dr. Goldberg's visits and blood working. He recommended to me that I get a physical, and he knew I was a student because I told him. I got the bodily done. Later, I found out my health insurance doesn't salaries for preventative visits. I received an $800.00 invoice for the blood collaborate. I can't pay for my billing because I'm a pupil and don't have any cash flow at this currents time. I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would coverings collaborate that wasn't needed and was rigorously preventative. The office can't do something to assisting me cover the invoices. In addition, the office staff say the burdens is on me to make sure my insurance covers visit. Frustrating situation!",Failed
"All the food is great here. But the best thing they have is their wings. Their wings are simply fantastic!!  The \""""Wet Cajun\"""" are by the best & most popular.  I also like the seasoned salt wings.  Wing Night is Monday & Wednesday night, $0.75 whole wings!\n\nThe dining area is nice. Very family friendly! The bar is very nice is well.  This place is truly a Yinzer's dream!!  \""""Pittsburgh Dad\"""" would love this place n'at!!","All the dietary is grand here. But the best thing they have is their wings. Their wings are merely resplendent!!  The \""""Wet Cajun\"""" are by the best & most popular.  I also like the experienced salt wings.  Wing Nighttime is Monday & Wednesday night, $0.75 totality wings!\n\nThe dined sphere is nice. Very families amiable! The bar is very nice is well.  This place is genuinely a Yinzer's daydream!!  \""""Pittsburgh Dad\"""" would love this place n'at!!",Failed
"Wing sauce is like water. Pretty much a lot of butter and some hot sauce (franks red hot maybe).  The whole wings are good size and crispy, but for $1 a wing the sauce could be better. The hot and extra hot are about the same flavor/heat.  The fish sandwich is good and is a large portion, sides are decent.","Wing gravy is like water. Pretty much a lot of butter and some hot sauce (franks red hot might).  The entire wings are good sizing and crispy, but for $1 a wing the gravy could be better. The hottest and extra hot are about the same flavor/heat.  The fish sandwich is good and is a big part, sides are dignified.",Failed
"Owning a driving range inside the city limits is like a license to print money.  I don't think I ask much out of a driving range.  Decent mats, clean balls and accessible hours.  Hell you need even less people now with the advent of the machine that doles out the balls.  This place has none of them.  It is april and there are no grass tees yet.  BTW they opened for the season this week although it has been golfing weather for a month.  The mats look like the carpet at my 107 year old aunt Irene's house.  Worn and thread bare.  Let's talk about the hours.  This place is equipped with lights yet they only sell buckets of balls until 730.  It is still light out.  Finally lets you have the pit to hit into.  When I arrived I wasn't sure if this was a driving range or an excavation site for a mastodon or a strip mining operation.  There is no grass on the range. Just mud.  Makes it a good tool to figure out how far you actually are hitting the ball.  Oh, they are cash only also.\n\nBottom line, this place sucks.  The best hope is that the owner sells it to someone that actually wants to make money and service golfers in Pittsburgh.","Owning a driving ranging interior the city bounds is like a licensed to printing cash.  I don't thought I ask much out of a drives range.  Dignified mats, clean balls and approachable hours.  Inferno you needs even less people now with the advent of the machine that doles out the balls.  This place has no of them.  It is avril and there are no grass tees yet.  BTW they inaugurated for the season this week while it has been golfing weather for a month.  The mats gaze like the rug at my 107 year ancient aunt Irene's houses.  Wear and threading nudes.  Let's chitchat about the hours.  This place is equipped with lights yet they only sold buckets of balls until 730.  It is still light out.  Lastly lets you have the pit to pummeled into.  When I arrived I wasn't sure if this was a drive ranging or an excavation site for a mastodon or a strip mining operation.  There is no grass on the ranging. Righteous clay.  Makes it a good instrument to figure out how far you actually are hitting the ball.  Ah, they are cash only additionally.\n\nBottom line, this placing sucks.  The best hope is that the holder selling it to anybody that actually wanna to make cash and service golfers in Pittsburgh.",Failed
"This place is absolute garbage...  Half of the tees are not available, including all the grass tees.  It is cash only, and they sell the last bucket at 8, despite having lights.  And if you finish even a minute after 8, don't plan on getting a drink.  The vending machines are sold out (of course) and they sell drinks inside, but close the drawers at 8 on the dot.  There are weeds grown all over the place.  I noticed some sort of batting cage, but it looks like those are out of order as well.  Someone should buy this place and turn it into what it should be.","This place is absolute refuse...  Half of the tees are not accessible, including all the grass tees.  It is money only, and they sell the last bucket at 8, albeit having lights.  And if you finished even a minute after 8, don't plan on getting a drank.  The vending machines are selling out (of course) and they sell beverages interiors, but close the drawers at 8 on the points.  There are weeds grown all over the place.  I noticed some sorted of batting cage, but it looks like those are out of edict as well.  Anybody should buy this place and turning it into what it should be.",Failed
"Before I finally made it over to this range I heard the same thing from most people - it's just fine to go work on your swing. I had such a low expectation I was pleasantly surprised. \n\nIt's a fairly big range - if you are familiar with Scally's in Moon, it seems like it has almost as many tees, though its not nearly as nice a facility. \n\nThe guys in the pro shop were two of the friendlier guys I've come across at ranges or at courses. Yards were indeed marked and there are some targets to aim for, and even some hazards to aim away from. \n\nA big red flag to me was the extra charge ($3) to hit off the grass. I am no range expert, but this is the 4th one I've been to and the first I've seen of that sort of nickel and diming....\n\nPrice for the golf balls was reasonable and I do plan to be back every week until they close up in October for the season. Hopefully, since its for sale, it will reopen as a golf facility again.","Before I lastly made it over to this range I heard the same thing from most people - it's just fine to go working on your swing. I had such a low expectation I was refreshingly dumbfounded. \n\nIt's a fairly grands range - if you are familiar with Scally's in Moon, it seems like it has almost as many tees, although its not nearly as nice a facility. \n\nThe blokes in the pro shop were two of the friendlier guys I've coming across at intervals or at courses. Yards were indeed marked and there are some intent to goal for, and even some danger to purposes away from. \n\nA big red flag to me was the additional charge ($3) to pummeled off the grass. I am no range expert, but this is the 4th one I've been to and the first I've seen of that sort of nickel and diming....\n\nPrice for the golf balls was reasonable and I do plan to be back every week until they close up in October for the season. Hopefully, since its for sale, it will reopen as a golf facility again.",Successful
"I drove by yesterday to get a sneak peak.  It re-opens on July 14th and I can't wait to take my kids.  The new range looks amazing.  The entire range appears to be turf, which may or many not help your game, but it looks really nice.  The tee boxes look state of the art and the club house looks like something you'll see on a newer course.  Can't wait to experience it!","I drove by yesterday to got a sneaking crest.  It re-opens on July 14th and I can't wait to take my infantile.  The novel ranging looks surprising.  The entirety range appears to be turf, which may or several not helped your game, but it looks really nice.  The tee boxes gaze state of the art and the club dwelling looks like something you'll see on a newer course.  Can't expecting to experience it!",Failed
