,original,perturbed,type
521,"I found Buffalo Blues to be merely OK.  I thought that their prices were a bit high for the size of the portions, and their wings were rather small.  I actually liked the wing sauces I tried, though (red hot and spicy garlic).  Our server was friendly, but not terribly attentive.  \n\nI would probably only go again on an all-you-can-eat wings night.  For $10 I would certainly get my money's worth, and the quality of the food was OK.\n\nSurprisingly, lots of vegetarian options.  A vegetarian in our party was floored by the possibility of having every burger or chicken sandwich made without meat or meat products.","I discovered Buffalo Blues to be merely OK.  I thought that their prices were a bit high for the size of the part, and their wings were rather small.  I actually liked the wing sauces I tried, though (red scorching and spicy garlic).  Our server was friendly, but not unimaginably observant.  \n\nI would arguably only go again on an all-you-can-eat wings night.  For $10 I would definitely get my money's worth, and the quality of the dietary was ALRIGHT.\n\nSurprisingly, lots of vegetarian options.  A vegetarian in our party was floored by the possibilities of having everything burger or chicken sandwich made without meat or meat products.",Successful
446,"I prefer this store to the Market District on Centre. It's just as overpriced and poorly laid out and maybe a bit grimy, but carries less products to sift through when you just need to grab some simple things, hopefully not produce. Parking is easy and you can hit up the unpretentious Wine and Spirits in the same stop. I think this plaza still exists to prevent impoverished people from venturing into the other newer fancier stores which are a mere half mile away and designed to appeal to people who think they are cultured and discerning.","I prefer this stores to the Market District on Centres. It's just as overpriced and poorly laid out and maybe a bit grimy, but carries fewer merchandise to sift through when you just need to grab some simple things, hopefully not produce. Parking is easy and you can strike up the unpretentious Wine and Spirits in the same stop. I think this plaza still exists to prevent impoverished people from venturing into the other newer fancier stores which are a mere half mile away and designed to appeal to people who think they are cultured and discerning.",Successful
834,"I am a jack of all trades and a do it yourself-er at heart. While in college I worked as a promotional photographer for my very dear friends salon. As a barter service she always did my hair for free! !0 years I had this deal going on. As you can imagine I was pretty spoiled and didn't want to start paying to get my hair did. I began coloring it myself. Now as a licensed skin care specialist you pick things up from the cosmetologists working with you.\n\nI killed it, fried it and melted it. My hair was in dire straights! I have dark hair but I love being a red head. Marcia Cross red to be exact. Whoops! Lightening that many levels should not ever be done by a novice. What can I say?  I'm stubborn that way, and think I can do it all! \n\nI reached out to Emilio for help! I have to say that after many hours of laying down color he managed to make my hair healthy again and I left feeling like a movie star. A red headed movie star! I was flipping my hair all the way to the parking garage and even did a photo-shoot later that evening. Yes I did a photo-shoot because I needed a professional head shot for my work portfolio.\n\n\nI don't know if I'm being too harsh but my hair did turn out much darker than I had wanted it to be. I know sometimes it is hard to predict the outcome when mixing chemistries. \n\nThe other problem I had was the price tag, or the surprise when I went to pay. $250.00 for a color correction! I know this is normal sometimes when fixing the damage but it is also crucial to give your client some kind of idea on payment. I had gone in for color estimated at around $70. I think they did a decent job but for that money It should have been closer to what I asked for. Needless to say I haven't been back but would recommend in a jam.","I am a jack of all trades and a do it yourself-er at heart. While in college I worked as a promotional photographer for my very beloved friends salon. As a bartering servicing she perpetually did my hair for free! !0 years I had this deal going on. As you can imagine I was pretty spoiled and didn't wanna to starting pays to get my hair did. I initiated coloring it myself. Now as a licensed skin care specialist you pick things up from the cosmetologists collaborating with you.\n\nI killed it, fried it and melted it. My hair was in dire straights! I have dark hairdo but I adore being a red head. Marcia Crossed red to be exact. Yikes! Lightening that myriad levels should not ever be done by a novice. What can I say?  I'm stubborn that way, and think I can do it all! \n\nI reached out to Emilio for helps! I have to say that after myriad hours of lays down colors he managed to make my hair healthy again and I left feeling like a movie star. A red spearheaded movie star! I was flipping my hair all the way to the parking garage and even did a photo-shoot later that evening. Yes I did a photo-shoot because I need a professional head shot for my work portfolio.\n\n\nI don't know if I'm being too harsh but my hair did turn out much darker than I had wanna it to be. I know occasionally it is tough to foresee the results when mixing chemistries. \n\nThe other trouble I had was the price tag, or the surprise when I went to pay. $250.00 for a color correction! I know this is normal sometimes when fixation the damage but it is also pivotal to give your clients some sorts of idea on payment. I had gone in for color estimated at around $70. I think they did a decent job but for that money It should have been closer to what I asked for. Needless to say I haven't been back but would recommend in a jam.",Successful
11,Wonderful reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Splendid reuben.  Map shown on Yelp page is incorrect. It is actually a different Hawkins.  I'd recommend a call for directions 412-271-9911.,Successful
725,"Very few people name the places depending on how the place is going to look like from the City's perspective.Confused??\nI bet half of Pittsburgh students didn't notice this amazing vegan place,it is like a quiet storm ;just there but not really.Now i am confused!! :)\n\n  Straight to the point -this place is huge and neat and they have a huge cafe bar with great food list.i ordered thai salad with vegan chicken and tempeh and my friends ordered wraps.It was simply delicious and i was extremely excited that i discovered this place after a long Vegan research.\n\n The place was definitely quiet and shockingly even the area around the place was dead.Maybe they have some historical reasons to name it Quiet storm like there was a light storm and everyone left the place...ahmm..I shall stop my list of lame reasons,such that you could stop reading and would be able to chase the quiet storm :)\n\n-Smriti","Very few people name the places depending on how the place is going to look like from the City's perspective.Bewildered??\nI bet half of Pittsburgh students didn't notice this surprising vegan place,it is like a quiet storm ;just there but not really.Now i am confused!! :)\n\n  Straight to the point -this place is huge and neat and they have a monumental cafe bar with great food listing.i ordered thai salad with vegetarian chicken and tempeh and my friends ordered wraps.It was simply tasty and i was highly excited that i discovered this place after a lengthy Vegan research.\n\n The placing was surely quiet and frighteningly even the area approximately the place was dead.Maybe they have some historic motive to naming it Quiet storm like there was a light storm and everyone left the place...ahmm..I shall halt my list of lame reasons,such that you could stop reading and would be able to chasing the quiet storm :)\n\n-Smriti",Successful
116,"Nice staff but apparently there is little manager oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my food being fourth on the \""""to do\"""" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.","Nice staffing but apparently there is little manager oversees around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, seated and texting.  I'm fine with cooking my food being fourth on the \""""to do\"""" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.",Successful
738,"Yes, it is reasonably priced.  Yes, my food was tasty (6 on a scale of 1-10).  However, the place did not look clean to me--I won't be back because of that.","Yep, it is reasonably priced.  Yup, my food was delicious (6 on a scaling of 1-10).  However, the place did not look clean to me--I won't be back because of that.",Successful
672,"So I hated this Soba place owned by the same people, and I happen to stumble into this joint for lunch. It had a great sandwich (crab) and the soup was pretty decent (cream of cauliflower). Not sure how they are owned by the same people as Soba (I mean, obviously different chefs) but usually the same owner means similar quality and price, no?  Maybe the dishes are just hit and miss, and I got a hit here, whereas I had a serious miss over at Soba.  In any case, the crab sandwich was good-- nice, large chunks of crab.  No overkill on the sauce.  The soup was likewise good.  I don't understand how the two restaurants could possibly be related given the night and day of my food experience!  The wine, however, was overpriced for the quality.  I guess people aren't from SF and expect good wines for the same price!  Save your money, buy a nice $40-60 bottle at home and have a much better vino experience but pay less (or the same!).","So I hate this Soba placing owned by the same people, and I happen to stumble into this joint for lunch. It had a tremendous sandwich (crabs) and the soup was pretty decent (cream of cauliflower). Not sure how they are owned by the same people as Soba (I mean, obviously different chefs) but habitually the same owner means analogous quality and price, no?  Possibly the dishes are just hit and miss, and I got a hit here, whereas I had a serious miss over at Soba.  In any instance, the crab sandwich was good-- nice, large chunks of crab.  None overkill on the sauce.  The soup was similarly good.  I don't understand how the two restaurants could possibly be related given the night and day of my eating experience!  The wine, nonetheless, was overpriced for the quality.  I guess people aren't from SF and expect good wines for the same price!  Save your money, buy a nice $40-60 bottle at home and have a much better vino experience but pay less (or the same!).",Successful
633,"I loved it, parking and all, after all, they had Palak Paneer! Mmmmm. It was tasty. I spent a lot, but I was ok with the occasional splurge. the second trip, i again bought my hit foods Palak Paneer and it had obviously gone over. \n\nEver have whoopsies after green Indian cuisine?\n\nIt's off my list now. Forever.","I loved it, parking and all, after all, they had Palak Paneer! Mmmmm. It was tasty. I spent a lot, but I was ok with the occasional splurge. the second trip, i again bought my hit foods Palak Paneer and it had obviously gone over. \n\nEver have whoopsies after green Indian cuisine?\n\nIt's off my listing now. Forever.",Successful
703,"Tonight's review: it started with a table for two stuffed between two other tables. Yes there were five other more comfortable two tops available. We asked and after some sighs were granted our seemingly offensive request. Punishment was fast...we sipped our water, were provided a refill but no offer to acquire other beverages. With plenty of time to review the night's menu, we made our selection. My request was well done Salmon (heart issues require well done) the chef's feelings were clear; as I sawed through the salmon I thought it could possibly be a message. I again had offended by my request. I like Casbah and the other BB restaurants but tonight I should have selected a friendlier more customer focused establishment. YES I will return and still recommend Casbah. Oh we did finally get to place a cocktail order.  \nM","Tonight's review: it started with a table for two stuffed between two other tables. Yep there were five other more comfortable two tops available. We ask and after some sighs were afforded our apparently offensive request. Punishment was quick...we sipped our water, were provided a refilling but no offering to acquire other beverage. With plenty of time to reviews the night's menu, we made our selection. My ask was well accomplished Salmon (heart matters require well accomplished) the chef's feelings were clear; as I sawed through the salmon I thoughts it could perhaps be a message. I again had offended by my asking. I like Casbah and the other BB restaurants but tonight I should have chooses a friendlier more customers orientated establishment. YES I will return and still recommend Casbah. Oh we did finally get to placing a cocktail order.  \nM",Successful
