,original,perturbed,type
577,""" the emperor's new clothes "" begins with a simple plan . . . . well , at least that's the plan .",""" the emperor's new clothing "" start with a simple plans . . . . well , at least that's the plan .",Successful
433,"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue .","the story feels more like a serious read , filled with heavy dosages of always enticing sayles dialogue .",Successful
259,"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .","usage his audience as a figurative port-of-call , dong pulling his even-handed ideology vessel to their dock for unload , before he continues his longer trip still ahead .",Successful
405,"it's a humble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave .","it's a modest endeavor , but spiced with sardonic humor and veritable pathos , principally between morgan and redgrave .",Successful
35,"though everything might be literate and smart , it never took off and always seemed static .","though everything might be literate and smart , it never took off and perpetually seemed static .",Successful
375,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious .","albeit it bangs a very clichéd drum at times , this crowd-pleaser's fresh dialogue , vigorous music , and good-natured spunk are often contagious .",Successful
618,director nalin pan doesn't do much to weigh any arguments one way or the other . he simply presents his point of view that ayurveda works . no question .,director nalin pan doesn't do much to weighing any arguments one manner or the other . he merely presents his point of opinion that ayurveda works . no question .,Successful
847,"this is the kind of movie that used to be right at home at the saturday matinee , and it still is .","this is the sorts of movie that used to be right at home at the saturday matinee , and it still is .",Successful
33,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","if there's a way to effectively taught kids about the hazard of drug , i thoughts it's in projects like the ( unluckily r-rated ) paid .",Successful
121,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .","unlike most teen flicks , swim takes its time to told its tale , castings mainly little-known performer in essentials roles , and introduces some intriguing ambiguity .",Successful
299,it's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,it's one of the saddest movie i have ever seen that still manages to be uplifting but not unduly sentimental .,Successful
932,"frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .","frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and worrisome -- even punishing .",Successful
601,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","persuasive as it is exotic , fast runner has a plot that challengers shakespeare for intrigue , treason and murdered .",Successful
760,"andersson creates a world that's at once surreal and disturbingly familiar ; absurd , yet tremendously sad .","andersson creates a world that's at once surreal and disturbingly familiar ; ridiculous , yet terribly sad .",Successful
449,an impressive if flawed effort that indicates real talent .,an remarkable if flawed endeavor that indicate real talent .,Successful
546,"a gentle blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills .","a mild blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills .",Successful
56,"manages to be original , even though it rips off many of its ideas .","manages to be original , even albeit it rips off numerous of its ideas .",Successful
941,"while surprisingly sincere , this average little story is adorned with some awesome action photography and surfing .","while interestingly sincere , this average little story is decorated with some wondrous action photograph and surfing .",Successful
597,"workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies .","workmanlike , possibly , but still a movie with all the components that made the other three tremendous , scary times at the movies .",Successful
580,"while the glass slipper doesn't quite fit , pumpkin is definitely a unique modern fairytale .","while the glass slipper doesn't quite fit , pumpkin is definitely a sole modern fairytale .",Successful
204,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical review of what makes a joke a joke .,Successful
759,"the 3d images only enhance the film's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .","the 3d image only reinforce the film's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",Successful
255,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .","the director , steven shainberg , has succeeded by focus intently on his characters , making them quirky individuals rather than digits of fun .",Successful
418,"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different .","still pretentious and fills with subtext , but amusing sufficiently at 'faces value' to recommend to anyone looking for something different .",Successful
643,"it has the courage to wonder about big questions with sincerity and devotion . it risks seeming slow and pretentious , because it thinks the gamble is worth the promise .","it has the courage to wonder about big questions with sincerity and devotion . it danger evident slow and pretentious , because it thinks the gamble is worth the promise .",Successful
245,you might not buy the ideas . but you'll definitely want the t-shirt .,you maybe not buy the ideas . but you'll decidedly wanna the t-shirt .,Successful
554,this is pretty dicey material . but some unexpected zigs and zags help .,this is pretty dicey material . but some unexpected zigs and zags assisting .,Successful
140,"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .","it's a marginal comedy that tries to balance sweetness with coarseness , while it painting a sorrowful photo of the singles scene .",Successful
971,the two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath . . .,the two leads chomp noticeably more scenery with their acting than fire-breathing monsters cookout with their respiration . . .,Successful
275,"if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .","if you're like me , a sucker for a good old fashion romance and someone who shamelessly love to eat , then essentially martha offerings all the perfect ingredients to more than satisfy your appetite .",Successful
149,"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent .","more a burden of pleasant , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent .",Successful
284,"who knows what exactly godard is on about in this film , but his words and images don't have to add up to mesmerize you .","who knows what exactly godard is on about in this movie , but his words and picture don't have to add up to mesmerize you .",Successful
896,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable . . . and gradually grows into anything of considerable power .,Successful
655,"goyer's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast .","goyer's screenplay and direction are luckily understated , and he has drawn wondrous performances from his cast .",Successful
327,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,hands down the year's most thought-provoking movie . but it pays a cost for its complicated intellectual gamesmanship .,Successful
551,"having never been a huge fan of dickens' 800-page novel , it surprised me how much pleasure i had watching mcgrath's version .","having never been a prodigious fan of dickens' 800-page new , it dumbfounded me how much joy i had watching mcgrath's version .",Successful
981,fans of the animated wildlife adventure show will be in warthog heaven ; others need not necessarily apply .,enthusiasts of the animated wildlife adventure show will be in warthog heaven ; others needed not necessarily applying .,Successful
861,"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .","this concoction , so bizarre to the adult mind , is actually a cute triumph where its intended under-12 audience is concerned .",Successful
422,"the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter .","the tiers of maturity display by this 33-year-old first-time feature director is staggering , consider her inexperience and her subjected matter .",Successful
282,"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding .","it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to adore the big , dumb , cheerful movie my big fat greek wedding .",Successful
