,Unnamed: 0,original,perturbed,type,labels
0,580,"Let’s me honest, Jews offer things and the white women are just skanks. Muslims gang rape and beat white women.","Let’s me honest, Jews offering things and the white women are just skanks. Muslim gang rape and beats white women.",Successful,3.6
1,57,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr","@user Dan, WAY too tough to pick between all the lying, deceitful corrupt losers represent Dems (& some GOP). The list is lengthy & disgusting. Embarrassing that we pay these lie losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr",Successful,3.2
2,591,"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.","Eric Cartman: How 'bout we sing, 'Kyle's Mum is a silly bitch' in D Minor.",Successful,3.6
3,170,Imagine when all the EU migrants go home after #Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti.,Imagine when all the EU migrants go domicile after #Brexit. No more baguettes or pizza. People in the UK will be reduced to just eating traditional UK foods. Like chicken Balti.,Successful,3.2
4,840,Many thanks to @user @user @user for attending today’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcome fascists not! #NoPaseran,Many thanks to @user @user @user for attending today’s anti-fascist demo in Newtownards. #HopeNotHate Refugees welcoming fascists not! #NoPaseran,Successful,3.2
5,252,@user Whore? Really? Why don't you have some respect for women you asshole!,@user Whore? Really? Why don't you have some respect for woman you asshole!,Successful,3.6
6,222,"Illegal Alien Awaiting Deportation For Child Rape, Now Caught Producing Child Porn","Illegal Alien Waits Deportation For Child Raping, Now Caught Producing Child Porn",Successful,3.6
7,547,@user After AAP coming to power influx of illegal migrants from Bangladesh to Delhi increased multi fold.Jhugis seen all around,@user After AAP coming to power influx of illegal migrants from Bangladesh to Delhi increased multi collapsible.Jhugis seen all about,Successful,2.4
8,104,UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARE SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILE NOT LOVING YOUR NEIGHBORS? YIKES.,UGH! Fake Christians really out here trying to take away our rights!! IF YOU CARE SO MUCH ABOUT LIFE THEN FIX THE ALREADY BROKEN FOSTER CARE SYSTEM AND WELCOME REFUGEES WITH OPEN ARMS. FOLLOWER OF CHRIST?? WHILST NOT LOVING YOUR NEIGHBORS? YIKES.,Successful,3.6
9,341,"@user Babe, I wanna thank you for having such insane anal scenes. Your scene from Slut Auditions #3 is my all-time fav !","@user Babe, I want thanks you for having such crazy anal scenes. Your scene from Slut Auditions #3 is my all-time fav !",Successful,3.4
10,26,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…","Yes, women who protesting are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…",Successful,3.2
11,56,"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns","#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Letting ""commited"" politics dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns",Successful,3.2
12,726,"off your left wing high horse @user Certainly not the average person's take on a ""refugee"". Remove the country shoppers, the opportunist migrants, those with criminal or terrorist ties, those with hidden wealth and who's left?","off your left wing high horse @user Certainly not the average person's take on a ""refugee"". Removing the country shoppers, the opportunist migrant, those with criminal or terrorist ties, those with hidden wealth and who's left?",Successful,3.6
13,84,"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl","@users @user @user @user Earth to Andrew, coming in Andrew:   its about immigration.Denying Canadians their right to survive and defending their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Accessed to White peopl",Successful,3.2
14,824,"Illegal Alien Accused of Trying to Rob, Stab Woman in Home Invasion | Breitbart  #StopTheInvasion","Illegal Aliens Accused of Attempting to Rob, Stabbing Women in Home Invasion | Breitbart  #StopTheInvasion",Successful,3.2
15,512,German Interior Minister Slams Merkel and bans the entry of new migrants into Germany - Free Speech Time - @user,German Interior Minister Slams Merkel and bans the entrance of new migrants into Germany - Free Speech Time - @user,Successful,3.8
16,829,Identity cards 'would curb illegal immigration and prevent another Windrush',Identity cards 'would curb illegal immigration and forestall another Windrush',Successful,3.4
17,941,@user please think carefully it is not about benifits it is about to many migrants ur already punishing our poor god will interven,@user please think carefully it is not about benifits it is about to numerous migrants ur already punishing our poor god will interven,Successful,3.2
18,779,"Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. are not in 1950, we have to start limiting legal immigration. And completely stop illegal immigration.","Stephen Miller (right) and Larry McKenney of Capitol Radiology listen as Trump speaks during a meeting at the White House last year. are not in 1950, we have to begin limiting legal immigration. And completely halts illegal immigration.",Successful,3.6
19,536,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth ladies #ASS #ASS #ASS,RT @user You're wearing yoga pants to show off your ass. Don't give me this bull shit 'they're comfy!' we all know the truth mesdames #ASS #ASS #ASS,Successful,3.6
20,859,Watch: Hundreds Irish people took to the streets to protest against Islam and call to ban Islamic immigration - Free Speech Time - @user,Watch: Hundreds Irish people taken to the streets to protest against Islam and calling to bans Islamic immigration - Free Speech Time - @users,Successful,3.4
21,653,@user What Trump knows and China doesn't is illegal immigrant's are affected by China's Tariff's not Trump voters. LOL,@user What Trump knows and China doesn't is illegal immigrant's are afflicted by China's Tariff's not Trump voters. LOL,Successful,3.8
22,887,MN: SOMALI MUSLIM IMMIGRANTS Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] via @user we don't worship Mohammed &amp; Sharia! Don't like it? Go home or we will deport you!,MN: SOMALI MUSLIM IMMIGRANT Explain Why It's Acceptable To Kill Anyone Who Insults Mohammed [VIDEO] via @user we don't worship Mohammed &amp; Sharia! Don't like it? Go domicile or we will deport you!,Successful,3.0
