original,perturbed,type
@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…,@user gentil new signage. Reside you not frightened by Beatlemania -model lunatic mobs crongregating on you…,Failed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,A mesdames who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,Successful
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,@user @user authentic chatter suis you received squint or were they delving out by a rapefugee?,Failed
your girlfriend lookin at me like a groupie in this bitch!,your fiancee lookin at me like a groupie in this dickhead!,Successful
Hysterical woman like @user,Hysterical woman like @user,Skipped
Me flirting- So tell me about your father...,Wo flirting- Thereby talk me about your dadda...,Failed
"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great...","The Fei Basilica bishops' operandi for emigrate serfs gotta concentration on conjugal who are ""owed the fantastic...",Failed
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 fucked,Successful
When cuffin season is finally over,Once cuffin seasons is anyhow over,Failed
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?","Send home evacuees not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",Successful
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.","Cory Booker and Kamala Harris competing for Most Hysterical Lady at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",Successful
Only that in you which is me can hear what I'm saying. ~Baba Ram Dass,Scarcely that in you which is me can heed what I'm speak. ~Baba Aries Auch,Failed
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Should have let the Libyan Manchester bomber rot in his own country. How many more mass kills did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,Successful
More migrants take sea route to #Spain than Italy this year: UN,Largest migrants take seamen route to #Spain than Italy this leto: INTERNATIONALE,Successful
"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure.","Crucial reader for those in Scribner, Nebraska who are believing an anti-immigrant plebiscite activities.",Failed
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen","This account was temporarily inactive due to an irrational maiden reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",Successful
RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.,TCH @user @user I am met tbh. I obtains an orgasm just by idea of it you clearly are better at this.,Failed
"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky.","Making them look ~anatomically rectified~ just makes them... Bland. Not all women are tiny and fit, not all dawg are bulky.",Successful
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,listen... i love lil j but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that vixen from holes,Successful
@user @user keep calling her a bitch and a whore dude real grown up.,@user @user keep calling her a bitch and a whore dude real grown up.,Skipped
"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user","Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user",Skipped
"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops","@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops",Skipped
"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe","Clandestine Ufos Raid Boyfriend, Drags Myself For Obstructing Under Assassin DUI Meltdown #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe",Failed
An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,An Sincerity Rule For Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle...,Successful
@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!,@user @user @user @user please spread the mots  -&gt;&gt; using frequent fliers miles to consolidation immigrant captivity!,Successful
