,original,perturbed,type
269,"Blank Check is easily one of the worst films of the nineties. The plot is completely pointless; its overtones of lonliness are pathetic. Do you really believe a twelve year old acting as a personal assistant for a millionaire could accomplish everything in this film, like buying a mansion for a mere $300 grand. The notion, let alone the bargain-basement price, will only be believed by the most gullible viewers. Please, respect your intelligence and don't watch this awful, awful film.","Blank Check is easily one of the scariest films of the nineties. The parcel is completely fruitless; its overtones of lonliness are sorrowful. Do you really believe a twelve year old acting as a personal assistant for a millionaire could accomplish everything in this film, like buying a mansion for a mere $300 grand. The notion, let alone the bargain-basement price, will only be believed by the most unwary viewers. Inviting, respect your intelligence and don't listens this scary, nasty film.",Successful
794,"Where to start... If this movie had been a dark comedy, I would say it was FANNN-TASTIC! Unfortunately for me, and anyone else with free time and a buck to spare (mind you that was the price I paid, got it from Wal-Mart), this movie was meant to be a thriller. The only THRILL I got was watching Kirkland's lousy rendition of Anne Wilkes from Misery sans snowy woodland area. If you want a good laugh, on a rainy Friday night with some friends, then I highly recommend this movie. But if you want to watch something at least half way decent, then don't even bother.<br /><br />I for one enjoy crappy films, the worse the better in most cases. But Wow... I Meant WOW!! The only person in the entire film that didn't stink it up was the little boy, played by Vincent Berry. The only reason why I even give it 3 stars is because it gave me something to do.","Where to start... If this movie had been a dark comedy, I would say it was FANNN-TASTIC! Spectacularly for me, and anyone else with free time and a buck to spare (mind you that was the price I paid, got it from Wal-Mart), this movie was meant to be a thriller. The only THRILL I got was watching Kirkland's lousy rendition of Anne Wilkes from Misery sans snowy woodland area. If you want a good laugh, on a rainy Friday night with some friends, then I highly recommend this movie. But if you want to watch something at least half way decent, then don't even bother.<br /><br />I for one enjoy bad films, the worse the better in most cases. But Wow... I Meant WOW!! The only person in the entire film that didn't stink it up was the little boy, played by Vincent Berry. The only reason why I even give it 3 stars is because it gave me something to do.",Successful
195,This movie has beautiful scenery. Unfortunately it has no plot. In order to have a plot there must be a conflict. This movie had none. It spent two hours painting a beautifule scene and failed to ever place any activity in it. The picture trys to be artistic but fails to pay attentions to the fundamentals of story telling.<br /><br />If you love Montana scenery and fly fishing you will find some value in this film just don't expect a story. There isn't one.,This cinematic has beautiful scenery. Unfortunately it has no parcel. In order to have a conspiring there must be a conflict. This photographer had none. It spent two hours painting a beautifule scene and overlooked to ever place any activity in it. The panorama trys to be artist but overlooks to pays attentions to the fundamentals of storytelling speaks.<br /><br />So you love Montana panorama and fly fishing you dedication discovers some value in this film just don't expect a history. There isn't one.,Successful
392,"After an initial release of 4 very good Eurotrash titles, REDEMPTION has managed to scrape the bottom of the barrel with THE BLOODSUCKER LEADS THE DANCE. I found NO Bloodsuckers anywhere in this movie.<br /><br />The story is simple. A mysterious count invites several actresses to his castle for a little vacation. After some sofcore sexual shenanigans the girls get decapitated one by one. Who is the killer? Who knows? There are more red herrings in this one than at the local fish market on Friday.<br /><br />The pace is excruciating. The story is silly and the skin scenes aren't all that terrific either.<br /><br />Give this one a miss.","After an beginnings release of 4 very good Eurotrash titles, REDEMPTION has managed to brushing the likes of the canon with IT VAMP LEADS THE DANCE. I remarked NO Bloodsuckers anywhere in this panorama.<br /><br />The story is simple. A mysterious recounts invites several actresses to his castle for a little vacation. After some sofcore sexual adventures the girls get culled one by one. Who is the killer? Who knows? There are more red herrings in this one than at the local fish market on Friday.<br /><br />The pace is terrifying. The story is silly and the skin scenes aren't all that terrific either.<br /><br />Give this one a mistook.",Successful
199,"Mann photographs the Alberta Rocky Mountains in a superb fashion, and Jimmy Stewart and Walter Brennan give enjoyable performances as they always seem to do. <br /><br />But come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes a marshal!) and to enforce the law themselves, then gunfighters battling it out on the streets for control of the town? <br /><br />Nothing even remotely resembling that happened on the Canadian side of the border during the Klondike gold rush. Mr. Mann and company appear to have mistaken Dawson City for Deadwood, the Canadian North for the American Wild West.<br /><br />Canadian viewers be prepared for a Reefer Madness type of enjoyable howl with this ludicrous plot, or, to shake your head in disgust.","Mann photographs the Alberta Rocky Mountains in a superb fashion, and Jimmy Stewart and Walter Brennan give enjoyable performances as they always seem to do. <br /><br />But come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes a marshal!) and to enforce the law themselves, then gunfighters battling it out on the streets for control of the town? <br /><br />Nothing even remotely resembling that happened on the Canadian side of the border during the Klondike gold rush. Mr. Mann and company appear to have mistaken Dawson City for Deadwood, the Canadian North for the American Wild West.<br /><br />Canadian viewers be prepared for a Reefer Madness type of enjoyable howl with this comical plot, or, to shake your head in disgust.",Successful
663,"Holy freaking God all-freaking-mighty. This movie was so bad, I thought I was on drugs. In a bad way... The character acting is the poorest thing I've seen in quite some time. This movie was more akin to Lord of the G-Strings, IMHO(it's a real movie). Most of the movie appeared to be done on a horrible green screen. My favorite part was when they are in the carriage, and you can tell there's no horse. They're fleeing from alien monsters, and going about the same speed as a swift jog. Then it switches to a far-shot with a ridiculous CG horse. And the CG in general seems to be sub-par to 1992's Beyond the Mind's Eye. I mean, Come on, really. It felt like a horrible episode of Hercules, only without Kevin Sorbo there to save the day. Worst. Movie. Ever.","Holy freaking God all-freaking-mighty. This movie was well malevolent, I thought I was on drugs. In a bad way... The character behaving is the destitute thing I've seen in quite some time. This movie was more akin to Lord of the G-Strings, IMHO(it's a real movie). Most of the movie appeared to be done on a scary green screen. My favorite part was when they are in the carriage, and you can tell there's no horse. They're fleeing from alien monsters, and going about the same speed as a swift jog. Then it switches to a far-shot with a ridiculous CG horse. And the CG in general seems to be sub-par to 1992's Beyond the Mind's Eye. I mean, Come on, really. It felt like a scary episode of Hercules, only without Kevin Sorbo there to save the today. Scariest. Movie. Always.",Successful
694,"Can I please say first of all, that I felt so strongly about this movie that I signed up to IMDb specifically to review it. And my review? This is easily the worst movie I have ever seen.<br /><br />The synopsis of the movie sounded interesting- Nazis, occult, time travel, etc., but the movies plot failed to properly bring all these elements together. Remember the episode of South Park that featured manatees writing Family Guy using 'idea balls'? Did these manatees also write Unholy? Its like the writer wanted to include all these different ideas, but had no idea how to link them all together, and then to make things make even less sense, included a Donnie Darko-esquire time travel theme to the ending, messing up the chronology.<br /><br />I could tell from early on that this was a bad movie. Special effects were too low budget for anything better than straight to DVD. The acting wasn't great, but in fairness I've seen worse. I will praise the Nazi paintings, they were creepy, but the evil Nazi butcher guy was just comic.<br /><br />I don't have a vendetta against this movie or anything, but to be honest, I'm not even into the horror genre. But this movie cannot be described as a thriller or a drama. If this story had been well told, this would have been a good movie. But it has been over hyped. Waaaaay over hyped.","Can I please affirmed first of all, that I felt so strongly about this movie that I firma up to IMDb uniquely to review it. And my review? This is easily the scariest drama I enjoy ever seen.<brit /><br />Both blueprint of the movie called interesting- Fascism, secrets, time journeys, etc., but the drama plot overlooked to properly delivers all these substance together. Remember the episode of Sud Park that featured manatees wrote Parents Friend utilizes 'perceptions balls'? Did these manatees also type Unholy? Its amore the novelists liked to include all these different perceptions, but had no idea how to bond them all together, and then to make things bring even beneath feeling, included a Donnie Darko-esquire time travel theme to the ending, doin up the periods.<br /><br />me could tell from early on that this was a bad movie. Special effects were too low estimates for anything better than straight to DVD. The acting wasn't great, but in fairness I've seen strongest. I will praise the Nazi paintings, they were creepy, but the evil Nazi butcher guy was just comic.<br /><br />I don't have a vendetta against this movie or anything, but to be honest, I'm not even into the horror genre. But this movie cannot be described as a thriller or a drama. If this story had been well told, this would have been a good movie. But it has been over hyped. Waaaaay over exaggerated.",Successful
650,My children watch the show everyday that its on. Its a great program for younger children. However they need to stop showing re-runs and do some more actual shows and get rid of Rooney's and Deedee's YELLOW TEETH. Moe is the only Doodle bop with clean white pearlie teeth and the children notice these things and ask if the 2 don't ever brush their teeth? Does the show ever make its way to the United States and if so where can we find its schedule at. And one other thing if we might be able to add. Moe you need to stop hiding so much. Sometimes when you pop up out of no where you scare the younger children and whats with the pulling of the rope? What does that signify? other then getting wet all the time. They need to add newer things to their show instead of the same ole same ole. Kids loose interest that way.,My children watch the show everyday that its on. Its a great program for younger children. Even they need to stop showing re-runs and do some more actual shows and get rid of Rooney's and Deedee's YELLOW TEETH. Moe is the only Doodle bop with clean white pearlie prosthetics and the children notice these things and ask if the 2 don't ever brush their teeth? Does the show ever make its way to the United States and if so where can we find its schedules at. And one other thing if we might be able to add. Moe you need to stop hiding so much. Sometimes when you pop up out of no where you scare the younger children and whats with the pulling of the rope? What does that signify? other then getting wet all the time. They need to add newer things to their show somewhat of the same bjorn same ole. Kids loose interest that way.,Successful
470,"I can't believe I am so angry after seeing this that I am about to write my first ever review on IMDb.<br /><br />This Disney documentary is nothing but a rehashed Planet Earth lite. Now I knew going into this that it was advertised as ""from the people who brought you Planet Earth,"" but I had no idea they were going to blatantly use the exact same cuts as the groundbreaking documentary mini-series. I just paid $8.75 to see something I already own on DVD. Shame on Disney for not warning people that there is absolutely nothing original here (save a James Earl Jones voice-over and 90 seconds of sailfish that I don't believe were in Planet Earth).<br /><br />But the biggest crime of all, is that while Planet Earth uses the tragic story of the polar bear as evidence that we are killing this planet and a catalyst for ecologic change, Disney took that story and turned it into family friendly tripe. After the male polar bear's demise, they show his cubs grown significantly a year later, and spew some garbage about how they are ready to carry on his memory, and that the earth really is a beautiful place after all. No mention of the grown cubs impending deaths due to the same plight their father endured, no warning of trouble for future generations if we don't get our act together, nothing. Just a montage of stuff we have already seen throughout the movie (and many times more, if you are one of the billion people who have already seen Planet Earth).<br /><br />I have never left the theater feeling so ashamed and cheated in my life.","I can't believe I am so indignant after seeing this that I am about to write my first ever review on IMDb.<br /><br />This Disney documentary is nothing but a rehashed Planet Earth lite. Now I knew going into this that it was advertised as ""from the people who brought you Planet Earth,"" but I had no idea they were going to blatantly use the exact same cuts as the groundbreaking documentary mini-series. I just paid $8.75 to see something I already own on DVD. Injury on Disney for not warning people that there is absolutely nothing original here (save a James Earl Jones voice-over and 90 seconds of sailfish that I don't believe were in Planet Earth).<br /><br />But the biggest criminals of all, is that while Planet Earth uses the tragic story of the polar bear as showcase that we are killing this planet and a catalyst for ecologic change, Disney accomplished that story and turned it into family friendly tripe. Behind the male polar bear's demise, they show his cubs grown significantly a year later, and spew some trash about how they are ready to carry on his memory, and that the ground really is a beautiful scene after all. No telling of the grown cubs impending deaths due to the same plight their father endured, no precaution of trouble for future generations if we don't get our acts together, nothing. Just a montage of stuff we have already seen throughout the movie (and many times more, if you are one of the billion people who have already seen Planet Earth).<br /><br />I have never left the theater feeling so ashamed and wronged in my life.",Successful
322,"This HAS to be the worst movie I've ever attempted to watch. In the first 15 minutes, there wasn't anything to keep my interest in this movie. I was on vacation at the time, and had plenty of time to devote to a just-for-the-fun-of-it movie. The condo we were staying in had this movie in stock -- they must have got it from the $1 store or something.<br /><br />If you like Adam Sandler, this is nothing like any other movie he's made. This started with a bad premise and then just got worse. There's nothing even remotely funny in it.<br /><br />I've watched a lot of movies, including some I didn't care for. But if you decide to waste your time on this movie, don't say I didn't warn you.","This HAS to be the scariest movie I've ever try to watch. In the first 15 record, there wasn't anything to keep my interest in this movie. I was on vacations at the time, and enjoys plenty of time to devote to a just-for-the-fun-of-it movie. The condo we were staying in had this movie in stock -- they must have got it from the $1 store or something.<br /><br />If you like Adam Sandler, this is nothing like any other movie he's made. This started with a bad principle and then just got pire. There's nothing even remotely strange in it.<br /><br />I've watched a lot of movies, including some I didn't care for. But if you decide to waste your time on this movie, don't say I didn't warn you.",Successful
