,original,perturbed,type,labels
0,@user Exactly. She doesn't want to perjure herself since she is being nothing but a paid actress.,@user Exactly. She doesn't want to perjure herself because she is being nothing but a paid actress.,Successful,3.6
1,@user We should all believe Feinstein because she is so upstanding. She would never hir a spy from China and employee them for over 10 years. She needs to resign. TRADER.,@user We should all imagine Feinstein because she is too respectable. She would never hir a spy from China and employee them for over 10 olds. She needs to resign. TRADER.,Successful,2.2
2,@user @user ok with Andrew @user Bully Liar touchy cheat to be kept on as a MP? On £75k? No anti bullying rules? … @user @user @user @user,@user @user ok with Andrew @user Bully Liar barbed cheat to be kept on as a MP? On £75k? No anti bullying rules? … @user @user @user @user,Successful,2.8
3,@user @user Their gullibility.   They think if a politician has an R by their name he is a good guy and don't research that person at all.,@user @user Their gullibility.   They think if a politician has an R by their name he is a proper guy and don't research that person at all.,Successful,3.4
4,"1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""","1) Ultimately, the tusks of Kavanaugh by Republicans, republicans, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'purebred unprejudiced.'""""""""",Successful,1.8
5,@user Yeah I'll not take my gun control policy advice from a Jean's company. Beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part,@user Yeah I'll not take my gun control policy advice from a Jean's company. Beyond that trumps die hard are almost enough that the swirls they claim to dislike and themselves are hard to tell a part,Successful,2.4
6,@user @user @user @user @user Liberals Don't Appreciate Your Sarcasm. They Thought You Were On Their Side.,@user @user @user @user @user Liberals Don't Appreciate Your Sarcasm. They Thought You Were On Their Sides.,Successful,3.4
7,@user @user Because 45% of Americans are too lazy to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?,@user @user Because 45% of Americans are too dunno to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?,Successful,2.2
8,@user Did you hear that @user had a game taken away from her because she called an official a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this,@user Did you hear that @user had a game taken away from her because she called an wench a theif after he took a point and he only took a game away from her because she is a woman and he'd never have done that to a man? Would love to hear your thoughts on this,Successful,2.4
9,#realDonaldTrump You've been rather quiet today. I hope that you have spent some time thinking about your endgame with Vlad. I know you probably know this but you are very expendable to him. When we take the country back what will you do?He will not be happy with you! Ponder this,#realDonaldTrump You've been alike voiceless domingos. I hope that you gets spends some clocking thinking about your prom with Vlad. I know you allegedly sais this but you are utterly expendable to him. When we take the country back what will you do?He will not be happy with you! Ponder this,Successful,1.8
