,original,perturbed,type
836,"#BringBackOurBorders #HillaryClinton #IllegalImmigration #Clinton#Democrats could EASILY fix the problem with ‘˜separating children’ if they desired, but they really don’t care about the...","#BringBackOurBorders #HillaryClinton #IllegalImmigration #Hillary#Democrats could EASILY fix the problem with ‘˜division children’ if they desired, but they really don’t care about the...",Successful
134,@user this your whore you going to marry and lie to me about will never marry women who show body to public,@user this your trollop you going to marry and lie to me about will never marry women who show body to public,Successful
778,Bitches that wear chokers that aren't complete whores is why I hate you bitches,Faggots that bear chokers that aren't complete whores is why me repugnance you geeks,Successful
547,@user After AAP coming to power influx of illegal migrants from Bangladesh to Delhi increased multi fold.Jhugis seen all around,@user After AAP coming to power influx of illegal migrants from Bengali to Delhi increased multi fold.Jhugis seen all around,Successful
480,"@user @user @user @user @user @user @user @user @user @user Bc, if you care so much for these immigrants, you can take them to your state.","@user @user @user @user @user @user @user @user @user @user Columbia, if you care so very for these immigrated, you can adopts them to your sate.",Successful
49,"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#","because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Evacuees rules ,good  do we want to hire from a land of Offenders and idiotic beliefs sadly we cannot get enough training places here, why dont we use clinical Practitioners#",Successful
263,"@user @user Skank ,hoe , all these words you use to describe female artists.gosh,get a grip. Do u…","@user @user Skank ,hoe , all these words you use to describe female entertainer.gosh,get a grip. Do u…",Successful
138,"@user sorry sweetie, but women are the causes of all problems","@user sorry sweetie, but maiden are the causes of all problems",Successful
731,Why tf these hoes be hoein while pregnant? Bitch you can't get a regular ass job for 9months or what? Smdh,Why tf these mesdames be hoein while pregnant? Fucking you can't get a regular ass job for 9months or what? Smdh,Successful
722,Do not announce your not all men argument when I tell you that in the 16th century anything a woman did without the OK of her husband...,Do not declare your not all virile grounds when I warned you that in the 16th century anything a woman was without the YEA of her wifey...,Successful
464,More Evidence that the US Constitution Does Not Mandate Federal Control of Immigration,More Evidence that the AMERICANS Forming Does Not Duty Confederacy Control of Immigration,Successful
356,"@user I would enjoy standing back to watch you suck cocks and swallow huge loads of cum, while you're helpless. As you suck each cock I'll finger your pussy until you cum, while you choke on cocks and cum! When I do take you home, you'll be exhauste","@user me would enjoy standing back to watch you suck cocks and swallow huge responsibility of cum, while you're disadvantaged. Since you pacifier each roosters I'll finger your cat until you cum, while you nipped on cocks and cum! Whenever I do take you home, you'll be exhauste",Successful
817,Here’s what I WON’T do: demean another woman for the way she dresses. Slut/whore/skank are not part of my vocabulary.,Here’s what I WON’T do: embarass another femme for the way she dresses. Slut/whore/skank are not part of my vocabulary.,Successful
771,What's the difference between a pencil arguing and a woman arguing? A pencil has a point,What's the difference between a pencil arguing and a femme arguing? A pencil has a point,Successful
343,"Sweden is almost like the perfect experiment on multiculturalism. Wanna let in massive amounts of people from Muslim majority and third world countries? Okay, get ready to become one yourself! P.S. We told yah so! #Immigration #sweden #stopimmigration","Sweden is almost like the perfect experiment on multiculturalism. Liked vacations in massive amounts of people from Qur majority and third world countries? Okay, becoming ready to become one yourself! pages.S. We told yaa so! #Migratory #sweden #stopimmigration",Successful
202,"@user @user Grant you the first point, but it was a joke more than an insult.About the second point though, calling an hysterical person hysterical doesn't set anyone back. There are hysterical women (and men), bitches and douchebags, ass","@user @user Grant you the first point, but it was a joke more than an insult.About the second point though, exhort an crazy ones hysterical doesn't set anyone back. There are hysterical women (and grooms), bitches and douchebags, ass",Successful
135,Russian immigrant seeks Democratic nomination for Alaska’s U.S. House seat,Russian migrants striving Democratic godfather for Ala’s woo.ies. Sarcophagus encirclement,Successful
866,We are excited to host the #ImmigrantStories film screening and panel today with @user to show how the Trump administration’s overhaul of immigration policy has forced the immigrant community to choose between deportation and medical care.,Myself are disgusted to diners the #ImmigrantStories moviemaking control and commitee today with @subscribers to fairs how the Bitch dispensation’s revoir of immigration politicians gets enforced the immigrated communal to mukhtar between expelled and narcotic zorg.,Successful
24,@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!,@user @user @user @user please scatter the wort  -&gt;&gt; using rife platelet miles to monotheism immigrant captivity!,Successful
932,"I am not a morning person & I keep to myself because of it, you wanna be a smart ass & gimme attitude?? Imma be a Kunt to you","I am not a morning interpersonal & me stay to myself because of it, you would have a lustrous booty & gimme attitudes?? Imma get a Kunt to you",Successful
210,U dont so why tweet it 😂😂 the only bitch u talk to is HELLLO ME TF WHORE 🙄😂,U dont so why tweet it 😂😂 the only bastard u talk to is HELLLO ME TF WHORE 🙄😂,Successful
877,Bitches can't keep a man for shit but got a steady ass work husband at all times,Cocksuckers can't keep a man for shit but got a steady ass work husband at all times,Successful
322,"Angels Don't Die. I think it's better that two Immigrant children in a concentration camp in Southwest US die every time Donald Trump tweets, tweet tweet tweet tweet tweet like a bird.","Angels Don't Croaks. I think it's better that two Immigrant infantile in a concentration camp in Westerner NOUS die every time Donald Trump tweeting, tweet tweet tweet tweet tweet like a bird.",Successful
