,original,perturbed,type,labels
0,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[gai] happens nearest to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .",Successful,2.6
1,"it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more .","it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report furnishes all that and a whole lot more .",Successful,3.2
2,"bright seems alternately amused and disgusted with this material , and he can't help throwing in a few of his own touches .","bright seems alternately amused and disgusted with this material , and he can't support throwing in a few of his own touches .",Successful,3.4
3,"often gruelling and heartbreaking to witness , but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie .","frequently exhausting and heartbreaking to witness , but seldahl and wollter's sterling performances raising this far above the level of the routine maudlin sickness movie .",Successful,3.2
4,"cuts right through the b . s . giving a big middle-fingered "" shut up "" to those who talk up what is nothing more than two guys beating the hell outta one another .","cutbacks rights through the b . s . giving a big middle-fingered "" shut up "" to those who talk up what is nothing more than two guys beating the hell outta one another .",Successful,2.8
5,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical reviewing of what makes a joke a joke .,Successful,3.2
6,"a sly game of cat and mouse that's intense and thrilling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .","a duplicitous game of cat and mouse that's vehement and enthralling at times , but occasionally stretches believability to its limits and relies on predictable plot contrivances .",Successful,2.8
7,"cho's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience . her delivery and timing are flawless .","cho's fearless in picking apart human foibles , not scared to lay her life bare in front of an audience . her delivery and timing are faultless .",Successful,3.8
8,"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .","finds a way to tell a simpler tale , possibly the simplest tale of all , in a way that seems conclusive and even original .",Successful,3.4
9,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .","the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a mayfly and inestimable merchandise no matter how old you are .",Successful,3.0
10,"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","conclusive as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",Successful,3.4
11,"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .","the pianist is a fined valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",Successful,3.4
12,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,absorbing and worrisome -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,Successful,3.4
13,girls gone wild and gone civil again,girls gone wild and faded civil again,Successful,2.6
14,"from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right .","from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes obtains just about everything rights .",Successful,3.2
15,"andersson creates a world that's at once surreal and disturbingly familiar ; absurd , yet tremendously sad .","anderson creates a world that's at once surreal and disturbingly familiar ; ridiculous , yet vastly sad .",Successful,3.0
16,"despite what anyone believes about the goal of its makers , the show . . . represents a spectacular piece of theater , and there's no denying the talent of the creative forces behind it .","despite what somebody believes about the goal of its makers , the show . . . represents a dramatic piece of theater , and there's no denies the talent of the creative forces behind it .",Successful,3.2
17,"it's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .","it's not so much enjoyable to watch as it is instructive to listen to new sides of a previous reality , and to visits with some of the people who were able to make an impact in the theater world .",Successful,3.6
18,"the movie's eventual success should be credited to dennis quaid , in fighting trim shape as an athlete as well as an actor","the movie's eventual succeeded should be credited to dennis quaid , in fight trim shape as an athlete as well as an actor",Successful,3.0
19,"though everything might be literate and smart , it never took off and always seemed static .","though everything might be literate and smart , it never took off and perpetually seemed static .",Successful,3.4
