id	text	label
0	with pale blue berries. in these peaceful shades--	1
1	it flows so long as falls the rain,	0
2	and that is why, the lonesome day,	-1
3	when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,	2
4	of inward strife for truth and liberty.	2
5	the red sword sealed their vows!	2
6	and very venus of a pipe.	0
7	who the man, who, called a brother.	0
8	and so on. then a worthless gaud or two,	-1
9	to hide the orb of truth--and every throne	0
10	the call's more urgent when he journeys slow.	0
11	with the _quart d'heure_ of rabelais!	0
12	and match, and bend, and thorough-blend, in her colossal form and face.	0
13	have i played in different countries.	0
14	tells us that the day is ended."	0
15	and not alone by gold;	0
16	that has a charmingly bourbon air.	1
17	sounded o'er earth and sea its blast of war,	-1
18	chief poet on the tiber-side	0
19	as under a sunbeam a cloud ascends,	0
20	brightly expressive as the twins of leda,	1
21	of night, and all things now retir'd to rest	0
22	in latmian fountains long ago.	0
23	in monumental pomp! no grecian drop	1
24	and when they reached the house,	0
25	then this old orchard, sloping to the west;	0
26	so prythee get thee gone.	0
27	the other dark-eyed dears	0
28	me honied paths forsake;	0
29	to that mysterious strand.	0
30	wid a song up on de way.	0
31	her visions and those we have seen,--	0
32	he sat beside the governor and said grace;	0
33	fifty times the brahmins' offer deluged all the floor.	0
34	and what are all the prizes won	0
35	made snow of all the blossoms; at my feet	0
36	he never told us what he was,	0
37	want and woe, which torture us,	-1
38	a ruby, and a pearl, or so,	0
39	an echo returned on the cold gray morn,	-1
40	he says he’s hungry,—he would rather have	0
41	while i, ... i built up follies like a wall	-1
42	and then he shut his little eyes,	0
43	ah, what a pang of aching sharp surprise	-1
44	and gladys said,	0
45	peep timidly from out its nest,	0
46	the oriole's fledglings fifty times	0
47	the hostile cohorts melt away;	2
48	and the old swallow-haunted barns,--	-1
49	from god's design, with threads of rain!	0
50	how over, though, for even me who knew	0
51	warped into adamantine fretwork, hung	0
52	wilt thou forget the love that joined us here?	0
53	the which she bearing home it burned her nest,	-1
54	have roughened in the gales!	0
55	pilgrim and soldier, saint and sage,	0
56	down in the west upon the ocean floor	0
57	"what did you hear, for instance?" willis said.	0
58	should favour equal to the sons of heaven:	0
59	some, not so large, in rings,--	0
60	the crown of sorrow on their heads, their loss	-1
61	the eternal law,	0
62	and lips where heavenly smiles would hang and blend	1
63	we're a band!" said the weary big dragoon.	0
64	fu' to ba' de battle's brunt.	0
65	and brief related whom they brought, wher found,	0
66	i lay and watched the lonely gloom;	-1
67	honour to the bugle-horn!	1
68	a sceptre,--monstrous, winged, intolerable.	-1
69	max laid his hand upon the old man's arm,	0
70	when on the boughs the purple buds expand,	0
71	if the pure and holy angels	1
72	endymion would have passed across the mead	0
