original,perturbed,type
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Skipped
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,@user Eight yr the republicans denied obama’s opt. Breitbarters indignation is as faked as their fake presidents.,Successful
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,@user Get him some line aid. He is gonna be just fined. As the game went on you could behold him progressing more with his reads. He brought what has been missing. The profound ball involvements. Now he just needs a small more time,Failed
@user @user She is great. Hi Fiona!,@user @users She is grand. Howdy Fiona!,Failed
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,@user She has become a parody unto herself? She has indubitably taken some heat for being such an....well dopey. Could be optic too  Who know with Liberals  They're all optics.  No substances,Failed
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""","@user @user @user @user @user @user @users @user @users @user @users @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anybody that was a gun control advocate? Have you?""""",Failed
@user Your looking more like a plant #maga #walkaway,@user Your looking more like a plants #maga #walkaway,Successful
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,@user @user Lol. Except he’s the most successful chairmen in our lifetimes. He’s undone most of the damage Obummer did and set America on the right routing again. #MAGA,Failed
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,@user Been a Willie fan since before most of you were born....ADORES that he is holding a rallying with Beto.... Accurately WHOSE fans are furious?  Could you give some specifics?,Failed
@user Here's a link to my channel with a plethora of topics to peruse:,@user Here's a link to my canals with a profusion of topic to peruse:,Failed
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,Skipped
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""","@users They cited Jones being prohibition for breached Twitter's ToS. There are blue checkmarks spewing the same, if not worse, sort of crap. If you are going to play the anyone can get proscribed"""" card. Shouldn't these people furthermore receives forbade and deferment? #VerifiedHate""""",Failed
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,@user Freund ordered 100 paired of Levi’s and then called to cancel! Over Gun control! Wow getting feral!,Failed
@user @user Lmfaoooooo,@user @users Lmfaoooooo,Failed
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,@user Goodell should have been fired over a year ago. Looks like the owner will let him steer the boat right into the iceberg. Oh well.,Failed
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,@user @user This is a common messaging from liberals and Democrats.   Remember Nancy Pelosi we have to approval the health care packaged -Obama care and then we’ll see what’s in it then🤔,Failed
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,@users moreover shitbiscuit stolen most of the Tempe girl u can't blame that on me..,Failed
"@user @user Well, see, if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore"""" as she did @user then we aren't having a conversation. I'm just talking into the void.""""","@user @users Well, see, if I start talking at Dana about sensible gun controlling laws and she ignores me (or calls me a tragedy dry-humping harlot"""" as she did @user then we aren't having a conversation. I'm just talking into the vacuum.""""",Successful
@user @user You mean the way Hillary re-victimized all of Bills accusers?,@user @user You mean the manner Hillary re-victimized all of Bill accusers?,Failed
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,GRAND COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,Failed
@user You are so fragile. It must be hard to live that way.,@user You are so flimsy. It must be hard to live that manner.,Successful
@user All you do is lie. All congress does us lie.  MAGA.,@users All you do is lie. All congress does us lie.  MAGA.,Failed
@user Freudian slip.,@user Freudian slip.,Failed
@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user He also clarified that there is the water birth when we are physically born. Then there is the spiritual birth which is obviously when we spiritually die to our sinful flesh and be reborn sinless after being cleansed by His blood at salvation when our sin debt is paid! Praise God,Skipped
@user @user Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a propaganda pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,@users @users Why are you wasting time replying on twitter (trolling) on behalf of people making under that amount?  Seems like someone is just a promotional pusher...or likes gloating to other #MAGA's that they got screwed by Trump.,Failed
@user We had Leveon Bell. Thats the dumbest argument. But we can compare college for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,@user We had Leveon Bell. Isnt the dumbest argument. But we can compare universities for when he played. His best season was 1700 yds 26 TDs. How about Collins? And this is Conners first year starting and he is starting much better than Collins,Successful
@user @user SHE IS A FUCKING MESS!! I HATE HER SO MUCH,@user @user SHE IS A GODDAM MESS!! I HATRED HER SO MUCH,Successful
@user He is so underrated and I love how pure he is as a person,@user He is so underrated and I love how sheer he is as a person,Failed
@user Haha we set then 😂,@user Haha we set then 😂,Failed
@user he is a psychic ain’t he,@user he is a psychic ain’t he,Failed
@user I was think she jisoo but I’m Focused I found she is taeyoun,@user I was think she jisoo but I’m Focused I found she is taeyoun,Skipped
@user I am stunned that you are giving this guy airtime. Stunned.,@user I am stunned that you are giving this dude airtime. Astounded.,Failed
@user She Wants Gun Control? Figures,@user She Wants Gun Control? Digits,Failed
@user @user @user Didn't see him matching with antifa tbh,@user @users @user Didn't see him matching with antifa tbh,Failed
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has commencement a novel party that will follow original Conservative value.,Failed
@user Holy shit I love her???,@users Holy shit I love her???,Failed
@user @user @user Can you let him know?,@user @users @user Can you letting him know?,Failed
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,@user @user @user @user @user @user Sirs it comes to something when you present a lying as a fact.... Have you no shame? This is the fact 65% of labor voters votes to Remain. Ref YouGov polls. Your position is based on a bogus premise......have a nice day,Failed
@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,@user @user A stark reminder that @user and you are attempting to con us with chequers and a bite of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good gaze @user,Failed
@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,@user @user WHERE'S holier than thou @user  Sippin wine in the nuance somewhere...  #MAGA,Failed
@user I can’t cuz that nigga retarded smh,@user I can’t cuz that nigga retard smh,Failed
9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,Skipped
