,original,perturbed,type
819,@user He is the worst person.,@user He is the hugest person.,Successful
175,@user Fat ass.... heart attack city..... keep eating fat ass....,@user Fat lacrosse.... heart attack city..... keep forage fat derriere....,Successful
745,@user @user The purrfect portrait! She even has her tail wrapped around her paws! She is beautiful in this shot!,@user @user The purrfect portrait! She even has her tail wrapped around her kneecaps! She is delicious in this shot!,Successful
798,@user He is irrelevant,@user He is worthless,Successful
126,"@user @user @user @user What you're doing is so irresponsible &amp; I believe that ur smart enough to understand how evil you are. If the FBI or JD had some plot to thwart DT, all they had to do was leak"""" to the press that he was being investigated. They DID NO SUCH THING. U know you're wrong, that's evil!""""","@user @user @user @user What you're doing is so counterintuitive &amp; I believe that ther judicious enough to understand how nefarious you are. If the FBI or JD had some plot to thwart DT, all they had to do was leak"""" to the press that he was being investigated. They DID NO SUCH THING. U know you're wrong, that's evil!""""",Successful
302,@user @user So what is the problem you are trying to advise of? Can't quite understand what you are trying to say !,@user @user Again what is the disorder you are alluring to advises of? Can't rather admit what you are endeavors to chitchat !,Successful
264,"@user @user I am trying to make a point. Many people who hate the liberal and ndp party are conservatives. And all conservatives care about is money. They don't have to ruin the environment and discriminate against others because of money""""""""","@user @user I am trying to make a point. Vast people who hate the liberal and ndp teil are republicans. And all curator care about is money. They don't have to ruin the environment and discriminate against others because of dough""""""""",Successful
953,@user He is starting to tweet nonsense like Mango Mussolini,@user He is starting to tweet counterintuitive like Mango Mussolini,Successful
349,@user Can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder? And NOT normal human behavior?,@user Can we please now be truthful with ourselves and admit this transgender stuff is a mental disorder? And NOT normal human behavior?,Successful
82,@user And why report this garbage.  We don't give a crap.,@user And why report this rejects.  We don't give a scheisse.,Successful
594,@user Do I care 🚫pe.  Hope they fold like a cheap table.  Wonder what the spoiled primadonnas do when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,@user Do I care 🚫pe.  Hope they collapsible like a cheap table.  Wonder what the spoiled primadonnas have when their huge salaries can't be made.  Bet it won't be bailed out like GM &amp; Too Big To Fail Banks were,Successful
78,@user And you are a football fan too !,@user And you are a football blower too !,Successful
308,@user I'm telling yeah she is leading Steve on...   look howa she always likes all Steves tweets.    What a hooch,@user I'm telling yeah she is leading Steve on...   look howa she always likes all Steves tweets.    What a booze,Successful
87,@user @user @user You should take this picture down you destroyed one of my all time favorite Comedian/Actors @user,@user @user @user You owes tomar this portraiture down you trashed one of my all time favorite Comedian/Artists @user,Successful
169,@user @user Keep up the great work Cory! You are today’s hero. Not the Op-Ed author who should have invoked the 25th.,@user @user Hold up the gargantuan functions Corey! Thyself are wed’s smack. Not the Op-Ed offender who should be pleaded the 25th.,Successful
203,"#USA (I feel your pain, even while I profit causing it!) #liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics slop. So you destroyed #Libya -ya'll never catch Bill now -he's got million dead #Iraqi kids (sanctions '90's) under his belt","#USA (I feel your pain, even while I profit causing it!) #liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics bilge. So you destroyed #Libya -ya'll never catch Bill now -he's got million dead #Iraqi kids (sanctions '90's) under his belt",Successful
325,@user @user An excuse for conservatives to do nothing.,@user @user An excuses for republicans to know nothing.,Successful
713,@user @user Except for the little attempted rape thing he is just a wonderful guy,@user @user Except for the small attempted raped thing he is just a wonderful guy,Successful
639,@user @user tough to speak your mind at work if your a conservative..amazing that this occurred in work setting. Bizarre.,@user @user tough to speak your wit at jobs if your a conservative..brilliant that this sweated in trabajo fixture. Bizarre.,Successful
762,@user Ahhh Lurch  go back to wind surfing.,@user Yuck Lurch  go back to wind surfing.,Successful
747,"11/21 Political Corruption:  Texans: Among liberals and conservs, R's and D's, large majorities favor limits on campaign spending and say the high cost of campaigning discourages many good candidates from running for president.” #BetoforSenate","11/21 Political Corruption:  Longhorns: Under bigots and conservs, R's and D's, humongous majorities prefer borders on kamp priced and mentioning the higher taxes of stirring prevents many decent pretenders from running for president.” #BetoforSenate",Successful
879,@user @user The President despite all of Woodward book of lies and you and Barrack has done so far a tremendous job we are respected again our economy is not longer the animic less than 2% and our enemies fear us again John you and Barrack r History,@user @user The President meanwhile all of Fletcher livre of lies and you and Barrack has done too deeply a stupendous job we are complied again our economy is not longer the animic less than 2% and our enemies fear us again Joon you and Barrack r History,Successful
89,@user America is better than swamp crud like YOU!,@user America is better than bayou ooze like YOU!,Successful
737,@user @user shut that wanker up,@user @user conclusion that jester up,Successful
813,"@user The problem is, the people who will read this and go oh shit he is a cunt"""" already think he is. The rednecks and retards that already support him will believe it is fake news.""""","@user The inconvenience is, the people who will itl this and go oh scheisse he is a biatch"""" already envisage he is. The rednecks and nincompoops that already support him will believe it is fake news.""""",Successful
95,"@user And everyone knows that Kerry doesn't have a clue!  Heard that from numerous anonymous"""" sources who also say he is not sane.  That's what the sources say.""""","@user And everyone realizes that Kerry doesn't possessed a clue!  Learned that from umpteen anonymous"""" background who also proclaims he is not smart.  That's what the fuentes speaks.""""",Successful
632,@user Why are the tweets that Conservatives are retweeting with comments suddenly Unavailable? I cannot see what they’re talking about if the original tweet is no longer available. Anyone else noticing this?,@user Where are the twittering that Conservatives are retweeting with remarks fiendishly Impractical? yo cannot believe what they’re talking about if the primitive twitter is no more disposable. Anyone else noticing this?,Successful
653,@user is my absolute favorite in Sharp Objects. She is absolutely sensational.,@eaters is my utter aye in Brutal Commodity. She is absolutely sensational.,Successful
552,@user Why don’t we pray for better gun control laws first?,@eaters Why don’t we poser for sweeter hotties control loi first?,Successful
488,@user @user @user @user Source? Legit only. No FAUX or its minions.  And just in case: antifa = anarchists. They are not left.  Last:,@user @user @user @user Source? Legit only. Nothin LIAR or its minions.  And just in case: antifa = anarchists. They are not left.  Last:,Successful
651,@user @user @user @user And democrats ARE out here trying to have policies of gun control. Try watching other news outlets other than Fox.,@user @user @user @user And democrats SONT out here trying to be politics of gun control. Try watching other news outlets other than Fox.,Successful
863,@user @user Word cause her music SLAPS THERE'S NO REASON SHE SHOULDN'T BE SELLING OUT BIG ASS SHOWS (idk if she is or isn't but she DESERVES),@user @user Word cause her music SLAPS THERE'S NO REASON SHE SHOULDN'T BE SELLING OUT BIG BEHIND SHOWS (idk if she is or isn't but she DESERVES),Successful
181,@user @user @user @user @user She can do a Google search of protests by antifa but she already knows that. It's called being blind. I would never support a conservative protest where they beat people up and destroyed property,@user @user @user @user @user She can do a Google search of marched by antifa but she already knows that. It's called being blind. I would never support a conservative rants where they beat people up and destroyed property,Successful
775,@user @user David stop been a mouthpiece for the anti gun people you r nothing but a worm looking for fame now remember that antifa BLM and all the radical left groups are violent and hurt people too but of course you agree with them,@user @user David stop been a mouthpiece for the anti gun people you r nothing but a look looking for fame now remember that antifa BLM and all the radical left groups are extreme and hurt people too but of course you agree with them,Successful
908,@user @user There's zero evidence of any gaff and it's not their jobs to do any such thing; this is just more hijinx and chicanery from two buffoons that have no platforms or morals. #CONservatives #cdnpoli,@user @user There's zero evidence of any gaff and it's not their jobs to do any such thing; this is just more hijinx and chicanery from two buffoons that have no platforms or mores. #CONservatives #cdnpoli,Successful
305,@user Don’t worry your time will come play hard and listen the coach Frost he is a winner a championship coach🏈,@user Knack’t shitless your stardate longing come play hard and amuse the coach Frost he is a sieg a championship instructors🏈,Successful
