sentence_a,sentence_b,preserved
the performances are an absolute joy .,the performances are an total mirth .,1
"as it turns out , you can go home again .","as it pivot out , you can go homepage again .",1
"a powerful , chilling , and affecting study of one man's dying fall .","a conclusive , macabre , and affecting scrutinized of one man's dying fall .",1
meticulously uncovers a trail of outrageous force and craven concealment .,meticulously divulged a trail of outrageous force and craven concealment .,1
"at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shines like a lonely beacon .","at a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had , godfrey reggio's career shining like a lonely beacon .",1
". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",". . . feels as if ( there's ) a choke leash around your neck well director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",1
a porn film without the sex scenes .,a salacious visuals without the sex photography .,1
"deuces wild treads heavily into romeo and juliet/west side story territory , where it plainly has no business going .","deuces wild treads powerfully into romeo and juliet/west side story territory , where it plainly has no business going .",1
"a well-acted , but one-note film .","a well-acted , but one-note panorama .",1
"certainly not a good movie , but it wasn't horrible either .","truthfully not a best photography , but it wasn't horrible either .",1
"the work of an exhausted , desiccated talent who can't get out of his own way .","the work of an gruelling , desiccated talent who can't get out of his own way .",1
a minor-league soccer remake of the longest yard .,a minor-league soccer recreate of the longest yard .,1
. . . a rather bland affair .,. . . a rather humdrum affair .,1
one key problem with these ardently christian storylines is that there is never any question of how things will turn out .,one key issue with these ardently christian storylines is that there is never any question of how things will turn out .,1
staggeringly dreadful romance .,staggeringly atrocious romance .,1
final verdict : you've seen it all before .,definitive verdict : you've seen it all before .,1
a full-frontal attack on audience patience .,a full-frontal hit on audience patience .,1
"the film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .","the film may not hit as hard as some of the better drug-related pictures , but it still leads to get a few punches in .",1
there's no denying that burns is a filmmaker with a bright future ahead of him .,there's no spurn that burns is a filmmaker with a bright future ahead of him .,1
"an entertaining , if ultimately minor , thriller .","an comedian , if ultimately minor , thriller .",1
sex with strangers is fascinating . . .,sex with strangers is entrancing . . .,1
it's a very valuable film . . .,it's a very inestimable kino . . .,1
