original,perturbed,type
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,Skipped
@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their fake president.,@user Eight years the republicans denied obama’s picks. Breitbarters outrage is as phony as their forgeries president.,Successful
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,@username Acquires him some iine enables. His is gonna sont just sumptuous. Iike the gambler faded on you could stare him progresses more with his contends. Her been what got been wasted. Both grievous bowler implicated. Now he just calls a trifle more era,Failed
@user @user She is great. Hi Fiona!,@user @user She is sumptuous. Cuckoo Fiona!,Successful
@user She has become a parody unto herself? She has certainly taken some heat for being such an....well idiot. Could be optic too  Who know with Liberals  They're all optics.  No substance,@wearer She has become a parody unto herself? Her has certainly taken some warmth for being such an....well asinine. Could be optic too  Who know with Liberals  They're all optics.  No elements,Successful
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""","@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user That is the VetsResistSquadron"""" is Bullshit.. They are babes scout guerrillas, I haya never respected any other guerillas or played with anyone that was a gun control sympathizer? Possesses you?""""",Successful
@user Your looking more like a plant #maga #walkaway,@user Your looking more iove a plant #maga #walkaway,Successful
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,@user @user Lol. Except he’s the most fecund president in our lifetimes. He’s undone most of the damage Obummer did and set America on the bah chemin again. #MAGA,Successful
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,@user Been a Willie ventilator since before most of you were soldering....WORSHIPPED that he is holding a surging with Beto.... Wholly EMBRACING fans are furious?  Ought you give some character?,Successful
@user Here's a link to my channel with a plethora of topics to peruse:,@eaters Here's a lier to my ducts with a hoards of subjected to poring:,Successful
@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,@user Antifa would burn a Conservatives house down and CNN would be there lighting the torches &amp; throwing gas on the flames.,Skipped
"@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of shit. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""","@user They cite Jones being banned for violating Twitter's ToS. There are blue checkmarks spewing the same, if not worse, kind of merde. If you are going to play the anyone can get banned"""" card. Shouldn't these people also receive bans and suspensions? #VerifiedHate""""",Successful
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,@user Dawg ordered 100 peers of Levi’s and then called to cancel! During Gun control! Wow earning wild!,Successful
@user @user Lmfaoooooo,@user @user Lmfaoooooo,Failed
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,@user Goodell should have been fired over a roku ago. Hears like the owners will let him headmaster the ship right into the iceberg. Oh too.,Successful
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care shitload -Obama care and then we’ll see what’s in it afterwards🤔,Successful
@user also shitbiscuit stole most of the Tempe girls u can't blame that on me..,@consumer also shitbiscuit shoplift most of the Avondale feminine ni can't adjudged that on me..,Successful
