original,perturbed,type
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .","the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",Failed
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .","the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so gigantic that a column of words cannot appropriately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",Failed
effective but too-tepid biopic,effective but too-tepid biopic,Failed
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .","if you sometimes like to go to the movies to have fun , wasabi is a good place to starting .",Failed
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .","emerges as anything rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",Failed
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,Failed
offers that rare combination of entertainment and education .,offers that rare combination of entertainment and education .,Failed
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,maybe no picture ever made has more literally shown that the road to hell is paved with good intentions .,Failed
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,steers turns in a snappy screenplay that curls at the edges ; it's so clever you wanna to hate it . but he somehow pulls it off .,Failed
take care of my cat offers a refreshingly different slice of asian cinema .,take care of my cat affords a refreshingly different slice of asian cinema .,Failed
"this is a film well worth seeing , talking and singing heads and all .","this is a film well worth seeing , talking and singing heads and all .",Failed
what really surprises about wisegirls is its low-key quality and genuine tenderness .,what really surprises about wisegirls is its low-key quality and genuine tenderness .,Failed
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .","( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",Failed
"one of the greatest family-oriented , fantasy-adventure movies ever .","one of the greatest family-oriented , fantasy-adventure movies ever .",Failed
"ultimately , it ponders the reasons we need stories so much .","ultimately , it ponders the reasons we need stories so much .",Failed
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,an wholly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,Failed
illuminating if overly talky documentary .,illuminating if overly talky documentary .,Failed
a masterpiece four years in the making .,a masterpiece four years in the making .,Failed
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","the movie's ripe , enrapturing beauty will tempt those desirous to probe its inscrutable mysteries .",Failed
offers a breath of the fresh air of true sophistication .,offers a breath of the fresh air of true sophistication .,Failed
"a thoughtful , provocative , insistently humanizing film .","a thoughtful , provocative , insistently humanizing film .",Failed
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",Failed
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,a disturbing and appallingly evocative assembly of imagery and hypnotic music composed by philip glass .,Failed
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","not for everybody , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",Failed
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,Failed
"occasionally melodramatic , it's also extremely effective .","occasionally melodramatic , it's also extremely effective .",Failed
spiderman rocks,spiderman rocks,Failed
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,an idealistic love story that brings out the latent 15-year-old romantic in everybody .,Failed
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .","at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",Failed
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play somebody who resembles a real kid .,Failed
"guaranteed to move anyone who ever shook , rattled , or rolled .","guaranteed to move anyone who ever shook , rattled , or rolled .",Failed
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",Failed
"light , cute and forgettable .","light , cute and forgettable .",Failed
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","if there's a way to effectively teach kids about the dangers of drug , i think it's in projects like the ( unfortunately r-rated ) paid .",Failed
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .","while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful movie than any slice of hugh grant whimsy .",Failed
"though everything might be literate and smart , it never took off and always seemed static .","although everything might be literate and smart , it never took off and always seemed static .",Failed
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days","cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",Failed
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .","mme . fulford-wierzbicki is nearly spooky in her sulky , calculating lolita turn .",Failed
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",Failed
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .","like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is starting to creep into the series .",Failed
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",Failed
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",Failed
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,fuller would certainly have called this gutsy and at times exhilarating movie a great yarn .,Failed
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '","'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",Failed
the film makes a strong case for the importance of the musicians in creating the motown sound .,the film makes a strong case for the importance of the musicians in creating the motown sound .,Failed
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .","karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweating .",Failed
gosling provides an amazing performance that dwarfs everything else in the film .,gosling provides an awesome performance that dwarfs everything else in the movie .,Failed
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .","a actual movie , about real people , that affords us a rare glimpse into a culture most of us don't know .",Failed
tender yet lacerating and darkly funny fable .,tender yet lacerating and darkly funny fable .,Failed
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reasons why people get a kick out of watching them today .,Failed
an engaging overview of johnson's eccentric career .,an engaging overview of johnson's eccentric career .,Failed
"in its ragged , cheap and unassuming way , the movie works .","in its ragged , cheap and unassuming way , the movie works .",Failed
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,some actors have so much charisma that you'd be pleased to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,Failed
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .","sandra nettelbeck wonderfully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",Failed
