original,perturbed,type
"a picture that extols the virtues of comradeship and community in a spunky , spirited fashion .","a scene that extols the virtues of comradeship and community in a bratty , spirited popularity .",Successful
"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis .","ultimately , the notices of trouble every day seems to be that all sexual desire disrupts life's immobility .",Successful
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .","it's the best film of the year so severely , the benchmark against which all other best picture contenders should be measured .",Successful
an impressive if flawed effort that indicates real talent .,an wondrous if flawed effort that indicates real talent .,Successful
has a plot full of twists upon knots . . . and a nonstop parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,has a plot full of twists upon knots . . . and a ceaseless parade of mock-tarantino scuzbag types that starts out clever but veers into overkill .,Successful
"only an epic documentary could get it all down , and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents .","only an epic documentary could get it all down , and spike lee's jim brown : all american at long last prescribes its subject a movie worthy of his talents .",Successful
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .","appearing as something rare , an emitter movie that's so loyalist and keenly observed that it doesn't feel love one .",Successful
an original gem about an obsession with time .,an original topaz about an obsession with jours .,Successful
"interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals 'red dragon' right from under their noses .","interactions eyeball-to-eyeball and toe-to-toe , emory and morton are a finalist combinations -- but fiennes steals 'red dragon' right from under their noses .",Successful
it's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,it's one of the saddest films i have ever seen that still manages to be uplifting but not exceedingly sentimental .,Successful
"a distant , even sterile , yet compulsively watchable look at the sordid life of hogan's heroes star bob crane .","a distant , even sterile , yet compulsively watchable expect at the sordid life of hogan's heroes star bob crane .",Successful
"they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't avert our eyes for a moment .","they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't circumvent our eyes for a moment .",Successful
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","not for everyone , but for those with whom it will connect , it's a gentil departure from standard moviegoing fare .",Successful
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back .","my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very stringent back .",Successful
"clever , brutal and strangely soulful movie .","clever , quarrelsome and ridiculously soulful theaters .",Successful
"a compelling journey . . . and "" his best friend remembers "" is up there with the finest of specials .","a conclusive backpacking . . . and "" his best friend reminded "" is up there with the finest of specials .",Successful
"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . ""","weird and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . """,Successful
"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite wiggle photographing throughout his resolutely dramatic variation on the novel .",Successful
"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience .","a widespread and problematic drama -- one that pushes the boundaries of biographer , and challenges its audience .",Successful
"without resorting to hyperbole , i can state that kissing jessica stein may be the best same-sex romance i have seen .","without resorting to hyperbole , i can state that kissing jessica stein may be the more same-sex romance i have seen .",Successful
"compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","conclusive as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .",Successful
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .","as lo-fi as the special effects are , the folks who cobbled nemesis together splurge the force of humanity over hardware in a way that george lucas has long forgotten .",Successful
"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .","you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predict .",Successful
"cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing .","hickory assumes a very open-minded gait to this susceptible material , shown impressive surveillance , both vividly and in the writing .",Successful
"from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right .","from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything bon .",Successful
one hour photo is an intriguing snapshot of one man and his delusions ; it's just too bad it doesn't have more flashes of insight .,one hour photo is an mysterious snapshot of one man and his delusions ; it's just too bad it doesn't have more flashlights of insight .,Successful
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is communicable .,Successful
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .","behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of centres .",Successful
"the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty good thing .","the sundance film festival has become so buzz-obsessed that fans and producers descend upon utah each january to ferret out the next great thing . 'tadpole' was one of the films so declared this year , but it's really more of the next pretty adequate thing .",Successful
must be seen to be believed .,must be seen to be estimation .,Successful
"run , don't walk , to see this barbed and bracing comedy on the big screen .","run , don't walk , to see this barbed and bracing joke on the big screen .",Successful
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,at heart the movie is a clumsily wrought suspense yarn whose richer shadings work as coloring rather than substance .,Successful
"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .","painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and baffling film performances .",Successful
"though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance .","though of particular interest to students and enthusiast of international dance and world music , the film is designed to make bystanders of all ages , cultural backgrounds and rhythmic ability want to get up and dance .",Successful
